
[00:00:00.000 --> 00:00:04.600]  這一年的四堂我願意跟大家分享有關於宣教方面
[00:00:04.600 --> 00:00:07.420]  這個因為
[00:00:07.420 --> 00:00:13.820]  如果要從頭講整個宣教的事情太多太多了
[00:00:13.820 --> 00:00:14.840]  我自己
[00:00:14.840 --> 00:00:17.660]  我自己在這幾堂裡面
[00:00:17.660 --> 00:00:18.680]  都會
[00:00:18.680 --> 00:00:21.500]  多多少少也會告訴你們大家
[00:00:21.500 --> 00:00:22.520]  我
[00:00:22.520 --> 00:00:25.600]  怎麼奉獻出來
[00:00:25.600 --> 00:00:27.400]  我原來在IBM工作
[00:00:27.400 --> 00:00:29.180]  神怎麼呼召我
[00:00:29.440 --> 00:00:32.520]  為什麼他怎麼呼召我是
[00:00:32.520 --> 00:00:34.820]  是跟別人不太一樣的
[00:00:34.820 --> 00:00:38.920]  別人是聽人家講道或者什麼來
[00:00:38.920 --> 00:00:40.960]  這個那個感動的
[00:00:40.960 --> 00:00:43.020]  我是去宣
[00:00:43.020 --> 00:00:45.820]  我是去短宣的時候
[00:00:45.820 --> 00:00:47.620]  被神呼召的
[00:00:47.620 --> 00:00:49.420]  所以我是很
[00:00:49.420 --> 00:00:51.200]  比較特別的情形
[00:00:51.200 --> 00:00:55.820]  我去短宣的時候是我自己在講道的時候
[00:00:57.340 --> 00:01:00.420]  我自己人生當中第一次的講道
[00:01:00.420 --> 00:01:07.580]  是在短宣被逼上講台這個也是很大的很特別的經歷
[00:01:07.580 --> 00:01:10.400]  因為我
[00:01:10.400 --> 00:01:16.800]  最後一堂我跟大家也提到我自己我參加這個短宣的這些經歷
[00:01:16.800 --> 00:01:22.420]  我去過很多很多地方大概很少牧師
[00:01:22.420 --> 00:01:23.460]  能夠跑
[00:01:23.460 --> 00:01:25.240]  像我這麼多地方的
[00:01:25.760 --> 00:01:29.600]  隨便講一講隨便講我去過北極
[00:01:29.600 --> 00:01:36.000]  阿拉斯加我去過南美我去過這個
[00:01:36.000 --> 00:01:37.520]  歐洲我去過
[00:01:37.520 --> 00:01:38.800]  杜拜
[00:01:38.800 --> 00:01:40.860]  迪拜聽過知道
[00:01:40.860 --> 00:01:47.260]  我去過德國這個是歐洲去過匈牙利
[00:01:47.260 --> 00:01:48.280]  匈牙利
[00:01:48.280 --> 00:01:51.100]  匈牙利旁邊那叫什麼
