
[00:00:00.000 --> 00:00:08.000]  今天是感恩節主日,首先讓我在這裡恭賀大家,感恩節非常非常非常快樂,你們。
[00:00:08.000 --> 00:00:17.000]  聖經中教導我們要凡事謝恩,原因倒不是因為我們的神需要我們不斷地來感謝他。
[00:00:17.000 --> 00:00:23.000]  其實向神感恩,真正的目的是為了我們。
[00:00:23.000 --> 00:00:28.000]  因為如果我們不感恩,我們就會忘記神的恩典,不是嗎?
[00:00:28.000 --> 00:00:34.000]  而一旦我們忘記神的恩典,我們就會逐漸地忘記神自己。
[00:00:34.000 --> 00:00:38.000]  事實上這真是今天美國的光景就是如此。
[00:00:38.000 --> 00:00:44.000]  我們忘記了美國立國精神,立國的信仰價值觀。
[00:00:44.000 --> 00:00:50.000]  我們也忘記了美國今天得蒙神祝福的原因,
[00:00:50.000 --> 00:01:01.000]  以至於今天的美國逐漸地忘記神,以至於今天的美國也是處在一個危機四伏的環境當中。
[00:01:01.000 --> 00:01:04.000]  所以慶祝感恩節是非常重要的。
[00:01:04.000 --> 00:01:09.000]  跟你朋友說感恩是非常重要的,跟他說。
[00:01:09.000 --> 00:01:16.000]  感恩一方面提醒我們一同來紀念神在我們身上過去的作為跟恩典,
[00:01:16.000 --> 00:01:22.000]  另一方面讓我告訴你,也只有當我們站在神過去的恩典上,
[00:01:22.000 --> 00:01:26.000]  我們才能夠進入神新的恩典當中。
[00:01:26.000 --> 00:01:31.000]  今天這段經文正好讓我們講解出這個真理出來。
[00:01:31.000 --> 00:01:36.000]  四十六節這裡說,耶穌又到了迦勒底的迦拿,
[00:01:36.000 --> 00:01:40.000]  就是祂從前變水為酒的地方。
[00:01:40.000 --> 00:01:45.000]  迦拿我們都知道是耶穌行的第一個神蹟的所在。
[00:01:45.000 --> 00:01:48.000]  死水變酒。
[00:01:48.000 --> 00:01:51.000]  可是我們看見最後第五十四節呢?
[00:01:51.000 --> 00:01:56.000]  到第五十四節,這是耶穌在迦勒行的第幾件神蹟?
[00:01:56.000 --> 00:01:58.000]  第二件神蹟。
[00:01:58.000 --> 00:02:05.000]  你可知道耶穌在迦勒的頭兩件神蹟,第一件第二件,
[00:02:05.000 --> 00:02:07.000]  都在同一個地方發生的嗎?
[00:02:07.000 --> 00:02:14.000]  都是在迦拿發生,兩件神蹟兩次重複在同一個地方發生。
[00:02:14.000 --> 00:02:19.000]  難道是因為迦拿是很特別的地方嗎?
[00:02:19.000 --> 00:02:21.000]  我相信不是。
