
[00:00:00.000 --> 00:00:04.960]  接下來這四個禮拜有一個主題叫做「守龍門」
[00:00:04.960 --> 00:00:06.680]  守什麼龍門呢?
[00:00:06.680 --> 00:00:09.640]  其實是在說試探
[00:00:09.640 --> 00:00:13.000]  試探來到的時候有四樣東西
[00:00:13.000 --> 00:00:16.000]  接下來我們分下去有四堂
[00:00:16.000 --> 00:00:18.800]  第一堂我就講關於
[00:00:18.800 --> 00:00:24.880]  其實有個名字叫做「守龍門之繩繩繩繩」
[00:00:24.880 --> 00:00:27.080]  不知道大家有沒有留意看那個字
[00:00:27.080 --> 00:00:28.120]  繩繩繩繩
[00:00:28.120 --> 00:00:30.120]  第一個繩,是一條繩的繩
[00:00:30.120 --> 00:00:33.400]  你就是被試探綁住
[00:00:33.400 --> 00:00:34.880]  試探的sources
[00:00:34.880 --> 00:00:36.080]  即是試探的來源
[00:00:36.080 --> 00:00:36.800]  是什麼呢?
[00:00:36.800 --> 00:00:38.200]  第一堂我們會講這件事
[00:00:38.200 --> 00:00:40.720]  接著下個禮拜我們講第二個繩
[00:00:40.720 --> 00:00:42.560]  第二個繩就是繩賊的繩
[00:00:42.560 --> 00:00:43.440]  就是說
[00:00:43.440 --> 00:00:46.160]  講到試探帶來給我們的後果
[00:00:46.160 --> 00:00:47.200]  很嚴重的
[00:00:47.200 --> 00:00:49.960]  試探來到的時候我們怎樣看清楚
[00:00:49.960 --> 00:00:51.800]  我們落進試探裡面呢?
[00:00:51.800 --> 00:00:53.560]  第三個是繩木的繩
[00:00:53.560 --> 00:00:56.840]  我們這群繩木子女要防備試探
[00:00:56.840 --> 00:00:58.760]  怎樣去逃避試探
[00:00:58.760 --> 00:01:02.040]  怎樣不要被試探帶我們進去裡面
[00:01:02.040 --> 00:01:04.240]  第四個就不是繩了
[00:01:04.240 --> 00:01:05.360]  就是繩
[00:01:05.360 --> 00:01:06.560]  都是這樣讀的
[00:01:06.560 --> 00:01:07.760]  都是這個音類似
[00:01:07.760 --> 00:01:08.520]  但是繩
[00:01:08.520 --> 00:01:09.480]  倍增
[00:01:09.480 --> 00:01:15.120]  就是說我們一群人一起學習怎樣去對付試探
[00:01:15.120 --> 00:01:17.680]  好了,賣了四個關子
[00:01:17.680 --> 00:01:19.920]  記住你有朋友繼續帶他來
[00:01:19.920 --> 00:01:21.920]  怎樣去面對試探
[00:01:21.920 --> 00:01:25.280]  九十年代有一部電影
[00:01:25.280 --> 00:01:26.880]  那部電影叫做《Devil's Advocates》
[00:01:26.880 --> 00:01:27.880]  我不知道大家有沒有看過
[00:01:27.880 --> 00:01:31.040]  這部電影就是
[00:01:31.040 --> 00:01:35.160]  Keanu Reeves和Al Pacino飾演
[00:01:35.160 --> 00:01:38.440]  這部電影講的是一個年輕人
[00:01:38.440 --> 00:01:41.600]  Keanu飾演的
[00:01:41.600 --> 00:01:44.720]  他是一個很成功的律師
[00:01:44.720 --> 00:01:48.040]  很年輕的時候已經拿了一個大律師牌
[00:01:48.040 --> 00:01:49.800]  就在美國南部
[00:01:49.800 --> 00:01:52.040]  在做一個律師
[00:01:52.040 --> 00:01:53.680]  很成功,有很好的家庭
[00:01:53.680 --> 00:01:54.680]  很好的生活
[00:01:55.280 --> 00:01:57.520]  有一天就有一家大公司
[00:01:57.520 --> 00:02:00.760]  大公司就在紐約的一家大律師行
[00:02:00.760 --> 00:02:01.760]  國際的大律師行
[00:02:01.760 --> 00:02:03.200]  就請他上去紐約
[00:02:03.200 --> 00:02:06.680]  就給他一份更加大的職位
[00:02:06.680 --> 00:02:07.600]  當然了
[00:02:07.600 --> 00:02:10.800]  看到這麼有前途的大公司
[00:02:10.800 --> 00:02:14.120]  死人都飛上去紐約接受這份工作
[00:02:14.120 --> 00:02:14.680]  是不是?
[00:02:14.680 --> 00:02:18.760]  這份公司的老闆就是Al Pacino飾演的
[00:02:18.760 --> 00:02:20.320]  就是這群老闆
[00:02:21.160 --> 00:02:26.480]  這位老闆當然到了紐約燈紅酒綠的地方
[00:02:26.480 --> 00:02:29.880]  這家公司不是普通的公司
