
[00:00:00.000 --> 00:00:03.920]  大家好,我們等了這個好消息很久
[00:00:03.920 --> 00:00:08.880]  疫情慢慢在香港基本上穩定下來
[00:00:08.880 --> 00:00:12.000]  教會又可以重開實體崇拜
[00:00:12.000 --> 00:00:15.320]  不過還有一個規則
[00:00:15.320 --> 00:00:20.480]  就是那個聚會無論是崇拜或者是團契等等
[00:00:20.480 --> 00:00:29.840]  規則就是在場地不可以坐多於能夠容納的人數的一半
[00:00:29.840 --> 00:00:31.840]  所以為什麼我們要隔行坐
[00:00:31.840 --> 00:00:35.280]  亦都是弟兄姊妹之間要坐開一點
[00:00:35.280 --> 00:00:36.920]  保持一個社交距離
[00:00:36.920 --> 00:00:38.120]  如果是團契的話
[00:00:38.120 --> 00:00:43.120]  如果一間房是二十個人容納到的話
[00:00:43.120 --> 00:00:46.400]  十個人的團契就可以用那個房
[00:00:46.400 --> 00:00:48.000]  當然如果你們要的時候
[00:00:48.000 --> 00:00:48.920]  你們可以出聲的了
[00:00:48.920 --> 00:00:49.600]  可以借的了
[00:00:49.600 --> 00:00:54.840]  我們辦公室就試試找找一個合適你們人數的地方
[00:00:54.840 --> 00:00:56.840]  這個應該是很開心的事情
[00:00:56.840 --> 00:00:59.960]  小朋友或者學生又慢慢復課了
[00:00:59.960 --> 00:01:05.800]  你們幾位未上學
[00:01:05.800 --> 00:01:07.160]  再多兩個禮拜
[00:01:07.160 --> 00:01:07.640]  OK
[00:01:07.640 --> 00:01:10.720]  有些高中生就已經在下星期三就復課了
[00:01:10.720 --> 00:01:13.560]  所以都是一個另一種的新開始
[00:01:13.560 --> 00:01:16.680]  不過其實我們在上帝的屬靈生命當中
[00:01:16.680 --> 00:01:19.640]  沒有什麼時候停頓
[00:01:19.640 --> 00:01:21.440]  我們最多活動有停頓
[00:01:21.440 --> 00:01:24.280]  飛機不可以在空中起飛
[00:01:24.280 --> 00:01:27.360]  但是跟上帝的關係、跟人的關係
[00:01:27.360 --> 00:01:28.800]  跟大自然世界的關係
[00:01:28.800 --> 00:01:31.760]  跟社會的關係是不能停頓的
[00:01:31.760 --> 00:01:33.240]  所以剛才我們分享
[00:01:33.240 --> 00:01:34.840]  究竟我學了多少東西呢?
[00:01:34.840 --> 00:01:37.760]  在疫情當中或者在艱難的裡面
[00:01:37.760 --> 00:01:40.480]  有時候經歷是困難的或者艱難的
[00:01:40.480 --> 00:01:42.760]  不過仍然可以看到上帝
[00:01:42.760 --> 00:01:45.840]  仍然在主裡面得著力量
[00:01:45.840 --> 00:01:48.280]  甚至乎一些新的體會
[00:01:48.280 --> 00:01:51.280]  甚至乎在那裡繼續有時逢
[00:01:51.280 --> 00:01:55.360]  發掘到自己在主裡面那種尊貴和能力
[00:01:55.360 --> 00:01:57.040]  所以其實是很寶貴的
[00:01:57.040 --> 00:02:00.880]  現在在乎我們是不是讓上帝來感動
[00:02:00.880 --> 00:02:01.880]  更新
[00:02:01.880 --> 00:02:04.000]  以致有一種新的體會
[00:02:04.000 --> 00:02:06.760]  世界在等著我們
[00:02:06.760 --> 00:02:10.480]  因為上帝呼召我們這群門徒
[00:02:10.480 --> 00:02:13.280]  繼續活在這個世界當中
[00:02:13.280 --> 00:02:16.280]  所以如果說上帝也要我們
[00:02:16.280 --> 00:02:18.560]  貢獻在這個世界
[00:02:18.560 --> 00:02:23.440]  我們是不是要將我們的眼目更多看著上帝呢?
[00:02:23.440 --> 00:02:25.080]  當我們一聽到好消息
[00:02:25.080 --> 00:02:26.880]  就說可以復課了
[00:02:26.880 --> 00:02:29.360]  或者可以恢復我們的崇拜了
[00:02:29.360 --> 00:02:31.360]  這些聲音是很開心的
[00:02:31.360 --> 00:02:34.880]  不過實際上也是有另一些聲音又出現了
[00:02:34.880 --> 00:02:36.960]  有很多震撼的消息
[00:02:36.960 --> 00:02:41.560]  包括文憑史、歷史科的事提的事情
[00:02:41.560 --> 00:02:44.720]  香港電台某一個節目的事情
[00:02:44.720 --> 00:02:49.080]  一些記者受訪的時候受到一些阻攔
