
[00:00:00.000 --> 00:00:03.640]  今天我們來到新的講道系列
[00:00:03.640 --> 00:00:08.060]  我們叫做「復活節的到來」系列
[00:00:08.060 --> 00:00:10.360]  今天是第一講,是信心
[00:00:10.360 --> 00:00:14.400]  教會的傳統壽蘭週的每一天
[00:00:14.400 --> 00:00:17.640]  都是根據四福音來命名的
[00:00:17.640 --> 00:00:21.120]  由中樹主日(Palm Sunday)開始
[00:00:21.120 --> 00:00:25.600]  到復活日(Resurrection Day)來結束
[00:00:25.600 --> 00:00:27.900]  而這短短的七天裏面
[00:00:27.900 --> 00:00:31.480]  教會傳統就叫它做「壽蘭週」
[00:00:31.480 --> 00:00:33.720]  叫做Passion Week
[00:00:33.720 --> 00:00:39.240]  這個壽蘭週是耶穌走上十字架的道路
[00:00:39.240 --> 00:00:42.920]  也是耶穌一生裏面的高峰
[00:00:42.920 --> 00:00:45.880]  也是四福音裏面的核心
[00:00:45.880 --> 00:00:49.460]  也是基督教信仰的核心和根基
[00:00:49.460 --> 00:00:53.300]  而四福音分別用了很長的篇幅
[00:00:53.300 --> 00:00:55.920]  來記載這個壽蘭週
[00:00:55.920 --> 00:01:02.500]  馬太福音和路加福音總共用了四分之一的篇幅
[00:01:02.500 --> 00:01:04.580]  而馬可用了三分之一
[00:01:04.580 --> 00:01:06.560]  而約翰福音是最長的
[00:01:06.560 --> 00:01:13.240]  用了一半的篇幅來記載這個壽蘭的一週
[00:01:13.240 --> 00:01:17.360]  我們回想起這個壽蘭週裏面
[00:01:17.360 --> 00:01:19.900]  在這個星期裏面
[00:01:19.900 --> 00:01:23.060]  耶路撒冷發生了很多很多的事情
[00:01:23.060 --> 00:01:27.060]  這一切的事情就是由中樹主人
[00:01:27.060 --> 00:01:30.260]  即是由Palm Sunday揭開序幕
[00:01:30.260 --> 00:01:33.420]  這個中樹主人發生了什麼事呢?
[00:01:33.420 --> 00:01:36.580]  就是由耶穌騎驢進城開始
[00:01:36.580 --> 00:01:40.780]  耶穌騎驢進城進入耶路撒冷
[00:01:40.780 --> 00:01:46.940]  而這個Palm Sunday這個中樹主人
[00:01:46.940 --> 00:01:49.700]  在四本福音裏面都有記載
[00:01:49.700 --> 00:01:54.420]  而今天我們就是由馬太福音的二十一章裏面的記載來看
[00:01:54.420 --> 00:01:56.500]  所以如果大家有聖經的話
[00:01:56.500 --> 00:01:57.860]  在家裏的每個人都一樣
[00:01:57.860 --> 00:02:03.740]  大家打開馬太福音第二十一章一至十一節
[00:02:03.740 --> 00:02:09.520]  大家請聽我讀馬太福音的二十一章的一至十一節
[00:02:09.520 --> 00:02:10.420]  這裏說什麼呢?
[00:02:10.420 --> 00:02:13.660]  耶穌和門徒將近耶路撒冷
[00:02:13.660 --> 00:02:15.860]  到了白髮旗在鑒冷山那裏
[00:02:15.860 --> 00:02:17.700]  耶穌就打發兩個門徒
[00:02:17.700 --> 00:02:21.260]  對他們說:你們往對面村子去
[00:02:21.260 --> 00:02:23.860]  必看見一匹驢
[00:02:23.860 --> 00:02:25.300]  山在那裏
[00:02:25.300 --> 00:02:28.140]  還有驢驢驢驢同在一處
[00:02:28.140 --> 00:02:30.900]  你們解開牽到我這裏來
[00:02:30.900 --> 00:02:32.620]  若有人對你們說什麼
[00:02:32.620 --> 00:02:34.420]  你們就說:主要用他
[00:02:34.420 --> 00:02:37.300]  那人必立時讓你們牽來
[00:02:37.300 --> 00:02:39.700]  第四節:這是成就
[00:02:39.700 --> 00:02:41.980]  是要應驗先知的說話
[00:02:41.980 --> 00:02:46.300]  要對石安的居民說
[00:02:46.300 --> 00:02:49.180]  看那你的王來到這裏是溫柔的
[00:02:49.180 --> 00:02:53.020]  有騎著驢就是騎著驢驢驢子
[00:02:53.020 --> 00:02:57.900]  第六節:門徒就照耶穌所吩咐的去行
[00:02:57.900 --> 00:03:00.220]  牽了驢和驢來
[00:03:00.220 --> 00:03:02.380]  把自己的衣服搭在上面
[00:03:02.380 --> 00:03:03.700]  耶穌就騎上
[00:03:03.700 --> 00:03:05.980]  眾人多半把衣服鋪在路上
[00:03:05.980 --> 00:03:08.740]  還有人撼下樹枝來鋪在路上
[00:03:08.740 --> 00:03:11.740]  前行後鎚的眾人喊著說
[00:03:11.740 --> 00:03:19.620]  「和撒拿歸於大衛的子孫,奉主名來的,是應當稱重的,高高在上的和撒拿。」
[00:03:19.620 --> 00:03:24.580]  第十節:耶穌既進了耶路撒冷,合乘都驚動了說
[00:03:24.580 --> 00:03:26.660]  「這是誰?」眾人說:
[00:03:26.660 --> 00:03:31.700]  「這是加里尼拿撒勒的先知耶穌。」
[00:03:31.700 --> 00:03:34.620]  我們一起低頭禱告
[00:03:34.620 --> 00:03:37.700]  天主上讓我們在這段時間裏
[00:03:37.700 --> 00:03:40.020]  專注在你的話語裏
[00:03:40.020 --> 00:03:44.620]  也求神當中讓我們每一個說話
[00:03:44.620 --> 00:03:51.700]  讓你的話語栽種在我們每一個人的心田裏
[00:03:51.700 --> 00:03:57.940]  讓我們能夠明白當中神對我們每一個人要說的什麼話
[00:03:57.940 --> 00:03:59.540]  求神與我們同在
[00:03:59.540 --> 00:04:03.940]  讓我們能夠在你的話語裏知道你的心意
[00:04:03.940 --> 00:04:06.540]  奉主耶穌基督得性命之祈求
[00:04:06.540 --> 00:04:07.540]  Amen
[00:04:07.540 --> 00:04:11.260]  我不知道大家最近有沒有留意新聞
[00:04:11.260 --> 00:04:12.540]  在幾個星期之前
[00:04:12.540 --> 00:04:18.060]  大家都知道有德州的冬季風暴
[00:04:18.060 --> 00:04:19.860]  Texas Winter Storm
[00:04:19.860 --> 00:04:23.460]  大家都看到在PowerPoint裏面
[00:04:23.460 --> 00:04:25.620]  我們看到冷得很厲害
[00:04:25.620 --> 00:04:27.820]  看到有Frozen Fan
[00:04:27.820 --> 00:04:30.020]  風扇有些東西凝固了
[00:04:30.020 --> 00:04:32.820]  連座廁都凝固了
[00:04:32.820 --> 00:04:33.500]  為什麼呢?
[00:04:33.500 --> 00:04:38.340]  因為當中沒有Heat在百年來
[00:04:38.340 --> 00:04:39.340]  或者是四十年來
[00:04:39.340 --> 00:04:41.740]  我都沒有認真看Follow的News
[00:04:41.740 --> 00:04:47.340]  但我記得大概是百年難得一見的Winter Storm
[00:04:47.340 --> 00:04:48.940]  其中一個報道的記載
[00:04:48.940 --> 00:04:49.660]  我上網看
[00:04:49.660 --> 00:04:55.580]  有一個叫Tiffany Revel的女士
[00:04:55.580 --> 00:05:02.700]  她由賓夕凡尼亞州去到St.Antonio,Texas裏面選美
[00:05:02.700 --> 00:05:04.780]  但她本來已經準備好了
[00:05:04.780 --> 00:05:07.420]  怎料臨走時就被困了
[00:05:07.420 --> 00:05:07.860]  為什麼呢?
[00:05:07.860 --> 00:05:10.060]  因為所有航班都不開了
[00:05:10.060 --> 00:05:12.180]  她就被困在酒店裏面
[00:05:12.180 --> 00:05:17.180]  根據她的形容沒有水、沒有電、什麼都沒有
[00:05:17.180 --> 00:05:22.260]  根據報道她就跟記者說
[00:05:22.260 --> 00:05:26.300]  很多人就走去附近最近的河流
[00:05:26.300 --> 00:05:33.620]  就用酒店的廢紙箱或垃圾桶來裝水
[00:05:33.620 --> 00:05:35.180]  裝水不是喝
[00:05:35.180 --> 00:05:39.420]  而是倒在廁所裏面沖廁
[00:05:39.420 --> 00:05:41.660]  也聽到有些居民
[00:05:41.660 --> 00:05:42.820]  聽到有些居民
[00:05:42.820 --> 00:05:44.140]  當然這個報道都知道
[00:05:44.140 --> 00:05:47.020]  就說因為沒有水就走去找些雪來煲
[00:05:47.020 --> 00:05:48.620]  煲了之後來喝
[00:05:48.620 --> 00:05:51.500]  所以你可知道環境是多麼惡劣
[00:05:51.500 --> 00:05:52.700]  多麼冷
[00:05:52.700 --> 00:05:57.500]  Tiffany還說裏面當中沒有水洗手
[00:05:57.500 --> 00:05:59.580]  沒有洗手液、沒有洗澡
[00:05:59.580 --> 00:06:01.580]  什麼都沒有
[00:06:01.580 --> 00:06:05.580]  這100個選美佳麗滯留在酒店裏面
[00:06:05.580 --> 00:06:07.260]  等待救兵
[00:06:07.260 --> 00:06:08.820]  雖然酒店甚麼都沒有
[00:06:08.820 --> 00:06:10.140]  但也要支付費用
[00:06:10.140 --> 00:06:11.060]  沒辦法了
[00:06:11.060 --> 00:06:13.580]  她就說她想搬去其他酒店
[00:06:13.580 --> 00:06:15.260]  但其他酒店又沒有
[00:06:15.260 --> 00:06:16.620]  全部都租出了
[00:06:16.620 --> 00:06:18.700]  又找不到租車、找不到工人
[00:06:18.700 --> 00:06:23.180]  油站又開始關門
[00:06:23.180 --> 00:06:26.380]  餐館又關閉了
[00:06:26.380 --> 00:06:29.340]  她就說如果她在賓夕凡尼亞州就好了
[00:06:29.340 --> 00:06:31.260]  但在聖安東尼亞州就沒辦法了
[00:06:31.260 --> 00:06:33.180]  她還說很淒涼
[00:06:33.180 --> 00:06:36.300]  很有悲哀的感受
[00:06:36.300 --> 00:06:38.700]  她就說明天都不知道怎樣了
[00:06:38.700 --> 00:06:41.900]  明天聽說天氣報告再繼續有冷卻溫度
