
[00:00:00.000 --> 00:00:06.480]  今天是母親節在這裡首先恭賀在我們中間每一位母親母親節非常非常快樂你們
[00:00:06.480 --> 00:00:14.240]  很多時候我們呢真的是領受了母親的愛常常覺得習以為常啊不覺得什麼特別
[00:00:14.240 --> 00:00:20.200]  每年習慣性的慶祝母親節這寫張卡片吃頓飯就算了
[00:00:20.200 --> 00:00:22.840]  但事實上我們從小長大
[00:00:22.840 --> 00:00:28.440]  母親所付出的愛是遠遠超過我們所能領會的
[00:00:29.040 --> 00:00:33.480]  母親在我們身上的愛與掛念也是永不止息的
[00:00:33.480 --> 00:00:39.160]  所以讓我再一次在這裡對每一位母親們說聲謝謝我們一起來謝謝我們的母親們
[00:00:39.160 --> 00:00:48.120]  是因為你們的愛才讓我們明白上帝的愛是何等長闊高深你們
[00:00:48.120 --> 00:00:54.920]  有人說在現今的世代要教養兒女是一件教人謙卑的功課
[00:00:54.920 --> 00:00:58.360]  事實上我想不只是現今的世代
[00:00:59.360 --> 00:01:05.680]  自古以來兩代之間的衝突一直是家庭所面對一個主要的危機
[00:01:05.680 --> 00:01:10.840]  聖經當中的浪子回頭的故事就是最好的例子不是嗎
[00:01:10.840 --> 00:01:20.800]  只不過在現今的世代兩代之間面對文化跟價值觀的衝突是比以前的世代更加的厲害
[00:01:20.800 --> 00:01:26.840]  以前做父母的人在管教兒女事情上是無上的權威
[00:01:27.680 --> 00:01:31.880]  現在只不過是眾多選擇當中的一個而已
[00:01:31.880 --> 00:01:39.040]  所以現今的家庭在教養兒女的事情上的確是面對極大的挑戰
[00:01:39.040 --> 00:01:42.400]  但做一個神的兒女我們要確信一件事情
[00:01:42.400 --> 00:01:45.720]  那就無論這個世界怎麼樣的改變
[00:01:45.720 --> 00:01:52.320]  神所給我們的應許以及聖經所給我們的原則是永不改變的
[00:01:52.840 --> 00:01:59.920]  所以今天早上讓我們一同來從聖經的原則上思想我們怎麼樣能夠重新
[00:01:59.920 --> 00:02:02.800]  建立我們與兒女的關係
[00:02:02.800 --> 00:02:10.400]  首先第一個要看重父母對兒女的影響 跟你們說要看重父母對兒女的影響
[00:02:10.400 --> 00:02:17.240]  雖然今天我們所處的世代是越來越加複雜
[00:02:17.240 --> 00:02:22.760]  雖然在兒女的成長的過程當中我們感覺我們的影響力越來越小
[00:02:23.720 --> 00:02:25.920]  但是我還是要提醒你一件事情
[00:02:25.920 --> 00:02:31.680]  那就是你在你兒女身上的影響力還是很大的 你們
[00:02:31.680 --> 00:02:36.520]  因為隨著連日的過去 當你回頭一看你的兒女
[00:02:36.520 --> 00:02:39.960]  他們不是充滿了你的影子 不是嗎
[00:02:39.960 --> 00:02:47.200]  他們的長相 他們的個性 他們的喜好 他們的習慣不都是你的樣子嗎
[00:02:47.200 --> 00:02:51.080]  你也是一樣 如果你仔細看看你自己
[00:02:51.960 --> 00:02:58.360]  無論你察覺與否 或者你喜歡與否 你多麼像你的父親或者母親不是嗎
[00:02:58.360 --> 00:03:07.400]  其實也沒有人故意這樣安排 但商貿這就是一個很自然而然成長的過程
[00:03:07.400 --> 00:03:12.320]  這些年我真的發現在我們兒女成長的過程當中
[00:03:12.320 --> 00:03:17.160]  無論我們中間有多少的旗艦不能夠溝通
[00:03:18.320 --> 00:03:24.640]  但自從回頭來看 他們真是踩著我們的腳印在向前走
[00:03:24.640 --> 00:03:33.960]  所以做父母的人 當我們在面對兒女成長的過程當中 其實你不需要太擔心你的兒女
[00:03:33.960 --> 00:03:39.360]  反而我要勸告在我們中間做父母的人 最重要一件事情
[00:03:39.360 --> 00:03:42.880]  來是讓我們好好為主而活
[00:03:43.800 --> 00:03:50.040]  你們有人說孩子在12歲以前他會照著你所說的去做
[00:03:50.040 --> 00:03:58.160]  12歲以後他就照你所做的去做 換句話說你的榜樣太重要
[00:03:58.160 --> 00:04:04.080]  你說希望你的兒女愛神 那你自己最好先來愛神
[00:04:04.080 --> 00:04:09.080]  如果你不希望你的兒女只做一個禮拜天的基督徒
[00:04:09.960 --> 00:04:13.960]  那你自己最好先做一個每天的基督徒 你們
[00:04:13.960 --> 00:04:20.000]  你若是希望你兒女心中充滿了對主的愛火 而不是世界上的火
[00:04:20.000 --> 00:04:25.760]  那你自己心中就先要讓主的火把你的生命點燃起來
[00:04:25.760 --> 00:04:32.680]  多少時候在教會裡面 我們很容易會批評別人說 這個人好愛主 那個人不大愛主
[00:04:32.680 --> 00:04:35.480]  但真正問題是你愛主嗎
[00:04:37.040 --> 00:04:41.280]  Oswald Smith曾經這樣說 他福音書其實有五本
[00:04:41.280 --> 00:04:50.400]  哎 你說不是四本嗎 沒錯 是有馬太 馬可 路加 約翰 第五本呢就是你自己了
[00:04:50.400 --> 00:04:53.760]  一般人所讀的是前四本
[00:04:53.760 --> 00:05:00.680]  但你身旁以及你家人所讀的就是最後這卷 就是你自己
[00:05:00.680 --> 00:05:05.320]  許多時候你知道我們常常急於去改變我們的兒女
[00:05:06.080 --> 00:05:09.000]  按照我們的標準去衡量我們的兒女
[00:05:09.000 --> 00:05:14.000]  但你可知道我們的兒女正在用他們的標準來衡量我們嗎
[00:05:14.000 --> 00:05:20.160]  我不知道你們想到過 你在你兒女當中 眼目當中是怎麼樣一個父母
[00:05:20.160 --> 00:05:24.280]  你在你兒女眼中是怎麼樣一個基督徒呢
[00:05:24.280 --> 00:05:31.120]  你要記得你的兒女是要從你身上來認識神 來經歷神的
[00:05:32.120 --> 00:05:39.080]  Evan Christensen他是一個美國婦女聯導會的一個發起人
[00:05:39.080 --> 00:05:47.480]  他因為服侍的緣故常常需要在外地講道 所以沒有太多時間留在家裡
[00:05:47.480 --> 00:05:54.600]  他就發現他的先生跟他的女兒對信仰的事情都不大有興趣
[00:05:55.360 --> 00:06:02.040]  既不讀經也不禱告 所以他就常常提醒他們 要愛主不要貪愛世界
[00:06:02.040 --> 00:06:07.960]  有一天在吃飯的時候 他就開始跟他們講 要愛主不要貪愛世界
[00:06:07.960 --> 00:06:15.440]  後來他女兒就跳起來說 不要再講了 你講這些話的時候就像個法律善人 假冒為善
[00:06:15.440 --> 00:06:23.920]  嚇一跳 怎麼他女兒會有這種反應呢 難道他自己真的像個法律善人假冒為善嗎
[00:06:24.760 --> 00:06:27.520]  他就來到神的面前 求神的靈光照他
[00:06:27.520 --> 00:06:33.360]  神的靈就讓他想到主耶穌基督在剋星瑪尼園裡面的禱告
[00:06:33.360 --> 00:06:35.960]  你還記得主耶穌怎麼禱告嗎
[00:06:35.960 --> 00:06:42.720]  主耶穌向父神禱告說 主啊若是可行將這悲除去 但是不是按照我的意思
[00:06:42.720 --> 00:06:45.560]  是按照主你的意思
[00:06:45.560 --> 00:06:49.880]  他就明白過來 那天他就在神面前做了一個禱告
[00:06:50.920 --> 00:06:55.640]  他說 主啊不是改變別人 不是改變我的丈夫
[00:06:55.640 --> 00:07:00.400]  不是改變我的孩子 主啊改變我
[00:07:00.400 --> 00:07:08.000]  從那一天開始 他每天做這個禱告 求主幫助他改變他自己
[00:07:08.000 --> 00:07:15.280]  有一天他女兒回家 進了廚房 看到他很高興
[00:07:16.000 --> 00:07:21.880]  就說 媽 我在聖經裡面看到你耶 你怎麼會在聖經裡面看到我呢
[00:07:21.880 --> 00:07:27.240]  對啊 在聖經裡面看見所有的美德都在你身上耶 喔 哈利路亞
[00:07:27.240 --> 00:07:35.200]  就藉著他生命的改變 就發現能夠帶來全家生命的改變 哈利路亞
[00:07:35.200 --> 00:07:42.680]  所以說 你們一點不要輕忽你對兒女的影響力 只要你的生命被改變了
[00:07:43.360 --> 00:07:48.000]  他們的生命自然而然會受到影響被改變的
[00:07:48.000 --> 00:07:53.280]  你們要看重你對兒女生命的影響力
[00:07:53.280 --> 00:07:58.520]  第二 要陪伴你的兒女成長 跟你們說要陪伴你的兒女成長
[00:07:58.520 --> 00:08:02.560]  你知道成長是一個過程
[00:08:02.560 --> 00:08:11.200]  在這個過程當中 做父母的跟做兒女的 對同一件事情所看的角度是不同
[00:08:12.480 --> 00:08:18.960]  對一個成長中的兒女來講 他們所看見的永遠是這個過程的本身
[00:08:18.960 --> 00:08:26.000]  可是對做父母的來講 永遠是看見將來美好的結果嘛
[00:08:26.000 --> 00:08:30.880]  所以為什麼這是有時候叫你的小孩子讀書是這麼困難
[00:08:30.880 --> 00:08:38.600]  因為他們所看見的是現在的辛苦啊 可是做父母看見是將來美好的願景啊
[00:08:40.080 --> 00:08:44.200]  所以對父母來講 明天那麼重要 你今天為什麼不能忍耐呢
[00:08:44.200 --> 00:08:48.240]  對兒女來說 今天都過不去 你還講什麼明天啊
[00:08:48.240 --> 00:08:56.960]  難怪勾不通嘛 其實最主要的原因就是這是一個成長的過程
