
[00:00:00.000 --> 00:00:02.000]  好 弟兄姊妹主內平安
[00:00:02.000 --> 00:00:06.000]  各位今天特別有些新朋友來到當中
[00:00:06.000 --> 00:00:08.000]  願你們都有平安
[00:00:08.000 --> 00:00:10.000]  讓我們一起有個祈禱我們才開始
[00:00:10.000 --> 00:00:12.000]  好 天父我們去多謝你
[00:00:12.000 --> 00:00:16.000]  因為你真的為我們賜下了最好的福氣
[00:00:16.000 --> 00:00:18.000]  最大的救恩
[00:00:18.000 --> 00:00:22.000]  讓我們真的能夠去思念你自己的愛和信實
[00:00:22.000 --> 00:00:24.000]  帶領我們今天的崇拜
[00:00:24.000 --> 00:00:26.000]  我們的信息都有你自己引領
[00:00:26.000 --> 00:00:30.000]  祈禱交托奉耶穌名字而求 阿們
[00:00:30.000 --> 00:00:33.000]  今天和大家分享的題目是
[00:00:33.000 --> 00:00:36.000]  主耶穌是我們的盼望
[00:00:36.000 --> 00:00:41.000]  因為我們這個月12月是聖誕的日子
[00:00:41.000 --> 00:00:43.000]  這個月份也很特別
[00:00:43.000 --> 00:00:46.000]  所以和我們平時
[00:00:46.000 --> 00:00:50.000]  我們之前一直在看馬太福音第五章至第七章的部分
[00:00:50.000 --> 00:00:52.000]  我們今天暫時停一停
[00:00:52.000 --> 00:00:57.000]  我們就去到聖誕的部分
[00:00:57.000 --> 00:01:00.000]  聖誕是一個什麼月份呢?
[00:01:00.000 --> 00:01:04.000]  12月是聖誕的日子
[00:01:04.000 --> 00:01:08.000]  我們有一首歌叫Christmas is a time to love
[00:01:08.000 --> 00:01:10.000]  聖誕是一個愛的時刻
[00:01:10.000 --> 00:01:13.000]  因為神讓我們去經歷祂的愛
[00:01:13.000 --> 00:01:15.000]  事實上
[00:01:15.000 --> 00:01:21.000]  不同的地方都用不同的方法去計算一年的開始
[00:01:21.000 --> 00:01:26.000]  我們一般用1月1日作為一個月的開始
[00:01:26.000 --> 00:01:29.000]  中國人就不一樣
[00:01:29.000 --> 00:01:33.000]  我們用年初一作為一年的開始
[00:01:33.000 --> 00:01:39.000]  原來在基督教的教會界裡都有一個年曆
[00:01:39.000 --> 00:01:41.000]  那個年曆是怎樣呢?
[00:01:41.000 --> 00:01:44.000]  就是一個這樣的年曆
[00:01:44.000 --> 00:01:55.000]  基督教的教會界的年曆是以11月尾12月初作為一個開始
[00:01:55.000 --> 00:01:59.000]  我們叫這個教會年用這個時間開始
[00:01:59.000 --> 00:02:02.000]  為什麼用這個時間開始呢?
[00:02:02.000 --> 00:02:09.000]  我們用耶穌將要降臨的時刻作為教會年開始的起頭
[00:02:09.000 --> 00:02:18.000]  你看這幅圖的時候 左邊中間橫向藍色的日子就是那個開始
[00:02:18.000 --> 00:02:23.000]  教會年就是用耶穌將要來臨作為那個開始
[00:02:23.000 --> 00:02:26.000]  接著講到耶穌出生 耶穌顯現
[00:02:26.000 --> 00:02:32.000]  接著預備去受苦 接著去復活 升天
[00:02:32.000 --> 00:02:35.000]  上半節就是關於耶穌的故事
[00:02:35.000 --> 00:02:40.000]  所以教會年就是以耶穌作為頭半年的故事的內容
[00:02:40.000 --> 00:02:45.000]  而去到後半年就會以神的子民的故事
[00:02:45.000 --> 00:02:48.000]  所以有很多不同的節期
[00:02:48.000 --> 00:02:53.000]  我們見到特別猶太人的節期 修葛的節期等等
[00:02:53.000 --> 00:03:01.000]  五旬節一直下去 他們的時間都會用這些時間作為分界
[00:03:01.000 --> 00:03:08.000]  所以整個教會年就是以耶穌的故事和神子民的故事作為分界
[00:03:08.000 --> 00:03:13.000]  而當中在今年2025年就是以11月30日
[00:03:13.000 --> 00:03:18.000]  即是上個主日去到12月24日就是平安夜的晚上
[00:03:18.000 --> 00:03:24.000]  通常在教會期間叫做張臨期
[00:03:24.000 --> 00:03:28.000]  張臨期就是耶穌將要來臨
[00:03:28.000 --> 00:03:31.000]  25日我們就當作是耶穌出生的日子
[00:03:31.000 --> 00:03:35.000]  所以用四個主日 通常我們用四個主日
[00:03:35.000 --> 00:03:40.000]  第一個主日是11月30日 連續四個主日
[00:03:40.000 --> 00:03:47.000]  然後到耶穌降生的日子之前 平安夜作為一個這樣的日子
[00:03:47.000 --> 00:03:49.000]  張臨期是做什麼的呢?
[00:03:49.000 --> 00:03:54.000]  張臨期就是紀念我們去耶穌第一次降生
[00:03:54.000 --> 00:03:59.000]  但同時間張臨期也是一個期待的日子
[00:03:59.000 --> 00:04:03.000]  就是期待耶穌第二次降臨
[00:04:03.000 --> 00:04:05.000]  所以這是一個很有意思的日子
[00:04:05.000 --> 00:04:11.000]  因為不單止想想耶穌昔日做的事 也想想耶穌將要做的事
[00:04:11.000 --> 00:04:15.000]  所以在耶穌已經做的事和將要做的事的日子裏
[00:04:15.000 --> 00:04:22.000]  就帶來一個很重要的關於耶穌一生或耶穌來臨的反思
[00:04:22.000 --> 00:04:30.000]  所以在教會的年曆裏 按照這四個主日定下了四個主題
[00:04:30.000 --> 00:04:36.000]  不知道大家能否猜到是哪四個主題是關於耶穌將要來臨的呢?
[00:04:36.000 --> 00:04:38.000]  想不想得到呢?
[00:04:38.000 --> 00:04:41.000]  你們很聰明的 不說而已
[00:04:41.000 --> 00:04:43.000]  包括什麼呢?
[00:04:43.000 --> 00:04:47.000]  包括盼望 今天我們說的是盼望
[00:04:47.000 --> 00:04:51.000]  另外就是平安 接著有喜樂 最後就是愛
[00:04:51.000 --> 00:04:54.000]  通常如果有跟足教會年曆的教會
[00:04:54.000 --> 00:04:58.000]  每一年去到十一月尾或十二月頭
[00:04:58.000 --> 00:05:01.000]  就會有四個主日都會說這四個主題
[00:05:01.000 --> 00:05:06.000]  所以在這次裏我也會按照其中兩個主題
[00:05:06.000 --> 00:05:09.000]  在這次和下次和大家一起去思考
[00:05:09.000 --> 00:05:14.000]  我們想想耶穌要來臨的時候對我們的意義
[00:05:14.000 --> 00:05:17.000]  當然今天我們要去思考的就是
[00:05:17.000 --> 00:05:24.000]  耶穌基督的降生 主耶穌就是我們的盼望
[00:05:24.000 --> 00:05:26.000]  在今天這個題目裏面
[00:05:26.000 --> 00:05:31.000]  我嘗試用了羅馬書第十五章十二至十三節
[00:05:31.000 --> 00:05:35.000]  兩節的經文 因為我比較長氣
[00:05:35.000 --> 00:05:40.000]  所以用兩節經文嘗試帶出我們的思考
[00:05:40.000 --> 00:05:47.000]  第一個和大家先去思考的經文就是在十五章十三節
[00:05:47.000 --> 00:05:50.000]  我們邀請大家再讀多一次
[00:05:50.000 --> 00:05:53.000]  加深一下我們對這段聖經的印象
[00:05:53.000 --> 00:05:54.000]  好 開始
[00:05:54.000 --> 00:05:58.000]  願賜盼望的上帝 因你們的信
[00:05:58.000 --> 00:06:02.000]  把各樣的喜樂 平安 充滿你們的心
[00:06:02.000 --> 00:06:07.000]  使你們藉著聖靈的能力大有盼望
[00:06:07.000 --> 00:06:13.000]  這段聖經裏面一開始說的是賜盼望的上帝
[00:06:13.000 --> 00:06:15.000]  為什麼我們能夠有盼望呢?
[00:06:15.000 --> 00:06:19.000]  我們盼望的源頭是來自那位上帝
[00:06:19.000 --> 00:06:23.000]  願賜盼望的上帝 也藉著這位上帝
[00:06:23.000 --> 00:06:27.000]  他怎樣呢?他藉著聖靈的能力使我們大有盼望
[00:06:27.000 --> 00:06:31.000]  就是說一方面上帝是我們盼望的源頭
[00:06:31.000 --> 00:06:35.000]  同時另一方面也知道我們整個盼望的過程裏面
[00:06:35.000 --> 00:06:39.000]  我們也是藉著聖靈的幫助讓我們大有盼望
[00:06:39.000 --> 00:06:43.000]  事實上這正正是在說我們的上帝和我們的聖靈
[00:06:43.000 --> 00:06:47.000]  就是我們所謂常常提及的三位一體的上帝
[00:06:47.000 --> 00:06:50.000]  當我們在說這個盼望的時候
[00:06:50.000 --> 00:06:52.000]  既然知道源頭是來自上帝
[00:06:52.000 --> 00:06:55.000]  我們當然要去做一個分別
[00:06:55.000 --> 00:07:00.000]  就是究竟今天我們的盼望和我們的希望有什麼分別呢?
[00:07:00.000 --> 00:07:03.000]  我嘗試這樣幫大家去思考一下
[00:07:03.000 --> 00:07:06.000]  我們的希望很多時候就是Make a wish
