
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,平安
[00:00:02.000 --> 00:00:05.160]  世事瞬息萬變
[00:00:05.160 --> 00:00:08.340]  本來,是從這邊來的
[00:00:08.340 --> 00:00:12.880]  抬起頭來,就來到這裡
[00:00:12.880 --> 00:00:16.700]  今早,起床打開電視
[00:00:16.700 --> 00:00:20.140]  看看天氣,我發現原來
[00:00:20.140 --> 00:00:23.420]  敘利亞那裡又開始打仗
[00:00:23.420 --> 00:00:27.080]  阿拉普現在不知道怎樣
[00:00:27.080 --> 00:00:29.840]  當地的人不知道怎樣
[00:00:30.380 --> 00:00:33.380]  我們很感謝上帝,香港都是平安的
[00:00:33.380 --> 00:00:37.180]  但是這個世界裡有很多地方
[00:00:37.180 --> 00:00:38.460]  朝不保夕
[00:00:38.460 --> 00:00:41.760]  很多人
[00:00:41.760 --> 00:00:44.080]  在很大的壓力裡
[00:00:44.080 --> 00:00:46.080]  而我們呢
[00:00:46.080 --> 00:00:49.100]  我們的壓力就在經濟裡面
[00:00:49.100 --> 00:00:53.880]  經過不同的街道
[00:00:53.880 --> 00:00:57.520]  吉普都是不少的
[00:00:58.120 --> 00:01:00.700]  我們在問一個問題,然後怎樣呢?
[00:01:00.700 --> 00:01:02.940]  其實這個問題
[00:01:02.940 --> 00:01:05.440]  其實都不用答案的了
[00:01:05.440 --> 00:01:08.360]  耶穌已經說得很清楚
[00:01:08.360 --> 00:01:11.140]  祂快來了
[00:01:11.140 --> 00:01:14.860]  這個世界會越來越變化莫測
[00:01:14.860 --> 00:01:19.780]  亞國,祂寫亞國書的時候
[00:01:19.780 --> 00:01:22.900]  祂一早就看到這個日子
[00:01:22.900 --> 00:01:26.680]  一早就看到人心在這個日子裡面
[00:01:26.680 --> 00:01:29.660]  是多麼的動盪惶恐
[00:01:29.660 --> 00:01:31.740]  又看到
[00:01:31.740 --> 00:01:34.740]  有一些人,一部份的人
[00:01:34.740 --> 00:01:36.860]  他們有了一些力量
[00:01:36.860 --> 00:01:40.040]  財務的力量,人脈的力量
[00:01:40.040 --> 00:01:41.940]  有很多的方法
[00:01:41.940 --> 00:01:46.100]  這些人就很驕傲,覺得可以把持著命運
[00:01:46.100 --> 00:01:50.180]  所以他在亞國書最後這一段
[00:01:50.180 --> 00:01:52.820]  他就提出這些警告
[00:01:53.980 --> 00:01:57.400]  警告什麼呢?他說你們有錢的人不要這麼囂張
[00:01:57.400 --> 00:02:00.420]  你們一直在壓榨那些窮人
[00:02:00.420 --> 00:02:03.200]  那些窮人的呼喊聲
[00:02:03.200 --> 00:02:05.600]  上帝聽不到了
[00:02:05.600 --> 00:02:08.360]  你千萬不要以為你沒事
[00:02:08.360 --> 00:02:11.700]  其他那些弟兄姊妹
[00:02:11.700 --> 00:02:15.520]  你們要看看那些農夫,那些農夫
[00:02:15.520 --> 00:02:16.880]  他殺種
[00:02:16.880 --> 00:02:19.080]  其實殺種是一個投資
[00:02:19.080 --> 00:02:22.180]  不知道有沒有收成,不過他們都要殺種
[00:02:22.880 --> 00:02:25.740]  他們要殺種,然後他們就等
[00:02:25.740 --> 00:02:27.460]  他們要做的事都已經做完了
[00:02:27.460 --> 00:02:29.840]  施肥
[00:02:29.840 --> 00:02:34.440]  除草,各樣他們能做的都已經做了
[00:02:34.440 --> 00:02:36.900]  然後就等,等什麼呢?
[00:02:36.900 --> 00:02:39.880]  等他們的植物長大
[00:02:39.880 --> 00:02:41.620]  然後結出果實
[00:02:41.620 --> 00:02:43.800]  其他沒什麼好做的了
[00:02:43.800 --> 00:02:48.620]  所以你們都要忍耐地等
[00:02:48.620 --> 00:02:51.160]  等什麼呢?
[00:02:52.260 --> 00:02:53.260]  煮
[00:02:53.260 --> 00:02:55.660]  鹹料
[00:02:55.660 --> 00:02:58.800]  今天我突然間被那些
[00:02:58.800 --> 00:03:02.080]  聖誕的音樂提醒,是聖誕節
[00:03:02.080 --> 00:03:05.180]  聖誕節所慶祝的就是耶穌
[00:03:05.180 --> 00:03:08.060]  第一次的降生,不過我們的注意力
[00:03:08.060 --> 00:03:11.400]  應該放在耶穌的在內
[00:03:11.400 --> 00:03:14.860]  耶穌的降生給我們一個很新的
[00:03:14.860 --> 00:03:17.020]  一個的時機,一個的機會
[00:03:17.020 --> 00:03:19.840]  就是我們可以透過耶穌的十字架
[00:03:19.840 --> 00:03:22.480]  可以跟這位永活的上帝
[00:03:22.480 --> 00:03:25.500]  我們福氣的源頭,我們生命的基礎
