
[00:00:00.000 --> 00:00:04.500]  在過去六個禮拜其實我們透過這篇愛情的聖經裡面所記載
[00:00:04.500 --> 00:00:10.500]  有關索羅門王跟蘇拉蜜呂的愛情故事
[00:00:10.500 --> 00:00:11.500]  我們學會很多的東西
[00:00:11.500 --> 00:00:15.500]  第一章我們學習怎麼樣去吸引異性
[00:00:15.500 --> 00:00:18.000]  就是你需要建立一些什麼品格
[00:00:18.000 --> 00:00:19.500]  當異性看到你的時候
[00:00:19.500 --> 00:00:21.000]  他一定會很欣賞你
[00:00:21.000 --> 00:00:24.000]  那麼在第二章我們學習怎麼樣去談戀愛
[00:00:24.000 --> 00:00:25.500]  就你開始找到對象了
[00:00:25.500 --> 00:00:27.000]  你需要談戀愛的時候
[00:00:27.000 --> 00:00:28.500]  你應該怎麼樣談戀愛
[00:00:28.500 --> 00:00:31.000]  有什麼應該做什麼不應該做
[00:00:31.000 --> 00:00:34.500]  然後第三章我們開始學會怎麼樣去
[00:00:34.500 --> 00:00:37.500]  在戀愛當中怎麼樣去預備進入婚姻
[00:00:37.500 --> 00:00:39.500]  然後第四章我們就開始學會說
[00:00:39.500 --> 00:00:43.500]  在婚姻裡面我們怎麼樣去處理一些結了婚之後
[00:00:43.500 --> 00:00:46.500]  夫妻之間的那些矛盾吵架
[00:00:46.500 --> 00:00:49.500]  那麼我們三個禮拜我們在看的時候
[00:00:49.500 --> 00:00:51.500]  我們就學習怎麼樣結了婚之後
[00:00:51.500 --> 00:00:56.000]  當你處理完了這些婚姻的爭爭吵吵之後
[00:00:56.000 --> 00:00:59.500]  怎麼樣使你的愛你跟配偶之間的愛
[00:00:59.500 --> 00:01:01.500]  能夠更加的成熟
[00:01:01.500 --> 00:01:04.000]  以至於你跟你的配偶可以擺手
[00:01:04.000 --> 00:01:06.500]  可以白頭到老一直走到最後
[00:01:06.500 --> 00:01:09.500]  兩個的關係能夠越來越親密
[00:01:09.500 --> 00:01:13.000]  而不會是你走到最後就好像中國式離婚一樣
[00:01:13.000 --> 00:01:15.000]  就是大家形同陌路人
[00:01:15.000 --> 00:01:17.000]  為了孩子的緣故就不要離婚嗎
[00:01:17.000 --> 00:01:18.500]  其實已經離了
[00:01:18.500 --> 00:01:19.500]  這很重要
[00:01:19.500 --> 00:01:22.000]  所以今天我們來到了最後一章
[00:01:22.000 --> 00:01:23.500]  雅各的最後一章
[00:01:23.500 --> 00:01:25.500]  我們來總結這本書
[00:01:25.500 --> 00:01:28.000]  到底除了愛情以外
[00:01:28.000 --> 00:01:32.500]  它還有沒有一些很重要的訊息是來告訴我們的
[00:01:32.500 --> 00:01:34.500]  那麼今天我們來學三個很重要
[00:01:34.500 --> 00:01:37.000]  雅各結束的時候我們來總結這本書
[00:01:37.000 --> 00:01:41.000]  有三個很重要的真理我們需要來學習的
[00:01:41.000 --> 00:01:44.000]  那麼第一個真理就是有關愛的尋覓
[00:01:44.000 --> 00:01:46.500]  我們怎麼樣去找到一種
[00:01:46.500 --> 00:01:51.000]  我們心目中所渴望那種很完美的愛
[00:01:51.000 --> 00:01:52.500]  其實每個人都在找
[00:01:52.500 --> 00:01:54.000]  其實每個人心裡面都有
[00:01:54.000 --> 00:01:59.000]  但是你知道在現實中你所經歷到的愛
[00:01:59.000 --> 00:02:03.000]  沒有一樣是你心目中想的渴望的那種很完美的
[00:02:03.000 --> 00:02:05.000]  無條件接納你的
[00:02:05.000 --> 00:02:07.500]  你需要的時候他會在你身邊安慰
[00:02:07.500 --> 00:02:11.000]  這跟現實你碰到的人相差太遠
[00:02:11.000 --> 00:02:13.500]  所以為什麼我們每個人心裡面
[00:02:13.500 --> 00:02:16.000]  雖然你找不到可是你會嚮往
[00:02:16.000 --> 00:02:18.000]  這就是為什麼韓劇這麼流行
[00:02:18.000 --> 00:02:19.500]  因為現實中遇不到
[00:02:19.500 --> 00:02:21.000]  至少在電視上我可以
[00:02:21.000 --> 00:02:24.000]  在一個虛擬的世界我滿足一下
[00:02:24.000 --> 00:02:26.000]  這就是為什麼大部分的人
[00:02:26.000 --> 00:02:28.000]  你發現大部分的人
[00:02:28.000 --> 00:02:31.000]  你心裡面都有一個假想的
[00:02:31.000 --> 00:02:33.000]  我們稱之為imaginary girlfriend
[00:02:33.000 --> 00:02:35.000]  or imaginary boyfriend
[00:02:35.000 --> 00:02:39.000]  有沒有一個你假想完美的男朋友或女朋友
[00:02:39.000 --> 00:02:41.000]  大部分心裡面都有
[00:02:41.000 --> 00:02:43.000]  那麼當然有一些的principle你需要知道
[00:02:43.000 --> 00:02:45.000]  就是what happen inside your head
[00:02:45.000 --> 00:02:46.000]  stay inside your head
[00:02:46.000 --> 00:02:48.000]  你不需要到處跟人家講說
[00:02:48.000 --> 00:02:50.000]  你知道我心裡面那個假想的
[00:02:50.000 --> 00:02:52.000]  imaginary girlfriend有多漂亮嗎
[00:02:52.000 --> 00:02:53.000]  你不需要
[00:02:53.000 --> 00:02:56.000]  有一天我記得有一次我們聊天的時候有聊過
[00:02:56.000 --> 00:02:59.000]  其實我發現說原來每個人心裡面都有
[00:02:59.000 --> 00:03:01.000]  每個人心裡面都有
[00:03:01.000 --> 00:03:04.000]  所以我們其實心裡面有那種渴望
[00:03:04.000 --> 00:03:06.000]  想要說得到一種完美的愛
[00:03:06.000 --> 00:03:08.000]  可是現實中沒有
[00:03:08.000 --> 00:03:09.000]  所以我們無論接著韓劇
[00:03:09.000 --> 00:03:13.000]  接著說你心裡面假想有一個這麼的人存在
[00:03:13.000 --> 00:03:14.000]  那個人會一直存在
[00:03:14.000 --> 00:03:16.000]  包括你結了婚之後
[00:03:16.000 --> 00:03:18.000]  你還在跟他dating
[00:03:18.000 --> 00:03:21.000]  當然你也不需要confess your wife
[00:03:21.000 --> 00:03:23.000]  就是I just cheated on you
[00:03:23.000 --> 00:03:26.000]  I had a date with my imaginary girlfriend
[00:03:26.000 --> 00:03:27.000]  你不需要
[00:03:27.000 --> 00:03:28.000]  但是你知道你有
[00:03:28.000 --> 00:03:30.000]  那麼今天我們來讀一段的經文
[00:03:30.000 --> 00:03:34.000]  來看看說到底雅各告訴我們
[00:03:34.000 --> 00:03:37.000]  我們每個人心裡面渴慕那份愛的尋求
[00:03:37.000 --> 00:03:39.000]  到底怎麼樣你可以找到
[00:03:39.000 --> 00:03:42.000]  那我們來讀雅各最後的一段
[00:03:42.000 --> 00:03:45.000]  是雅各的第八章十一到十四節
[00:03:45.000 --> 00:03:48.000]  雅各八章十一到十四節
[00:03:48.000 --> 00:03:53.000]  那邊說索羅門在巴黎哈門有一個葡萄園
[00:03:53.000 --> 00:03:56.000]  他將葡萄園交給看守的人
[00:03:56.000 --> 00:03:58.000]  其實原本應該是不是交給
