
[00:00:00.000 --> 00:00:03.080]  如果你按照我們的讀經計劃
[00:00:03.080 --> 00:00:07.180]  今天這個禮拜就開始讀《針研》了
[00:00:07.180 --> 00:00:10.260]  讀完詩篇 當然你有自己的讀經計劃
[00:00:10.260 --> 00:00:11.220]  你可以繼續去的
[00:00:11.220 --> 00:00:16.300]  今天就是讀《針研》的第九章和第十章
[00:00:16.300 --> 00:00:19.280]  明天繼續讀第十一、第十二章
[00:00:19.280 --> 00:00:23.000]  我們在讀《針研》的時候
[00:00:23.000 --> 00:00:28.160]  其實已經進入我們叫做智慧文獻
[00:00:28.160 --> 00:00:31.100]  其實詩篇都可以算是智慧的
[00:00:31.100 --> 00:00:35.240]  當我們想智慧 可能你想到會有《針研》
[00:00:35.240 --> 00:00:39.220]  《傳道書》、《雅歌》 還有《約伯記》
[00:00:39.220 --> 00:00:40.980]  我們怎麼去明白《針研》呢?
[00:00:40.980 --> 00:00:45.100]  《針研》是一個非常不容易明白的書
[00:00:45.100 --> 00:00:46.580]  通常我們一想起《針研》
[00:00:46.580 --> 00:00:50.380]  我們就想起很多人生的智慧
[00:00:50.380 --> 00:00:54.000]  我們想一些 一句一句
[00:00:54.000 --> 00:00:58.180]  其實和中國人的一些《針研》的回答
[00:00:58.180 --> 00:01:00.580]  好像沒有什麼分別
[00:01:00.580 --> 00:01:03.140]  講來講去都是講一些人生哲理
[00:01:03.140 --> 00:01:06.500]  你要努力工作的 你可以得到回報
[00:01:06.500 --> 00:01:11.840]  你要誠信 不要借錢
[00:01:11.840 --> 00:01:15.540]  或者不要沉迷於什麼
[00:01:15.540 --> 00:01:20.020]  究竟是不是這樣去明白《針研》呢?
[00:01:20.020 --> 00:01:21.780]  《針研》有一個很大的危機
[00:01:21.780 --> 00:01:23.680]  就是我們去讀《針研》的時候
[00:01:23.680 --> 00:01:26.680]  我們很容易 甚至有些人是用《針研》來查經
[00:01:26.680 --> 00:01:30.080]  或者是做靈修 或者是講道
[00:01:30.080 --> 00:01:33.620]  其實你根本就沒有考慮到整個《針研》
[00:01:33.620 --> 00:01:35.740]  究竟這本書要講些什麼
[00:01:35.740 --> 00:01:37.460]  而是只是抽幾句出來
[00:01:37.460 --> 00:01:43.460]  來上下文、來整本書、來整本聖經
[00:01:43.460 --> 00:01:45.160]  我們要讀明《針研》
[00:01:45.160 --> 00:01:47.580]  我們大概要起碼知道
[00:01:47.580 --> 00:01:51.320]  《針研》就是我們所想到的《針研》
[00:01:51.320 --> 00:01:56.520]  就不是獨自發生 而是在一本書裡面
[00:01:56.520 --> 00:01:58.180]  這本書就叫做《針研》
[00:01:58.180 --> 00:02:02.540]  當然這本書的前後還有其它聖經的書
[00:02:02.540 --> 00:02:05.860]  你不可以當創出來的紋身不存在
[00:02:05.860 --> 00:02:08.420]  你不可以當新約聖經不存在
[00:02:08.420 --> 00:02:11.760]  你要整體的去看 我們才可以看得明白
[00:02:11.760 --> 00:02:15.000]  就算在《針研》這本書裡面
[00:02:15.000 --> 00:02:17.320]  我們所謂的《針研》會集
[00:02:17.320 --> 00:02:22.340]  其實都是主要在第10章和第29章中間的
[00:02:22.340 --> 00:02:27.160]  但是你看到這本書是被兩件東西包著的
[00:02:27.160 --> 00:02:28.280]  一個是《引賢》
[00:02:28.280 --> 00:02:32.740]  還有另外一個叫做《阿古爾》的一些話語
[00:02:32.740 --> 00:02:36.980]  還有一個《利姆伊勒》的一些話語
[00:02:36.980 --> 00:02:41.300]  那個最後第31章就是我們叫做《賢德的婦人》
[00:02:41.300 --> 00:02:43.600]  我不知道大家是否熟悉
[00:02:43.600 --> 00:02:49.540]  無論如何 你要去讀第10到第29章
[00:02:49.540 --> 00:02:50.840]  這些《針研》會集的時候
[00:02:50.840 --> 00:02:54.580]  你不可以忘記那個《引賢》和那個結論
[00:02:54.580 --> 00:02:57.620]  你要這樣去包著它才可以看的
[00:02:57.620 --> 00:03:00.960]  這本書其實是很難的
[00:03:00.960 --> 00:03:02.280]  其中一個難處就是
[00:03:02.280 --> 00:03:05.380]  真的我們不是很知道當時的背景
[00:03:05.380 --> 00:03:08.360]  或者是誰寫給誰
[00:03:08.360 --> 00:03:11.700]  當然有人說這個是所羅門的《針研》
[00:03:11.700 --> 00:03:15.880]  其實主要的原因是因為所羅門有個Reputation
[00:03:15.880 --> 00:03:18.040]  就是人家一想起所羅門
[00:03:18.040 --> 00:03:20.120]  就是他的智慧化身等等
[00:03:20.120 --> 00:03:24.400]  就是和我們過去《獨立王記》有一點關係
[00:03:24.400 --> 00:03:29.100]  但是實際上是不是真是所羅門的《針研》
[00:03:29.100 --> 00:03:30.200]  或者是不是所羅門寫的
[00:03:30.200 --> 00:03:31.240]  當然應該不是
[00:03:31.240 --> 00:03:34.700]  應該是人家借所羅門的名字
[00:03:34.700 --> 00:03:36.820]  可能當中都有些所羅門的《針研》
[00:03:36.820 --> 00:03:40.100]  但是當中的《針研》大概是包括很多
[00:03:40.100 --> 00:03:42.100]  可能Ancient Near East
[00:03:42.100 --> 00:03:46.100]  就是當時遠古近東的一些
[00:03:46.100 --> 00:03:49.900]  甚至不是以色列人的《針研》
[00:03:49.900 --> 00:03:54.540]  比如說阿古爾、利姆·伊勒
[00:03:54.540 --> 00:03:57.000]  這些人可能不是以色列人
[00:03:57.000 --> 00:04:00.720]  但無論如何他被收集在《聖經》的時候
[00:04:00.720 --> 00:04:02.120]  加了個《引賢》
[00:04:02.120 --> 00:04:06.960]  就將你要用一個完全以耶和華為中心的角度
[00:04:06.960 --> 00:04:09.280]  去明白這本《針研》
[00:04:09.280 --> 00:04:14.080]  所以這本是一個很奇妙的書
[00:04:14.080 --> 00:04:20.460]  但是你的角度一定要用一個正確的角度去看
[00:04:20.460 --> 00:04:21.960]  其中一樣東西很特別的
[00:04:21.960 --> 00:04:24.260]  就是你發現這本書
[00:04:24.260 --> 00:04:31.360]  《引賢》那裡是將智慧化身為一位女士
[00:04:31.360 --> 00:04:38.400]  我想其實西方有些文化都是覺得女士是智慧
[00:04:38.400 --> 00:04:41.840]  就是Sophia那個名字就是智慧的
[00:04:41.840 --> 00:04:45.120]  在結束的時候也都有一個女士
[00:04:45.120 --> 00:04:49.480]  所以覺得這個女士其實是在講《針研》
[00:04:49.480 --> 00:04:53.240]  就是智慧的化身 它包圍著這個智慧
[00:04:53.240 --> 00:04:58.560]  我想有三樣東西值得講一下
[00:04:58.560 --> 00:05:00.800]  雖然沒有人知道《針研》
[00:05:00.800 --> 00:05:02.920]  究竟是什麼時候寫給誰
[00:05:02.920 --> 00:05:10.480]  曾經我也有聽過其中一個可能性 最近的近年的一些神學觀點
[00:05:10.480 --> 00:05:14.260]  就是《針研》可能其實是寫給一個年輕
[00:05:14.260 --> 00:05:19.420]  將會進入政治 做政治的一個年輕人
[00:05:19.420 --> 00:05:23.000]  就是一個爸爸對一個孩子的訓言
[00:05:23.000 --> 00:05:24.880]  叫他要小心一點
[00:05:24.880 --> 00:05:32.160]  當然都是以為耶和華為中心的一件事
[00:05:32.160 --> 00:05:34.100]  我想是非常之重要的
[00:05:34.100 --> 00:05:37.660]  另外一件事我想大家要想多一點
[00:05:37.660 --> 00:05:42.480]  譬如說《針研》裡面有一些情況是講到
[00:05:42.480 --> 00:05:45.860]  譬如說是經威爾和華的人
[00:05:45.860 --> 00:05:48.860]  經威爾和華使人得長壽
[00:05:48.860 --> 00:05:51.300]  惡人的年歲必定減少
[00:05:51.300 --> 00:05:53.700]  你怎麼去明白這些東西呢?
[00:05:53.700 --> 00:05:59.500]  你是不是覺得這個是不是成功神學、富貴福音
[00:05:59.500 --> 00:06:02.720]  甚至就算我們不是在講成功神學、富貴福音
[00:06:02.720 --> 00:06:05.000]  是不是真的呢?好像不是的
[00:06:05.000 --> 00:06:07.920]  是不是那個經威爾和華就會長壽
[00:06:07.920 --> 00:06:14.660]  惡人不是惡人 現在的惡人活到很多年紀很大的
[00:06:14.660 --> 00:06:16.800]  你怎麼去明白這件事呢?
[00:06:16.800 --> 00:06:20.260]  我想你真的要用一個整體的
[00:06:20.260 --> 00:06:23.180]  尤其是從舊弱去到新弱的時候
[00:06:23.180 --> 00:06:27.260]  你會發現你要用一個天國的眼光
[00:06:27.260 --> 00:06:30.260]  一個屬靈的眼光去明白這些《針研》
[00:06:30.260 --> 00:06:36.940]  有些人就說其實這些《針研》普遍上是對的
[00:06:36.940 --> 00:06:39.980]  就是說普遍上經威爾華的人是會長壽一點的
[00:06:39.980 --> 00:06:43.400]  不過都有例外 我覺得更好的角度就是
[00:06:43.400 --> 00:06:50.640]  它不是在講一個身體上、現實上的事情
[00:06:50.640 --> 00:06:53.500]  而是走向一個屬靈的方向
[00:06:53.500 --> 00:06:58.460]  如果你記得我們不斷在講舊弱的祝福好像是很實在
[00:06:58.460 --> 00:07:03.900]  但是新弱的祝福就越來越是有一個屬靈永恆的角度
[00:07:03.900 --> 00:07:07.660]  如果你用一個屬靈永恆的角度來想
[00:07:07.660 --> 00:07:11.120]  我想你會比較容易看到這些《針研》
