
[00:00:00.000 --> 00:00:02.860]  (主席) 各位記者你們好
[00:00:02.860 --> 00:00:07.120]  我從來沒有試過連續兩個主日在一個教會裡面講道
[00:00:07.120 --> 00:00:12.240]  希望你們不會覺得悶 又見到我
[00:00:12.240 --> 00:00:20.280]  今天實在是很開心跟大家分享我自己的一些看法
[00:00:20.280 --> 00:00:23.960]  其實上個禮拜的講道
[00:00:23.960 --> 00:00:27.140]  還有今天跟大家分享的訊息
[00:00:27.140 --> 00:00:31.060]  其實你可以很濃縮地看到
[00:00:31.060 --> 00:00:36.360]  我的靈命成長的看法和路向
[00:00:36.360 --> 00:00:40.060]  很少有人在這麼短的時間
[00:00:40.060 --> 00:00:44.940]  將我要講的東西都可以講給大家知道
[00:00:44.940 --> 00:00:47.840]  希望大家都能夠在當中
[00:00:47.840 --> 00:00:52.820]  真的能夠得到上帝的祝福
[00:00:52.820 --> 00:00:57.760]  上個禮拜我講的題目你還記不記得
[00:00:57.760 --> 00:01:01.080]  通常都不會記得 一個小時之後已經忘記了
[00:01:01.080 --> 00:01:02.440]  何況是一個禮拜
[00:01:02.440 --> 00:01:08.780]  叫做定格永恆的生命
[00:01:08.780 --> 00:01:14.560]  上個禮拜我的主題是強調了生命
[00:01:14.560 --> 00:01:16.560]  神聖的生命
[00:01:16.560 --> 00:01:19.420]  今天我跟大家講的題目叫做
[00:01:19.420 --> 00:01:23.600]  回歸永活的聖言
[00:01:23.600 --> 00:01:30.560]  我的焦點放在聖言 即是聖經的說話
[00:01:30.560 --> 00:01:36.520]  我很肯定沒有一個基督徒會否定聖經的重要性
[00:01:36.520 --> 00:01:38.120]  今天我的側重點
[00:01:38.120 --> 00:01:44.160]  將一個好像很冰冷的一個題目
[00:01:44.160 --> 00:01:49.540]  或者好像是側重了頭腦知識的一個課題
[00:01:49.540 --> 00:01:52.040]  我試圖換一個新的面貌
[00:01:52.040 --> 00:01:54.820]  呈現在大家的面前
[00:01:54.820 --> 00:01:56.820]  讓大家看得到一件事
[00:01:56.820 --> 00:02:01.080]  原來聖經是一個對我們活生生的道理
[00:02:01.080 --> 00:02:03.580]  絕對不是一本書
[00:02:03.580 --> 00:02:06.860]  絕對不是一些很枯燥的事情
[00:02:06.860 --> 00:02:09.540]  而是上帝給信徒
[00:02:09.540 --> 00:02:14.060]  我們每一個人極之寶貴的一個禮物
[00:02:14.060 --> 00:02:16.500]  如果你能夠明白到這一點的話
[00:02:16.500 --> 00:02:19.320]  將你整個人生改變過
[00:02:19.320 --> 00:02:22.580]  值得我們一生去追求
[00:02:22.580 --> 00:02:25.760]  我們先來做一個祈禱
[00:02:25.760 --> 00:02:27.760]  感謝我們的神
[00:02:27.760 --> 00:02:30.260]  你將你的話
[00:02:30.260 --> 00:02:35.080]  藉著聖靈的引導寫在這本聖經
[00:02:35.080 --> 00:02:39.880]  將你的啟示直接告訴我們
[00:02:39.880 --> 00:02:43.920]  求主叫我們不單止要讀聖經
[00:02:43.920 --> 00:02:47.360]  不單止看為是一種責任
[00:02:47.360 --> 00:02:51.360]  而是更加要珍惜這本聖經
[00:02:51.360 --> 00:02:54.360]  開了我們的心橋
[00:02:54.360 --> 00:02:58.440]  讓我們成為我們手中握著聖靈的寶劍
[00:02:58.440 --> 00:03:01.800]  為我們的主打個美好的著
[00:03:01.800 --> 00:03:05.580]  我們的禱告是奉耶穌基督的命求
[00:03:05.580 --> 00:03:07.580]  感恩
[00:03:14.740 --> 00:03:19.100]  海岸有個地方叫做Bell Rock
[00:03:19.100 --> 00:03:22.900]  Bell Rock原來是一種礁石的小島
[00:03:22.900 --> 00:03:25.940]  在潮漲的時候是看不到的
[00:03:25.940 --> 00:03:28.240]  因為水位很高
[00:03:28.240 --> 00:03:30.340]  但潮退的時候
[00:03:30.340 --> 00:03:34.480]  這些礁石的小島就會出現
[00:03:34.480 --> 00:03:38.220]  在這樣的情況下其實對於航海是很危險的
[00:03:38.220 --> 00:03:42.960]  因為你一中了礁之後你就會沉船
[00:03:42.960 --> 00:03:47.160]  大概是18世紀末期的時候
[00:03:47.160 --> 00:03:50.760]  有人計算過每一年在Bell Rock的地方
[00:03:50.760 --> 00:03:56.100]  都發生起碼六次沉船的意外
[00:03:56.100 --> 00:04:01.640]  當時的政府就決定在那裡建一個燈塔
[00:04:01.640 --> 00:04:04.140]  在19世紀初期建一個燈塔
[00:04:04.140 --> 00:04:07.580]  來警告周圍的船隻要小心
[00:04:07.580 --> 00:04:09.120]  不要靠近它
[00:04:09.120 --> 00:04:15.420]  並且有指示方向讓那些船隻應該怎樣走
[00:04:15.420 --> 00:04:18.320]  直到大概20世紀初期
[00:04:18.320 --> 00:04:20.360]  自從第一次世界大戰之後
[00:04:20.360 --> 00:04:22.660]  1914至1918年
[00:04:22.660 --> 00:04:24.560]  第一次世界大戰之後
[00:04:24.560 --> 00:04:29.100]  這個地方只發生過一次有沉船的意外
[00:04:29.100 --> 00:04:32.480]  原因是因為打仗所以完全不能有燈
[00:04:32.480 --> 00:04:36.640]  所以就發生意外
[00:04:36.640 --> 00:04:40.140]  各位 其實我們的人生往往都是在一個
[00:04:40.140 --> 00:04:43.080]  好像波濤洶湧的大海裡面
[00:04:43.080 --> 00:04:46.860]  一隻很小的船
[00:04:46.860 --> 00:04:51.520]  其實那個經歷是非常危險的
[00:04:51.520 --> 00:04:57.260]  我們看前路的時候好像很絕望
[00:04:57.260 --> 00:05:01.600]  所以我們希望能夠找到有一種希望在前面
[00:05:01.600 --> 00:05:06.400]  更加最重要的就是能夠邁向一個出路
[00:05:06.400 --> 00:05:08.440]  在基督徒來說
[00:05:08.440 --> 00:05:11.540]  我們的出路是甚麼呢
[00:05:11.540 --> 00:05:15.580]  我們的出路就是神的說話
[00:05:15.580 --> 00:05:19.080]  神的話就是我們的明燈
[00:05:19.080 --> 00:05:22.860]  神的話就是我們的燈塔
