
[00:00:00.000 --> 00:00:05.520]  願因為平安 多多的家給你們
[00:00:05.520 --> 00:00:07.520]  我們一起祈禱
[00:00:07.520 --> 00:00:09.520]  鐵父感謝你
[00:00:09.520 --> 00:00:13.520]  你不單讓我們得著救恩
[00:00:13.520 --> 00:00:17.520]  讓我們能夠有盼望承受
[00:00:17.520 --> 00:00:19.520]  應許給我們的產業
[00:00:19.520 --> 00:00:21.520]  在我們地上生活
[00:00:21.520 --> 00:00:26.520]  你願意將因為平安 多多的賜給我們
[00:00:26.520 --> 00:00:29.520]  願主幫助我們眾人
[00:00:29.520 --> 00:00:33.520]  用信心去領受你自己的說話
[00:00:33.520 --> 00:00:35.520]  所以聽我們的禱告
[00:00:35.520 --> 00:00:37.520]  奉耶穌名字祈求
[00:00:37.520 --> 00:00:43.520]  馬年就過了
[00:00:43.520 --> 00:00:46.520]  忙不忙碌啊?
[00:00:46.520 --> 00:00:48.520]  勞不勞累啊?
[00:00:48.520 --> 00:00:50.520]  很勞累啊
[00:00:50.520 --> 00:00:54.520]  我今早聽到新聞
[00:00:54.520 --> 00:00:58.520]  有五個小孩爭著在羊年出世
[00:00:58.520 --> 00:01:02.520]  我就奇怪 為什麼沒有人報馬年最後出世的那個呢?
[00:01:02.520 --> 00:01:04.520]  可能那個醫生說 忍住啊 忍住啊
[00:01:04.520 --> 00:01:08.520]  還有十五十秒 到羊年了
[00:01:08.520 --> 00:01:12.520]  馬年很勞累
[00:01:12.520 --> 00:01:14.520]  那羊年要怎樣呢?
[00:01:14.520 --> 00:01:21.520]  今年我們的少年組團契
[00:01:21.520 --> 00:01:24.520]  他叫我 牧師不如我們一起寫一下輝春吧
[00:01:24.520 --> 00:01:29.520]  我想到CB23篇
[00:01:29.520 --> 00:01:32.520]  又說是我的牧者
[00:01:32.520 --> 00:01:37.520]  又想到很美的一句話
[00:01:37.520 --> 00:01:44.520]  躺臥青草地 安潔溪水旁
[00:01:44.520 --> 00:01:47.520]  不要走那麼多了 好不好?
[00:01:47.520 --> 00:01:49.520]  去年走得很累啊
[00:01:49.520 --> 00:01:54.520]  今年試試 躺臥青草地
[00:01:54.520 --> 00:01:56.520]  在那裡可以吃的
[00:01:56.520 --> 00:01:59.520]  草蔭你吃不完的
[00:01:59.520 --> 00:02:05.520]  安潔溪水旁
[00:02:05.520 --> 00:02:09.520]  在這個泉源旁邊不斷的得力
[00:02:09.520 --> 00:02:12.520]  你要有力量 一定要安靜
[00:02:12.520 --> 00:02:14.520]  你不安靜 沒力量
[00:02:14.520 --> 00:02:21.520]  所以今年教會 接下來羊年第一個晚上的聚會
[00:02:21.520 --> 00:02:24.520]  就會教你怎樣去靈修 怎樣去安靜
[00:02:24.520 --> 00:02:28.520]  馬很衝勁 很勁 是不是?
[00:02:28.520 --> 00:02:32.520]  不過馬跑到最後你都會累 是不是?
[00:02:32.520 --> 00:02:35.520]  但是懂得在神面前安潔
[00:02:35.520 --> 00:02:38.520]  懂得在神面前休息的人
[00:02:38.520 --> 00:02:40.520]  是真正蒙福的人
[00:02:42.520 --> 00:02:45.520]  歷久常新
[00:02:45.520 --> 00:02:49.520]  第一次會 不知道大家有沒有留意到
[00:02:49.520 --> 00:02:52.520]  新其實是一件什麼事情
[00:02:52.520 --> 00:02:57.520]  如果一個新都會舊的
[00:02:57.520 --> 00:03:00.520]  那個不是真的新 是不是?
[00:03:00.520 --> 00:03:04.520]  我們見到人結婚 叫新人
[00:03:04.520 --> 00:03:07.520]  是不是?沒見過他 變成什麼人?
[00:03:09.520 --> 00:03:13.520]  新年 今天是年初一
[00:03:13.520 --> 00:03:17.520]  接著又變成舊年
[00:03:17.520 --> 00:03:21.520]  請問在地上有哪一樣東西
[00:03:21.520 --> 00:03:24.520]  是歷久常新 有沒有?
[00:03:24.520 --> 00:03:28.520]  沒有的
