
[00:00:00.000 --> 00:00:05.120]  今天我們會繼續講到以利亞港島系列
[00:00:05.120 --> 00:00:09.120]  今天我們會講一個叫做曠野中的操練
[00:00:09.120 --> 00:00:11.120]  是講到17章的
[00:00:11.120 --> 00:00:15.120]  講到以利亞剛剛開始出來被神使用
[00:00:15.120 --> 00:00:17.120]  然後神怎樣去訓練他
[00:00:17.120 --> 00:00:20.120]  在這邊的港島裏面
[00:00:20.120 --> 00:00:22.120]  我想首先在開場白的時候
[00:00:22.120 --> 00:00:26.120]  先介紹一些以利亞他服侍的背景
[00:00:26.120 --> 00:00:28.120]  以利亞服侍的背景
[00:00:28.120 --> 00:00:31.120]  就是阿哈王當政的年代
[00:00:31.120 --> 00:00:34.120]  他是成為以色列的王
[00:00:34.120 --> 00:00:38.120]  在主前的870年到850年
[00:00:38.120 --> 00:00:40.120]  他大概在位20年
[00:00:40.120 --> 00:00:42.120]  在這段時間
[00:00:42.120 --> 00:00:45.120]  其實以色列已經分為南北兩國
[00:00:45.120 --> 00:00:47.120]  南邊叫猶大
[00:00:47.120 --> 00:00:50.120]  北邊叫以色列
[00:00:50.120 --> 00:00:54.120]  有關阿哈王的記載
[00:00:54.120 --> 00:00:57.120]  他大概人生當中有兩場很重要的戰役
[00:00:57.120 --> 00:01:01.120]  一場被聖經記載
[00:01:01.120 --> 00:01:03.120]  一場是聖經沒有記載
[00:01:03.120 --> 00:01:05.120]  哪兩場戰役呢
[00:01:05.120 --> 00:01:06.120]  我們可以看下一章
[00:01:06.120 --> 00:01:09.120]  第一場戰役就是叫做
[00:01:09.120 --> 00:01:12.120]  The Battle of Karka
[00:01:12.120 --> 00:01:16.120]  在當時話說有一個王叫做Sarmaneser三世
[00:01:16.120 --> 00:01:19.120]  他在阿哈王做王的時候
[00:01:19.120 --> 00:01:21.120]  他是亞述的大帝
[00:01:21.120 --> 00:01:26.120]  當年亞述大帝南征攻城掠地
[00:01:26.120 --> 00:01:30.120]  南征的時候遇到
[00:01:30.120 --> 00:01:33.120]  在當時南面的地方有11個王
[00:01:33.120 --> 00:01:35.120]  包括大馬士革王
[00:01:35.120 --> 00:01:36.120]  包括阿哈王
[00:01:36.120 --> 00:01:39.120]  11個王組成聯盟
[00:01:39.120 --> 00:01:42.120]  來抵抗Sarmaneser三世
[00:01:42.120 --> 00:01:44.120]  在這場戰役當中
[00:01:44.120 --> 00:01:49.120]  我們根據考古學上發現
[00:01:49.120 --> 00:01:50.120]  我們看下一章
[00:01:50.120 --> 00:01:51.120]  有一個石碑
[00:01:51.120 --> 00:01:55.120]  石碑叫做The Curved Marmalade
[00:01:55.120 --> 00:01:59.120]  石碑上記載了這一場戰役
[00:01:59.120 --> 00:02:01.120]  叫做The Battle of Karka
[00:02:01.120 --> 00:02:05.120]  這場戰役當中
[00:02:05.120 --> 00:02:08.120]  根據石碑所講
[00:02:08.120 --> 00:02:12.120]  應該是Sarmaneser三世大勝而歸
[00:02:12.120 --> 00:02:14.120]  但根據實際的歷史
[00:02:14.120 --> 00:02:17.120]  這場戰役應該不算打贏
[00:02:17.120 --> 00:02:20.120]  因為歷史記載他應該是突然撤兵
[00:02:20.120 --> 00:02:23.120]  然後幾年之後再重整軍隊
[00:02:23.120 --> 00:02:25.120]  又再大軍南下
[00:02:25.120 --> 00:02:27.120]  所以這場戰役如果打贏了
[00:02:27.120 --> 00:02:29.120]  已經成功攻城掠地
[00:02:29.120 --> 00:02:30.120]  不需要突然撤兵
[00:02:30.120 --> 00:02:34.120]  也不需要幾年之後再揮軍南下
[00:02:34.120 --> 00:02:37.120]  所以這場戰役石碑上應該是吹水
[00:02:37.120 --> 00:02:38.120]  其實沒有贏
