
[00:00:00.000 --> 00:00:03.000]  所以承認平安是何等的寶貴
[00:00:03.000 --> 00:00:09.000]  我們應該在社會主義那裡
[00:00:09.000 --> 00:00:11.000]  想到我們教會
[00:00:11.000 --> 00:00:14.000]  我們基督徒對社會的責任
[00:00:14.000 --> 00:00:16.000]  特別香港的社會
[00:00:16.000 --> 00:00:18.000]  大家都知道近年來是一個
[00:00:18.000 --> 00:00:22.000]  充滿了對立紛爭的社會
[00:00:22.000 --> 00:00:26.000]  所謂國民教育
[00:00:26.000 --> 00:00:30.000]  最近撕裂了香港的社會
[00:00:30.000 --> 00:00:33.000]  我們需要為這樣一個社會來禱告
[00:00:33.000 --> 00:00:37.000]  而且有社會的關懷和參與
[00:00:37.000 --> 00:00:40.000]  所以求主使用教會的社關部
[00:00:40.000 --> 00:00:42.000]  能夠在這方面多下功夫
[00:00:42.000 --> 00:00:45.000]  帶領教會來怎樣關懷
[00:00:45.000 --> 00:00:47.000]  今天這個撕裂了的社會
[00:00:47.000 --> 00:00:50.000]  因為責任在我們那裡
[00:00:50.000 --> 00:00:52.000]  耶穌說你們是世上的炎
[00:00:52.000 --> 00:00:53.000]  世上的光
[00:00:53.000 --> 00:00:55.000]  這個是我們的責任
[00:00:55.000 --> 00:00:57.000]  所以今天的祈禱裡面
[00:00:57.000 --> 00:01:00.000]  我們為這些事情祈禱
[00:01:00.000 --> 00:01:05.000]  也是為今天立法會的選舉
[00:01:05.000 --> 00:01:07.000]  投票日
[00:01:07.000 --> 00:01:09.000]  也是仰望神
[00:01:09.000 --> 00:01:12.000]  求主透過這樣的活動
[00:01:12.000 --> 00:01:14.000]  讓我們基督徒參與的時候
[00:01:14.000 --> 00:01:19.000]  我們能夠帶來一個真正有平安的社會
[00:01:19.000 --> 00:01:21.000]  我們痛心低頭禱告
[00:01:25.000 --> 00:01:26.000]  天父我們感謝你
[00:01:26.000 --> 00:01:28.000]  因為你樂意向我們施恩
[00:01:28.000 --> 00:01:30.000]  當我們向你禱告祈求的時候
[00:01:30.000 --> 00:01:33.000]  我們深信主你必定垂聽
[00:01:33.000 --> 00:01:36.000]  求主將我們心中所願意的
