
[00:00:00.000 --> 00:00:04.000]  今年和大家看了很多我們基督徒的聖經描寫
[00:00:04.000 --> 00:00:05.500]  我們應有的身份
[00:00:05.500 --> 00:00:07.000]  我們自己的identity
[00:00:07.000 --> 00:00:12.000]  即是我們認識我們在這個世界上的一些角色
[00:00:12.000 --> 00:00:14.000]  今天來和大家看
[00:00:14.000 --> 00:00:18.000]  這個就是我們是場上的賽跑者
[00:00:18.000 --> 00:00:24.000]  我們每一個人都在這個競技場上來賽跑
[00:00:24.000 --> 00:00:26.000]  這個是聖經對我們的形容
[00:00:26.000 --> 00:00:29.000]  對我們自己的認識如果能夠足夠
[00:00:29.000 --> 00:00:31.000]  我們就知道我們在跑
[00:00:31.000 --> 00:00:34.000]  跑的意思就是說我們在跟從主
[00:00:34.000 --> 00:00:38.000]  在跑我們前面的這條道路
[00:00:38.000 --> 00:00:39.000]  不是隨便跑的
[00:00:39.000 --> 00:00:43.000]  是好像一個賽跑者那樣來跑
[00:00:43.000 --> 00:00:45.000]  就是說有目標的
[00:00:45.000 --> 00:00:47.000]  是有付出的
[00:00:47.000 --> 00:00:48.000]  是有目的的
[00:00:48.000 --> 00:00:52.000]  是有裝備的
[00:00:52.000 --> 00:00:55.000]  來跑跟隨主的道路
[00:00:55.000 --> 00:00:57.000]  所以現在我們有些想像力
[00:00:57.000 --> 00:00:59.000]  先不要說我們有些想像力
[00:00:59.000 --> 00:01:03.000]  就是說想起一些聖子的背景
[00:01:03.000 --> 00:01:06.000]  同樣想起聖經裏面給我們的背景
[00:01:06.000 --> 00:01:10.000]  我們就好像一群人在跑一樣
[00:01:10.000 --> 00:01:12.000]  我們一齊的來到
[00:01:12.000 --> 00:01:16.000]  從信主開始跑一條新的道路
[00:01:16.000 --> 00:01:20.000]  來到不是隨便亂撞的
[00:01:20.000 --> 00:01:24.000]  而是有一條跟著道路的
[00:01:24.000 --> 00:01:27.000]  有目標的我們再說
[00:01:27.000 --> 00:01:30.000]  一齊的來到向前進發
[00:01:30.000 --> 00:01:32.000]  你選一個
[00:01:32.000 --> 00:01:34.000]  你自己其中一個路
[00:01:34.000 --> 00:01:35.000]  哪一個是你呢
[00:01:35.000 --> 00:01:38.000]  我們一齊的在出發點那裏來跑
[00:01:38.000 --> 00:01:42.000]  今天我們來思想一下這方面的聖經的教導
[00:01:42.000 --> 00:01:44.000]  在肥臘秘書很清楚
[00:01:44.000 --> 00:01:49.000]  第三章十三十四節我們一起讀出這兩次經文好不好
[00:01:49.000 --> 00:01:50.000]  請讀
[00:01:50.000 --> 00:01:54.000]  各位兄弟 我不是以為自己已經得著了
[00:01:54.000 --> 00:01:56.000]  我只有一件事
[00:01:56.000 --> 00:02:00.000]  就是忘記背後努力健全的
[00:02:00.000 --> 00:02:03.000]  向著標竿直跑
[00:02:03.000 --> 00:02:06.000]  要得上帝在基督耶穌裏
[00:02:06.000 --> 00:02:10.000]  從上面照我來得的獎賞
[00:02:10.000 --> 00:02:13.000]  這個是保羅給我們的圈面
[00:02:13.000 --> 00:02:16.000]  我們努力健全
[00:02:16.000 --> 00:02:20.000]  向著標竿直跑
[00:02:20.000 --> 00:02:25.000]  這裏很清楚就指到我們在場上的賽跑者
[00:02:25.000 --> 00:02:27.000]  向著那個目標進發
[00:02:27.000 --> 00:02:29.000]  向著標竿直跑
[00:02:29.000 --> 00:02:32.000]  然後到保羅後期再寫的書
[00:02:32.000 --> 00:02:35.000]  這個是他在晚年一些
[00:02:35.000 --> 00:02:36.000]  快要離世的時候
[00:02:36.000 --> 00:02:38.000]  他仍然很清楚他這個角色
[00:02:38.000 --> 00:02:39.000]  我們一起讀
[00:02:39.000 --> 00:02:42.000]  提摩太后書四章六到第八節
[00:02:42.000 --> 00:02:43.000]  請讀
[00:02:43.000 --> 00:02:47.000]  我現在被挑撥 我離世的時候到了
[00:02:47.000 --> 00:02:50.000]  那美好的象我已經打破了
[00:02:50.000 --> 00:02:54.000]  不跑的路我已經跑盡了
