
[00:00:00.000 --> 00:00:02.320]  對於打工一族的你來說
[00:00:02.320 --> 00:00:04.440]  每天繁忙的工作
[00:00:04.440 --> 00:00:06.840]  現在因為有Work from home的緣故
[00:00:06.840 --> 00:00:08.240]  在家裡的時間多了
[00:00:08.240 --> 00:00:10.440]  你會不會覺得很不習慣呢?
[00:00:10.440 --> 00:00:13.040]  每天在公司裡日理萬機
[00:00:13.040 --> 00:00:15.440]  可能因著市場急劇轉變
[00:00:15.440 --> 00:00:17.360]  而令你暫時失去工作
[00:00:17.360 --> 00:00:18.560]  因為子女放假
[00:00:18.560 --> 00:00:19.560]  經常在家裡
[00:00:19.560 --> 00:00:21.760]  你要想盡辦法安排一些工作
[00:00:21.760 --> 00:00:23.360]  遊戲給他們
[00:00:23.360 --> 00:00:25.840]  你會不會覺得很不習慣呢?
[00:00:25.840 --> 00:00:27.360]  我會覺得很不習慣
[00:00:27.360 --> 00:00:28.520]  在500多年前
[00:00:28.520 --> 00:00:31.120]  法國有一個名叫勞倫斯的弟兄
[00:00:31.120 --> 00:00:32.320]  Brother Lawrence
[00:00:32.320 --> 00:00:34.880]  他出生在一個很貧窮的家裡
[00:00:34.880 --> 00:00:38.320]  自幼他已經只可以做一些很低下的工作
[00:00:38.320 --> 00:00:41.200]  但他一直一心希望能夠去服侍神
[00:00:41.200 --> 00:00:43.360]  後來他有機會進了修道院
[00:00:43.360 --> 00:00:46.120]  他以為可以在聖壇前面來服侍
[00:00:46.120 --> 00:00:49.760]  但結果他被差派到廚房做雜役
[00:00:49.760 --> 00:00:51.640]  但他一點都沒有埋怨
[00:00:51.640 --> 00:00:54.200]  反而將廚房變成他的家
[00:00:54.200 --> 00:00:57.960]  30年如一日他在每樣瑣碎事情上
[00:00:57.960 --> 00:01:01.520]  包括煮飯、洗地都很盡心地去做
[00:01:01.520 --> 00:01:04.000]  完全是為了愛神
[00:01:04.000 --> 00:01:06.480]  習慣了在職場上目標為本
[00:01:06.480 --> 00:01:08.000]  爭分奪秒的人
[00:01:08.000 --> 00:01:11.400]  我們可能藉著這次多點時間在家裡轉變
[00:01:11.400 --> 00:01:14.600]  嘗試盡心去做一些日常瑣碎的事情
[00:01:14.600 --> 00:01:15.680]  一些家務
[00:01:15.680 --> 00:01:18.120]  並且在當中享受過程
[00:01:18.120 --> 00:01:20.520]  體會天賦的因典處處
[00:01:20.520 --> 00:01:24.360]  在菲勒比書四章十一節裡說:
[00:01:24.360 --> 00:01:27.840]  「我無論在什麼境況都可以知足
[00:01:27.840 --> 00:01:29.920]  這事我已經學會了」
