
[00:00:00.000 --> 00:00:01.080]  丁智慧:丁智慧早晨
[00:00:01.080 --> 00:00:03.680]  各位弟兄姊妹早上好
[00:00:03.680 --> 00:00:06.320]  感恩我們可以一起去敬拜
[00:00:06.320 --> 00:00:09.240]  感謝主 我們可以一起敬拜
[00:00:09.240 --> 00:00:11.160]  每次去不同教會
[00:00:11.160 --> 00:00:12.640]  我都第一樣鼓勵丁智慧
[00:00:12.640 --> 00:00:15.760]  盡可能回來實體的敬拜
[00:00:15.760 --> 00:00:17.320]  我每次到教會
[00:00:17.320 --> 00:00:18.960]  我都會鼓勵弟兄姊妹
[00:00:18.960 --> 00:00:21.440]  盡量有實體來到教會敬拜
[00:00:21.440 --> 00:00:24.000]  我們其中有一家宣導會
[00:00:24.000 --> 00:00:26.080]  現在回去崇拜的差不多
[00:00:26.080 --> 00:00:28.320]  九成九了有一家
[00:00:28.640 --> 00:00:30.680]  有一個有一個教會
[00:00:30.680 --> 00:00:32.600]  他們回來實體崇拜
[00:00:32.600 --> 00:00:34.840]  差不多有九成九
[00:00:34.840 --> 00:00:36.360]  所以我鼓勵我們其他堂會
[00:00:36.360 --> 00:00:38.600]  我們都就像這個目標
[00:00:38.600 --> 00:00:40.040]  來到前進
[00:00:40.040 --> 00:00:43.120]  我也鼓勵其他的教會
[00:00:43.120 --> 00:00:45.120]  也向著這個目標前進
[00:00:45.120 --> 00:00:48.000]  我跟大家分享的題目是
[00:00:48.000 --> 00:00:50.560]  榜樣和這個挑戰
[00:00:50.560 --> 00:00:52.440]  我今天和大家分享的題目
[00:00:52.440 --> 00:00:54.080]  是榜樣與挑戰
[00:00:54.080 --> 00:00:56.880]  接著保羅對高羅西教會的訊息
[00:00:56.880 --> 00:00:58.280]  來到彼此的鼓勵
[00:00:58.480 --> 00:01:01.920]  是保羅給高羅西教會的鼓勵
[00:01:01.920 --> 00:01:03.960]  高羅西教會是一個
[00:01:03.960 --> 00:01:05.960]  很有榜樣有增長的教會
[00:01:05.960 --> 00:01:13.080]  高羅西教會是有個增長的教會
[00:01:13.080 --> 00:01:14.480]  很值得我們學習
[00:01:14.480 --> 00:01:15.560]  很值得我們學習
[00:01:15.560 --> 00:01:18.000]  今天所讀的經文可以分為兩部份
[00:01:18.000 --> 00:01:20.200]  今天的經文可以分為兩部份
[00:01:20.200 --> 00:01:23.200]  第一部份是第三節到第八節
[00:01:23.200 --> 00:01:26.240]  第一部份是第三節到第八節
[00:01:26.240 --> 00:01:30.720]  這一節講到關於保羅對高羅西教會的稱讚
[00:01:30.720 --> 00:01:35.080]  是保羅對高羅西教會的稱讚
[00:01:35.080 --> 00:01:39.320]  都是感恩的話
[00:01:39.320 --> 00:01:41.320]  在保羅的書信裏面
[00:01:41.320 --> 00:01:42.760]  除了問安之外
[00:01:42.760 --> 00:01:46.240]  在保羅的書信裏面除了問安
[00:01:46.240 --> 00:01:49.200]  通常都會有一些為收信人感恩的話
[00:01:49.200 --> 00:01:52.720]  也有為收信人感恩的話
[00:01:52.720 --> 00:01:58.040]  保羅這樣的做法不是循例的做法
[00:01:58.040 --> 00:02:03.040]  在每一封書信裏面
[00:02:03.040 --> 00:02:09.200]  他都會按照收信人的真實情況來獻上感恩
