
[00:00:00.000 --> 00:00:02.280]  今天要和大家分享的經文是
[00:00:02.280 --> 00:00:06.140]  《哥倫多前書2章1至5至10至14節》
[00:00:06.140 --> 00:00:08.520]  其實經文應該去到16節
[00:00:08.520 --> 00:00:12.620]  不過因為我給錯了同工
[00:00:12.620 --> 00:00:16.780]  所以大家可以打開《新約傳書》第205頁
[00:00:16.780 --> 00:00:21.780]  那裏可以看完《哥倫多前書》的15至16節
[00:00:21.780 --> 00:00:28.440]  首先讓大家一齊去禱告
[00:00:28.440 --> 00:00:34.220]  讓我們懷著恭敬的心 戰兢的心來到您的面前
[00:00:34.220 --> 00:00:39.040]  我們願意透過您聖靈在當中的開示
[00:00:39.040 --> 00:00:40.940]  讓我們開竅
[00:00:40.940 --> 00:00:43.900]  能夠明白您懷疑中的奧秘
[00:00:43.900 --> 00:00:45.540]  更加能夠明白
[00:00:45.540 --> 00:00:49.660]  上帝您對我們每一個獨特的人所說的話
[00:00:49.660 --> 00:00:53.120]  願聽的和說的都同夢您的月立
[00:00:53.120 --> 00:00:55.340]  祈禱奉主耶穌基督的名求
[00:00:55.340 --> 00:00:58.820]  阿門
[00:00:58.820 --> 00:01:04.820]  我相信大家都認識一個影視明星黃祖藍
[00:01:04.820 --> 00:01:07.460]  認識的意思是你認識她 她不認識我們
[00:01:07.460 --> 00:01:09.160]  我們認識她的
[00:01:09.160 --> 00:01:13.080]  我在想 如果你是她
[00:01:13.080 --> 00:01:17.880]  假設你都很喜歡港姐冠軍李亞男
[00:01:17.880 --> 00:01:19.960]  現在是她的太太
[00:01:19.960 --> 00:01:28.360]  當初你會不會向李亞男展開追求呢?
[00:01:28.360 --> 00:01:31.020]  會不會呢?
[00:01:31.020 --> 00:01:33.820]  哦 有人回答我
[00:01:33.820 --> 00:01:38.540]  可能我看不到他的眼睛
[00:01:38.540 --> 00:01:41.620]  可能很多人都不會
[00:01:41.620 --> 00:01:43.760]  可能你心裏有句說話跟你說
[00:01:43.760 --> 00:01:48.820]  我又沒有黃祖藍那麼有口才
[00:01:48.820 --> 00:01:52.560]  那麼有名氣 那麼多身家
[00:01:52.560 --> 00:01:54.940]  當然不會這樣做
[00:01:54.940 --> 00:01:56.380]  最怕的是什麼?
