
[00:00:00.000 --> 00:00:02.400]  凡奴婦擔重擔的人
[00:00:02.400 --> 00:00:04.400]  可以到我這裡來
[00:00:04.400 --> 00:00:07.200]  我就是你們的安息
[00:00:07.200 --> 00:00:13.200]  這篇經文往往被誤讀為對罪人
[00:00:13.200 --> 00:00:16.000]  對迷信者的福音呼召
[00:00:16.000 --> 00:00:21.200]  但如果我們將它放回原文的前文後理
[00:00:21.200 --> 00:00:23.200]  來理解
[00:00:23.200 --> 00:00:24.800]  就會知道
[00:00:24.800 --> 00:00:26.800]  耶穌在這裡所說的
[00:00:26.800 --> 00:00:32.800]  其實是作為一個有信仰的人的難處
[00:00:32.800 --> 00:00:35.600]  信仰其中的難處
[00:00:35.600 --> 00:00:39.400]  就是為了理辯傳播
[00:00:39.400 --> 00:00:43.600]  教會往往傾向將它說得太過簡單
[00:00:43.600 --> 00:00:45.400]  你明白也好
[00:00:45.400 --> 00:00:48.400]  你不明白也不要緊
[00:00:48.400 --> 00:00:49.800]  據說
[00:00:49.800 --> 00:00:53.400]  你只需要憑著單純的信心
[00:00:53.400 --> 00:00:56.400]  接受那堆羈要的教義
[00:00:56.400 --> 00:01:02.400]  你就可以成為一個重生得救的基督徒
[00:01:02.400 --> 00:01:06.000]  這確實是有些匪夷所思
[00:01:06.000 --> 00:01:10.400]  也脫離我們實際生活的經驗
[00:01:10.400 --> 00:01:12.200]  我們不明白
[00:01:12.200 --> 00:01:16.600]  明明是超級理性化的教義陳述
[00:01:16.600 --> 00:01:22.800]  為什麼一下子會變為改變生命的入門口訣
[00:01:22.800 --> 00:01:25.800]  而如果我們對信仰有什麼不明白呢
[00:01:25.800 --> 00:01:30.600]  往往也得不到理性上的認真對待
[00:01:30.600 --> 00:01:36.400]  反而是會被視為不夠信心
[00:01:36.400 --> 00:01:37.600]  有時我們不明白一些東西
[00:01:37.600 --> 00:01:39.400]  我們可以問
[00:01:39.400 --> 00:01:41.400]  我們可以找書
[00:01:41.400 --> 00:01:43.800]  甚至我們可以Google
[00:01:43.800 --> 00:01:45.800]  但是不夠信心
[00:01:45.800 --> 00:01:50.000]  我們又可以去哪裡湊夠呢?
[00:01:50.000 --> 00:01:53.600]  傳統上教會習慣單向地
[00:01:53.600 --> 00:01:56.400]  從個人、靈性的角度
[00:01:56.400 --> 00:01:59.400]  去理解一切的問題
[00:01:59.400 --> 00:02:02.800]  因此往往也只能夠得出一些
[00:02:02.800 --> 00:02:08.000]  近乎陳腔濫調的答案、一些結論
[00:02:08.000 --> 00:02:11.000]  譬如我們傾向將一切的問題
[00:02:11.000 --> 00:02:17.200]  歸因到個人和上帝之間的關係
[00:02:17.200 --> 00:02:20.000]  我們之所以會遇到一些困擾我們的
[00:02:20.000 --> 00:02:23.000]  無論是工作上、家庭上
[00:02:23.000 --> 00:02:25.400]  感情上的問題
[00:02:25.400 --> 00:02:27.400]  歸根究底
[00:02:27.400 --> 00:02:32.200]  都是因為我們和上帝的關係出現問題
[00:02:32.200 --> 00:02:36.000]  而改善和上帝的關係
[00:02:36.000 --> 00:02:41.600]  當然就是多讀聖經和多祈禱
[00:02:41.600 --> 00:02:44.800]  我說他近乎陳腔濫調
[00:02:44.800 --> 00:02:48.800]  是因為他幾乎是一隻白鴿的牌
[00:02:48.800 --> 00:02:52.600]  可以解決任何信仰上的問題
[00:02:52.600 --> 00:02:54.400]  而我們知道
[00:02:54.400 --> 00:02:59.200]  一個可以解答所有問題的答案
[00:02:59.200 --> 00:03:05.000]  實際上就是一個解決不了任何問題的答案
[00:03:05.000 --> 00:03:08.400]  有時我們實在是將太多的寄望
[00:03:08.400 --> 00:03:11.800]  放在讀經、祈禱上
[00:03:11.800 --> 00:03:14.600]  《施行傳》第八章二十六至四十節
[00:03:14.600 --> 00:03:19.800]  提到腓力在耶路撒冷去加薩的路上
[00:03:19.800 --> 00:03:23.000]  遇到一位以色列的太監
[00:03:23.000 --> 00:03:27.200]  在車上讀舊約爾賽亞書
[00:03:27.200 --> 00:03:31.200]  腓力問他:你所讀的你明不明白呢?
[00:03:31.200 --> 00:03:33.600]  太監說:沒有人指教我
[00:03:33.600 --> 00:03:35.800]  我怎能夠明白呢?
[00:03:35.800 --> 00:03:38.200]  於是腓力就上車
[00:03:38.200 --> 00:03:42.400]  但他沒有批評他信心不足
[00:03:42.400 --> 00:03:45.800]  而是向他講解當中的意思
[00:03:45.800 --> 00:03:48.200]  最後也不用上洗禮班
[00:03:48.200 --> 00:03:54.600]  腓力就手近水遠地向太監洗禮
[00:03:54.600 --> 00:03:56.600]  讀經不是一個答案
[00:03:56.600 --> 00:04:01.000]  是因為我們的問題正正在於不明白聖經
[00:04:01.000 --> 00:04:05.200]  根本不明白,你再讀一百次也未必明白
[00:04:05.200 --> 00:04:08.200]  有時甚至我們越勤力去讀
[00:04:08.200 --> 00:04:12.800]  那些誤解和成見反而越是牢固
[00:04:12.800 --> 00:04:18.600]  錯誤和偏見是需要指正而不是重覆地強調的
[00:04:18.600 --> 00:04:20.200]  因此我們看見
[00:04:20.200 --> 00:04:22.600]  每天早上上教堂祈禱的
[00:04:22.600 --> 00:04:26.400]  並不保證一個人不會行差踏錯
[00:04:26.400 --> 00:04:29.400]  而有些人明明是剛愎自用
[00:04:29.400 --> 00:04:31.400]  他們卻誠實地以為自己
[00:04:31.400 --> 00:04:33.800]  每一步都遵從自己的信仰
[00:04:33.800 --> 00:04:37.400]  走在上主的心意裏
[00:04:37.400 --> 00:04:40.600]  過份強調個人內心
[00:04:40.600 --> 00:04:43.400]  有時會讓我們忽略一些
