
[00:00:00.000 --> 00:00:03.760]  今天跟大家思想的就是經課裡面的經文
[00:00:03.760 --> 00:00:07.000]  是《馬太福音》第二章第一至十二節
[00:00:07.000 --> 00:00:11.360]  今天是主顯期
[00:00:11.360 --> 00:00:13.800]  Epiphany的前一天
[00:00:13.800 --> 00:00:17.800]  明天才是正式的主顯節
[00:00:17.800 --> 00:00:21.920]  今天叫做聖誕節之後的第二個主日
[00:00:21.920 --> 00:00:26.680]  但我也想在今天用主顯節的經文
[00:00:26.680 --> 00:00:28.360]  來幫助我們
[00:00:28.360 --> 00:00:31.880]  是更進一步來認識我們的主
[00:00:31.880 --> 00:00:33.040]  我們的基督
[00:00:33.040 --> 00:00:35.280]  或者就算不是更進一步
[00:00:35.280 --> 00:00:37.560]  就是叫我們更加鞏固我們
[00:00:37.560 --> 00:00:40.200]  對我們主基督的信心
[00:00:40.200 --> 00:00:42.040]  在今天這個時代
[00:00:42.040 --> 00:00:44.880]  是一個陰暗的時代
[00:00:44.880 --> 00:00:49.200]  是一個黑暗繼續好像籠罩著大地的時代
[00:00:49.200 --> 00:00:51.600]  但是感謝上主
[00:00:51.600 --> 00:00:53.200]  無論如何
[00:00:53.200 --> 00:00:54.800]  Epiphany
[00:00:54.800 --> 00:00:56.200]  主的光
[00:00:56.200 --> 00:00:57.640]  主的彰顯
[00:00:57.640 --> 00:01:02.320]  一定是沒有東西能夠蓋得過祂
[00:01:02.320 --> 00:01:06.720]  我們今年是
[00:01:06.720 --> 00:01:09.280]  主題是
[00:01:09.280 --> 00:01:12.000]  以道為本
[00:01:12.000 --> 00:01:14.720]  生命起動
[00:01:14.720 --> 00:01:16.120]  記不記得
[00:01:16.120 --> 00:01:17.320]  以道為本
[00:01:17.320 --> 00:01:18.880]  生命起動
[00:01:18.880 --> 00:01:22.600]  經課就是幫助我們回歸於主的道
[00:01:22.600 --> 00:01:26.800]  也都會回歸於教會的正統
[00:01:26.800 --> 00:01:29.880]  回歸於那個古道
[00:01:29.880 --> 00:01:31.760]  古老的道統
[00:01:31.760 --> 00:01:34.880]  以致我們能夠紮根在基督裡面
[00:01:34.880 --> 00:01:38.440]  繼續的長大成熟
[00:01:38.440 --> 00:01:39.840]  馬太福音
[00:01:39.840 --> 00:01:41.200]  大家都知道
[00:01:41.200 --> 00:01:46.000]  有九成和馬可福音是重疊的
[00:01:46.000 --> 00:01:49.240]  大部分的聖經學者都會同意
