
[00:00:00.000 --> 00:00:04.000]  我們上一次講到希美人
[00:00:04.000 --> 00:00:07.000]  記不記得那些希美人扮鬼扮馬
[00:00:07.000 --> 00:00:10.000]  來找以色列人跟他們立約
[00:00:10.000 --> 00:00:13.000]  因為他們知道神的話語說
[00:00:13.000 --> 00:00:15.000]  迦南的七族要滅絕
[00:00:15.000 --> 00:00:20.000]  而希美人就剛剛在那七個族人當中的其中一個
[00:00:20.000 --> 00:00:23.000]  但他們也知道神的話語說
[00:00:23.000 --> 00:00:26.000]  比較住得遠的迦南人
[00:00:26.000 --> 00:00:29.000]  以色列人是可以跟他們立約
[00:00:29.000 --> 00:00:31.000]  所以他們想盡辦法
[00:00:31.000 --> 00:00:34.000]  扮到自己是很遠很遠來
[00:00:34.000 --> 00:00:37.000]  跟以色列人來立約
[00:00:37.000 --> 00:00:41.000]  以色列人跟他們立約之後就後悔不已
[00:00:41.000 --> 00:00:44.000]  因為發覺他們原來不是那麼遠來
[00:00:44.000 --> 00:00:47.000]  只是離開他們三天的路程
[00:00:47.000 --> 00:00:50.000]  但已經指著神的命來跟他們立約
[00:00:50.000 --> 00:00:52.000]  不能夠反悔
[00:00:52.000 --> 00:00:55.000]  我們今天看到的就是第十章
[00:00:55.000 --> 00:01:00.000]  講到剛才說耶路撒冷王亞多尼洗德
[00:01:00.000 --> 00:01:06.000]  他是聽見以色列人已經是攻取了耶利歌城和艾城
[00:01:06.000 --> 00:01:09.000]  而且又知道自己人希美人
[00:01:09.000 --> 00:01:11.000]  住在羈片的地方
[00:01:11.000 --> 00:01:13.000]  他們是反叛
[00:01:13.000 --> 00:01:15.000]  跟以色列人來立約
[00:01:15.000 --> 00:01:18.000]  他心想 嘩 怎麼辦呢
[00:01:18.000 --> 00:01:21.000]  約書阿記的十章二節說
[00:01:21.000 --> 00:01:25.000]  因為羈片是一座大城如都城一般
[00:01:25.000 --> 00:01:27.000]  比艾城更大
[00:01:27.000 --> 00:01:31.000]  並且城內的人都是勇士
[00:01:31.000 --> 00:01:34.000]  這麼大的城每一個都是勇士
[00:01:34.000 --> 00:01:36.000]  都跟以色列人立約
[00:01:36.000 --> 00:01:40.000]  如果一個個的迦南國都跟以色列人立約
[00:01:40.000 --> 00:01:41.000]  怎麼辦
[00:01:41.000 --> 00:01:44.000]  就算他們不跟以色列人立約
[00:01:44.000 --> 00:01:49.000]  被約書阿逐一來擊破迦南各國
[00:01:49.000 --> 00:01:53.000]  攻擊他們都是後果不堪設想
[00:01:53.000 --> 00:01:55.000]  所以他想到最好的辦法就是
[00:01:55.000 --> 00:01:58.000]  使迦南人能夠團結
[00:01:58.000 --> 00:02:04.000]  他就聯合了在迦南南邊的五個亞摩利王
[00:02:04.000 --> 00:02:06.000]  一起來攻打羈片
[00:02:06.000 --> 00:02:09.000]  因為羈片反叛自己
[00:02:09.000 --> 00:02:14.000]  羈片人當然是來找以色列人求救
[00:02:14.000 --> 00:02:17.000]  換作是我們的話
[00:02:17.000 --> 00:02:19.000]  跟人立了約
[00:02:19.000 --> 00:02:21.000]  發覺對方是使鬼詐
[00:02:21.000 --> 00:02:23.000]  來立約
[00:02:23.000 --> 00:02:25.000]  雖然不能夠悔約
