
[00:00:00.000 --> 00:00:07.200]  戴燕姊妹,當我們要去忠誠神的使命
[00:00:07.200 --> 00:00:09.800]  可能都會有一些個人想法
[00:00:09.800 --> 00:00:14.200]  好像謝太,她原先會覺得自己有限制
[00:00:14.200 --> 00:00:15.800]  不知道是否可行
[00:00:15.800 --> 00:00:18.600]  但是她的見證讓我們體會到
[00:00:18.600 --> 00:00:21.800]  靠著神的恩典都可以克服的
[00:00:21.800 --> 00:00:25.300]  但是當我們再想一想
[00:00:25.300 --> 00:00:27.800]  除了這些個人因素
[00:00:27.800 --> 00:00:30.200]  可能我們會覺得,我們要傳福音
[00:00:30.200 --> 00:00:33.600]  可能我又不懂,時間又不對
[00:00:33.600 --> 00:00:34.600]  又不知道怎麼說
[00:00:34.600 --> 00:00:36.200]  然後沒有信心
[00:00:36.200 --> 00:00:38.400]  或者怕被人拒絕
[00:00:38.400 --> 00:00:42.400]  這些是我們想出來的,這些因素
[00:00:42.400 --> 00:00:44.000]  除了這些因素以外
[00:00:44.000 --> 00:00:46.800]  大家也會不會想到一件事就是
[00:00:46.800 --> 00:00:48.000]  都會發生的
[00:00:48.000 --> 00:00:51.200]  同樣會難了我們去傳福音的
[00:00:51.200 --> 00:00:54.000]  是什麼呢?
[00:00:54.000 --> 00:00:58.200]  或者問,如果我們去傳福音去忠誠神的使命的時候
[00:00:58.200 --> 00:01:03.200]  有誰是最不想見到這樣的呢?
[00:01:03.200 --> 00:01:06.600]  是的,聽到了,魔鬼殺彈,是不是?
[00:01:06.600 --> 00:01:09.600]  是的,正如今天跟大家分享的經文
[00:01:09.600 --> 00:01:13.400]  在《馬太福音》四章一至十一節裡面
[00:01:13.400 --> 00:01:16.800]  當主耶穌他約三十歲
[00:01:16.800 --> 00:01:19.800]  他開始出來傳道的時候
[00:01:19.800 --> 00:01:23.400]  祇善就要面對魔鬼的試探
[00:01:23.400 --> 00:01:25.800]  魔鬼對耶穌的試探
[00:01:25.800 --> 00:01:29.800]  是要針對耶穌基督尼塞亞的使命
[00:01:29.800 --> 00:01:35.000]  因為主耶穌快要開展神的國度
[00:01:35.000 --> 00:01:36.200]  而在這段經文裡面
[00:01:36.200 --> 00:01:39.600]  我們看到主耶穌不單止去面對試探
[00:01:39.600 --> 00:01:41.200]  甚至在過程當中
[00:01:41.200 --> 00:01:47.200]  祂是忠心地去持守在神所託付給祂的使命
[00:01:47.200 --> 00:01:50.800]  而昔日,魔鬼怎樣去試探耶穌?
[00:01:50.800 --> 00:01:55.400]  其實今日魔鬼同樣會用不同的方法
[00:01:55.400 --> 00:01:58.000]  去試探神的兒女
[00:01:58.000 --> 00:02:03.000]  雖然我們跟主耶穌的身份和處境可能不同
[00:02:03.000 --> 00:02:07.400]  主耶穌是神的兒子,是尼塞亞
[00:02:07.400 --> 00:02:09.800]  我們就是神的兒女
[00:02:09.800 --> 00:02:13.600]  但是魔鬼試探我們的動機
[00:02:13.600 --> 00:02:17.000]  誘惑的目的,其實都是類同的
[00:02:17.000 --> 00:02:19.400]  今天跟大家分享的講題就是
[00:02:19.400 --> 00:02:23.800]  在世俗誘惑中持守神的使命
[00:02:23.800 --> 00:02:26.800]  讓我們透過主耶穌基督的榜樣
[00:02:26.800 --> 00:02:29.400]  成為我們的學習和幫助
[00:02:29.400 --> 00:02:32.600]  我們再一次低頭禱告
[00:02:32.600 --> 00:02:36.000]  天父我們感謝祢給我們有敬拜祢的機會
[00:02:36.000 --> 00:02:39.800]  當我們每一次去言讀祢的話語的時候
[00:02:39.800 --> 00:02:43.200]  求聖靈親自的引導和幫助
[00:02:43.200 --> 00:02:45.600]  讓我們知道祢的心意
[00:02:45.600 --> 00:02:48.800]  也讓我們有能力去遵行主導
[00:02:48.800 --> 00:02:50.400]  無論講的聽的
[00:02:50.400 --> 00:02:52.800]  同樣求主祢親自的賜福
[00:02:52.800 --> 00:02:56.400]  禱告奉靠主耶穌基督的名字而求
[00:02:56.400 --> 00:02:58.800]  阿們
[00:02:58.800 --> 00:03:00.400]  我們嘗試看這段經文
[00:03:00.400 --> 00:03:03.000]  馬太福音四章第一節
[00:03:03.000 --> 00:03:04.800]  經文裡面提到
[00:03:04.800 --> 00:03:08.200]  當時耶穌被聖靈引導抗野
[00:03:08.200 --> 00:03:11.200]  受魔鬼的試探
[00:03:11.200 --> 00:03:15.800]  當時緊接著上文第三章的記載
[00:03:15.800 --> 00:03:19.000]  就是耶穌基督去接受水禮
[00:03:19.000 --> 00:03:21.400]  聖靈降臨在祂身上
