
[00:00:00.000 --> 00:00:03.000]  大家好 開始之前我們一起祈禱
[00:00:03.000 --> 00:00:08.000]  聖天父我們多謝祢 因為祢是顧念我們的神
[00:00:08.000 --> 00:00:14.000]  在我們每一天的生活裡 主祢顯出祢的恩賜
[00:00:14.000 --> 00:00:16.000]  祢對我們的毛病不治
[00:00:16.000 --> 00:00:18.000]  我們來到祢面前的時候
[00:00:18.000 --> 00:00:21.000]  希望通過主祢的話語
[00:00:21.000 --> 00:00:23.000]  通過我們平時的生活裡
[00:00:23.000 --> 00:00:26.000]  我們能夠更認識祢
[00:00:26.000 --> 00:00:31.000]  聽我們禱告奉主耶穌基督明求 阿們
[00:00:31.000 --> 00:00:35.000]  今天不講傳道書
[00:00:35.000 --> 00:00:40.000]  下次再來的時候再講
[00:00:40.000 --> 00:00:44.000]  想跟大家分享一個題目
[00:00:44.000 --> 00:00:47.000]  是我去年的時候
[00:00:47.000 --> 00:00:50.000]  因為我放安息年假的時候
[00:00:50.000 --> 00:00:56.000]  放完假之後一個反省
[00:00:56.000 --> 00:01:00.000]  我就寫了這篇講道
[00:01:00.000 --> 00:01:03.000]  在我們自己教會裡先跟大英姐妹分享
[00:01:03.000 --> 00:01:09.000]  我想也都希望藉著這個機會跟大家分享
[00:01:09.000 --> 00:01:15.000]  今天的題目就是「向他求的人」
[00:01:15.000 --> 00:01:21.000]  其實我覺得我放安息年假的時候
[00:01:21.000 --> 00:01:24.000]  神回答了我兩條問題
[00:01:24.000 --> 00:01:26.000]  第一條問題就是
[00:01:26.000 --> 00:01:32.000]  那些向神求的人 神給了什麼給他呢
[00:01:32.000 --> 00:01:36.000]  第二就是神為什麼要給好的東西
[00:01:36.000 --> 00:01:38.000]  那些求祂的人呢
[00:01:38.000 --> 00:01:43.000]  這兩條問題我希望今天跟大家去思考
[00:01:43.000 --> 00:01:46.000]  先看第一條
[00:01:46.000 --> 00:01:54.000]  就是神給向求他的人什麼東西呢
[00:01:54.000 --> 00:01:57.000]  這個問題是這樣的
[00:01:57.000 --> 00:02:00.000]  我去年放安息年的時候
[00:02:00.000 --> 00:02:02.000]  其實為了這件事
[00:02:02.000 --> 00:02:06.000]  就跟太太吵了很多次
[00:02:06.000 --> 00:02:14.000]  其實主要是因為我的期望
[00:02:14.000 --> 00:02:17.000]  和發生的事情有一個太大的落差
[00:02:17.000 --> 00:02:23.000]  所以其實在籌備過程裡吵了很多次
[00:02:23.000 --> 00:02:29.000]  所以神其實就提醒我
[00:02:29.000 --> 00:02:32.000]  用詩篇103篇的時候
[00:02:32.000 --> 00:02:34.000]  提醒我要數算祂的恩典
[00:02:34.000 --> 00:02:37.000]  其實這篇詩篇我在豐盛團計的時候
[00:02:37.000 --> 00:02:40.000]  那時候我已經跟大家分享過
[00:02:40.000 --> 00:02:43.000]  就是不要忘記祂一切的恩惠
[00:02:43.000 --> 00:02:47.000]  我去年放假是6月份放假的
[00:02:47.000 --> 00:02:51.000]  為了籌備這件事情的時候
