
[00:00:00.000 --> 00:00:03.080]  2017年來到六月尾
[00:00:03.080 --> 00:00:06.520]  即是又過了半年
[00:00:06.520 --> 00:00:07.920]  不知道2017年對大家來說
[00:00:07.920 --> 00:00:10.400]  有什麼特別的意義
[00:00:10.400 --> 00:00:12.760]  對我來說都是一個
[00:00:12.760 --> 00:00:15.320]  頗有趣的一個所謂的Landmark
[00:00:15.320 --> 00:00:17.120]  一個里程碑
[00:00:17.120 --> 00:00:18.400]  我自己回頭看
[00:00:18.400 --> 00:00:18.960]  頗有趣的
[00:00:18.960 --> 00:00:19.920]  19…
[00:00:19.920 --> 00:00:20.960]  即是看著看著看著
[00:00:20.960 --> 00:00:22.080]  不告訴你幾歲
[00:00:22.080 --> 00:00:23.000]  其實很容易猜的
[00:00:23.000 --> 00:00:24.680]  其實說真的
[00:00:24.680 --> 00:00:27.560]  看你的樣子就知道了
[00:00:27.560 --> 00:00:30.240]  1987年我自己
[00:00:30.240 --> 00:00:32.720]  開玩笑地說
[00:00:32.720 --> 00:00:33.640]  年輕人一個
[00:00:33.640 --> 00:00:35.080]  剛剛信耶穌
[00:00:35.080 --> 00:00:36.840]  充滿活力
[00:00:36.840 --> 00:00:39.720]  經常穿著短褲
[00:00:39.720 --> 00:00:41.120]  去上教會
[00:00:41.120 --> 00:00:42.320]  我還記得
[00:00:42.320 --> 00:00:43.360]  上教會的日子
[00:00:43.360 --> 00:00:45.200]  旅途裡面經過
[00:00:45.200 --> 00:00:47.040]  會有書室
[00:00:47.040 --> 00:00:48.920]  我自己很喜歡在書室裡
[00:00:48.920 --> 00:00:49.680]  看一輪書
[00:00:49.680 --> 00:00:50.600]  買些書
[00:00:50.600 --> 00:00:51.480]  然後上到教會
[00:00:51.480 --> 00:00:52.720]  跟頂姐妹
[00:00:52.720 --> 00:00:54.080]  年輕人
[00:00:54.080 --> 00:00:56.440]  大家在那裡鬥背聖經
[00:00:56.440 --> 00:00:58.000]  一起跟牧師
[00:00:58.000 --> 00:00:59.760]  當時牧師的手很大
[00:00:59.760 --> 00:01:01.040]  比我們大很多
[00:01:01.040 --> 00:01:02.520]  他也是長大了
[00:01:02.520 --> 00:01:03.880]  讀神學的時候才學琴
[00:01:03.880 --> 00:01:05.800]  但他的琴真的很厲害
[00:01:05.800 --> 00:01:06.760]  我們很喜歡在教會
[00:01:06.760 --> 00:01:08.840]  小時候的堂會裡面
[00:01:08.840 --> 00:01:10.360]  一起去唱歌
[00:01:10.360 --> 00:01:12.720]  敬拜
[00:01:12.720 --> 00:01:14.600]  1987年
[00:01:14.600 --> 00:01:17.680]  上帝在我年輕的日子
[00:01:17.680 --> 00:01:19.240]  上帝呼召我
[00:01:19.240 --> 00:01:22.320]  鼓勵我去回應神的愛
[00:01:22.320 --> 00:01:24.600]  然後一步步進入神學院
[00:01:24.600 --> 00:01:25.880]  學習去侍奉
[00:01:25.880 --> 00:01:27.400]  去跟從
[00:01:27.400 --> 00:01:28.600]  1997年對我來說
[00:01:28.600 --> 00:01:30.480]  也是一個目標
[00:01:30.480 --> 00:01:31.320]  為什麼呢
[00:01:31.320 --> 00:01:32.840]  因為我多了一個身分
[00:01:32.840 --> 00:01:35.560]  叫做媽媽
[00:01:35.560 --> 00:01:38.160]  我女兒今年二十歲
[00:01:38.160 --> 00:01:39.680]  自己回想
[00:01:39.680 --> 00:01:41.400]  二十年當媽媽
[00:01:41.400 --> 00:01:43.800]  也算
[00:01:43.800 --> 00:01:44.880]  我也不知道成功還是失敗
[00:01:44.880 --> 00:01:45.800]  不過感謝主
[00:01:45.800 --> 00:01:46.840]  因為
[00:01:46.840 --> 00:01:47.640]  根本不是我自己
[00:01:47.640 --> 00:01:49.560]  去量度自己成功還是失敗
[00:01:49.560 --> 00:01:50.440]  失敗多不多呢
[00:01:50.440 --> 00:01:51.000]  我告訴你
[00:01:51.000 --> 00:01:52.280]  我比你們當中的媽媽
[00:01:52.280 --> 00:01:54.200]  差到麻煩
[00:01:54.200 --> 00:01:55.680]  真的很差
[00:01:55.680 --> 00:01:59.000]  也很不夠智慧
[00:01:59.000 --> 00:02:00.560]  但感恩就是
[00:02:00.560 --> 00:02:01.800]  當我女兒二十歲生日
[00:02:01.800 --> 00:02:03.520]  剛剛生日
[00:02:03.520 --> 00:02:05.040]  她很真誠地多謝我
[00:02:05.040 --> 00:02:07.560]  她說很驕傲有這樣的媽媽
[00:02:07.560 --> 00:02:10.320]  真是感謝主
[00:02:10.320 --> 00:02:11.280]  擦鞋也好
[00:02:11.280 --> 00:02:12.040]  怎樣也好
[00:02:12.040 --> 00:02:13.880]  多謝你
[00:02:13.880 --> 00:02:18.080]  自己不行的女兒
[00:02:18.080 --> 00:02:21.040]  真是神的恩典救勇
[00:02:21.040 --> 00:02:22.640]  2007年
[00:02:22.640 --> 00:02:24.640]  對我來說也是一個目標
[00:02:24.640 --> 00:02:27.800]  因為我開始回到同福堂
[00:02:27.800 --> 00:02:29.640]  其實當時我不是在同福聚會
[00:02:29.640 --> 00:02:33.280]  不過我是在另一些地方侍奉
[00:02:33.280 --> 00:02:34.000]  在那個階段
[00:02:34.000 --> 00:02:36.720]  我自己很艱難
[00:02:36.720 --> 00:02:38.120]  某程度來說
[00:02:38.120 --> 00:02:40.440]  是我在侍奉歷程裏面
[00:02:40.440 --> 00:02:42.640]  一個燃燒的狀態
[00:02:42.640 --> 00:02:44.320]  裏面很不濟
[00:02:44.320 --> 00:02:46.840]  雖然外面好像很濟
[00:02:46.840 --> 00:02:48.040]  甚至在我侍奉當中
[00:02:48.040 --> 00:02:49.200]  其實我從來沒有說過
[00:02:49.200 --> 00:02:51.840]  沒有提過那個階段
[00:02:51.840 --> 00:02:53.840]  其實那個階段
[00:02:53.840 --> 00:02:54.640]  在那個機構裏面
[00:02:54.640 --> 00:02:57.120]  它準備進升我去到一個
[00:02:57.120 --> 00:02:59.200]  最大的管理層
[00:02:59.200 --> 00:03:00.040]  但我自己很清楚
[00:03:00.040 --> 00:03:02.560]  我裏面一點也不濟
[00:03:02.560 --> 00:03:03.080]  在同福
[00:03:03.080 --> 00:03:04.160]  我很記得我坐哪個位置
[00:03:04.160 --> 00:03:05.840]  我就是坐那個
[00:03:05.840 --> 00:03:09.080]  魚白那個位置
[00:03:09.080 --> 00:03:10.320]  因為當時我兩個女兒很小
[00:03:10.320 --> 00:03:11.440]  我很喜歡坐那個位置
[00:03:11.440 --> 00:03:13.400]  她們可以見到
[00:03:13.400 --> 00:03:15.000]  所以當時我們教會
[00:03:15.000 --> 00:03:16.240]  只有四位講員
[00:03:16.240 --> 00:03:18.080]  何牧師、李牧師、劉牧師
[00:03:18.080 --> 00:03:20.920]  和Pastor Ken
[00:03:20.920 --> 00:03:23.920]  我女兒很清楚誰在打誰
[00:03:23.920 --> 00:03:25.640]  她已經預備好
[00:03:25.640 --> 00:03:27.280]  Pastor Ken講的故事很好聽
[00:03:27.280 --> 00:03:30.000]  她準備在那裏聽
[00:03:30.000 --> 00:03:31.600]  李牧師又很幽默風趣
[00:03:31.600 --> 00:03:34.600]  她又準備笑了
[00:03:34.600 --> 00:03:36.640]  劉牧師很有道理
[00:03:36.640 --> 00:03:38.720]  想不到幾歲的人仔都懂得聽
[00:03:38.720 --> 00:03:39.880]  劉牧師講到
[00:03:39.880 --> 00:03:40.560]  講了甚麼
[00:03:40.560 --> 00:03:41.840]  她懂得告訴我
[00:03:41.840 --> 00:03:44.120]  何牧師又幽默又風趣又有道理
[00:03:44.120 --> 00:03:47.240]  她真的坐在那裏一起聽
[00:03:47.240 --> 00:03:51.680]  但那些日子我坐在那裏的時候
[00:03:51.680 --> 00:03:54.400]  我經常帶著兩行眼淚
[00:03:54.400 --> 00:03:55.120]  我不知道大家知不知道
[00:03:55.120 --> 00:03:57.400]  同福堂你現在回的這個地方
[00:03:57.400 --> 00:03:59.480]  又叫甚麼名字
[00:03:59.480 --> 00:04:03.280]  是同哭堂
[00:04:03.280 --> 00:04:04.640]  不是洪福堂
[00:04:04.640 --> 00:04:07.360]  是同哭堂
[00:04:07.360 --> 00:04:07.920]  為甚麼呢
[00:04:07.920 --> 00:04:13.160]  因為很多人都在這裏經歷到
[00:04:13.160 --> 00:04:15.800]  神在我們生命裏的根深
[00:04:15.800 --> 00:04:20.480]  聖靈在我們裏面那種很奇妙的改變
[00:04:20.480 --> 00:04:21.480]  我再講
[00:04:21.480 --> 00:04:25.320]  我是一個很不濟的侍奉者來到當中
[00:04:25.320 --> 00:04:28.720]  但神用祂很奇妙的愛洗刷我
