
[00:00:00.000 --> 00:00:02.000]  為什麼是不合格呢?
[00:00:02.000 --> 00:00:05.820]  不合格的拯救者是一位我們很熟悉的、很出名的
[00:00:05.820 --> 00:00:09.700]  或者是聲名狼藉的一個士師
[00:00:09.700 --> 00:00:11.700]  他的名字叫做「參算」
[00:00:11.700 --> 00:00:13.920]  我們會看四章聖經
[00:00:13.920 --> 00:00:20.920]  我想其實四章聖經你不可能三十分鐘內讀完或看完
[00:00:20.920 --> 00:00:25.520]  我們也要慢慢地分析
[00:00:25.520 --> 00:00:30.660]  去看為什麼我們會給這個題目「不合格的拯救者」
[00:00:30.660 --> 00:00:33.060]  今年年初二月的時候
[00:00:33.060 --> 00:00:36.160]  我不知道大家是否喜歡看電影
[00:00:36.160 --> 00:00:39.520]  有一齣電影叫做「參算」
[00:00:39.520 --> 00:00:42.360]  有沒有人看過?
[00:00:42.360 --> 00:00:43.360]  不太多人看
[00:00:43.360 --> 00:00:46.560]  因為那齣電影是兒童不宜的
[00:00:46.560 --> 00:00:48.260]  叫做PG-13
[00:00:48.260 --> 00:00:53.860]  其實真正在聖經裡記載的應該是Rater R或者Rater M才對
[00:00:53.860 --> 00:00:57.260]  但它已經是Rater PG-13
[00:00:57.260 --> 00:01:02.360]  但是變成了一齣可以說是不太成功的電影
[00:01:02.360 --> 00:01:04.360]  我不敢說是票房毒藥
[00:01:04.360 --> 00:01:07.160]  但是如果你看影評
[00:01:07.160 --> 00:01:10.060]  Rotten Tomato 全都是一顆星
[00:01:10.060 --> 00:01:11.860]  五顆裡面只有一顆
[00:01:11.860 --> 00:01:13.160]  為什麼呢?
[00:01:13.160 --> 00:01:14.560]  其實真的很難
[00:01:14.560 --> 00:01:19.360]  你要將聖經裡面這四章聖經關於參算的事蹟
[00:01:19.360 --> 00:01:23.860]  真的如原本般血淋淋地拍成電影
[00:01:23.860 --> 00:01:26.160]  那你一定是Rater R
[00:01:26.160 --> 00:01:31.360]  但是你又要多說一些聖經裡面的真理
[00:01:31.360 --> 00:01:34.460]  兩個東西都拉不起來
[00:01:34.460 --> 00:01:37.260]  所以一出了是PG-13就慘了
[00:01:37.260 --> 00:01:39.860]  家長又不能帶小孩去看
[00:01:39.860 --> 00:01:40.860]  因為是兒童不宜的
[00:01:40.860 --> 00:01:42.760]  要13歲以上才可以去
[00:01:42.760 --> 00:01:45.360]  大人如果不是基督徒
[00:01:45.360 --> 00:01:48.160]  PG-13是沒東西看的
[00:01:48.160 --> 00:01:49.760]  又不想去看
[00:01:49.760 --> 00:01:53.360]  結果就不是很受得了
[00:01:53.360 --> 00:01:55.660]  但是在教會的層面
[00:01:55.660 --> 00:01:57.260]  當我們看參算的時候
[00:01:57.260 --> 00:01:58.560]  就很不同了
[00:01:58.560 --> 00:02:01.460]  我們通常教小朋友參算
[00:02:01.460 --> 00:02:05.260]  就講到他很可愛
[00:02:05.260 --> 00:02:09.360]  參算是一個大力士
[00:02:09.360 --> 00:02:11.660]  為上帝去征戰
[00:02:11.660 --> 00:02:15.260]  為了不要讀完四章聖經
[00:02:15.260 --> 00:02:19.360]  我只用三分鐘來做一個簡單的總結
[00:02:19.360 --> 00:02:25.960]  我就找了天主教字幕版的卡通片給你們看
[00:02:25.960 --> 00:02:28.760]  如果你們真的不認識參算的故事
[00:02:28.760 --> 00:02:32.460]  我們就看看這次的字幕版
[00:02:32.460 --> 00:02:37.460]  參算的簡單和聖潔的兒童故事是怎樣的
[00:02:37.460 --> 00:02:38.460]  我們來看看
[00:02:45.460 --> 00:02:48.760]  One of the leaders of God's people
[00:02:48.760 --> 00:02:52.460]  was chosen before he was born
[00:02:52.460 --> 00:02:54.960]  An angel told the mother
[00:02:54.960 --> 00:02:57.360]  You will have a son
[00:02:57.360 --> 00:03:00.360]  but you must never cut his hair
[00:03:00.360 --> 00:03:03.860]  His long hair will show that he's a Nazarite
[00:03:03.860 --> 00:03:08.360]  someone who has work to do for God
[00:03:08.360 --> 00:03:15.060]  This baby grew up to be very strong
[00:03:15.060 --> 00:03:23.460]  His name was Samson
[00:03:23.460 --> 00:03:48.060]  and he always won against his enemies
[00:03:48.060 --> 00:03:53.860]  Samson had a friend named Delilah
[00:03:53.860 --> 00:03:55.260]  She asked
[00:03:55.260 --> 00:03:58.760]  What makes you so strong, Samson?
[00:03:58.760 --> 00:04:01.760]  At first, he wouldn't tell her
[00:04:01.760 --> 00:04:05.960]  She begged and whined
[00:04:05.960 --> 00:04:08.560]  Finally, he said
[00:04:08.560 --> 00:04:17.160]  If someone shaved my head, I would lose my strength
[00:04:17.160 --> 00:04:19.260]  When Samson fell asleep
