
[00:00:00.000 --> 00:00:03.880]  各位電影小妹,好開心又可以一齊讀聖經
[00:00:03.880 --> 00:00:08.320]  我自己日日預備這些經文對於我自己很有幫助
[00:00:08.320 --> 00:00:09.760]  希望對你有幫助
[00:00:09.760 --> 00:00:12.760]  因為變了日日都讀聖經
[00:00:12.760 --> 00:00:14.680]  有時一日讀好幾段
[00:00:14.680 --> 00:00:18.400]  以前都忘記了,現在又重溫
[00:00:18.400 --> 00:00:21.240]  真是如蜜甘甜
[00:00:21.240 --> 00:00:26.080]  生命是宣教網絡帶大家一齊看聖經人物、聖經故事
[00:00:26.080 --> 00:00:30.400]  最重要是見到上帝其實不停地跟我們說
[00:00:30.400 --> 00:00:33.880]  我的手在後面,在做事,我看著
[00:00:33.880 --> 00:00:36.400]  讀了這些經文是很安慰的
[00:00:36.400 --> 00:00:40.400]  今天仍然繼續看《士師記》
[00:00:40.400 --> 00:00:44.440]  機殿,不過機殿已經垂了,歸到列祖那裡了
[00:00:44.440 --> 00:00:46.880]  今次看到機殿的兒子
[00:00:46.880 --> 00:00:50.560]  機殿有一個兒子叫阿比米勒
[00:00:50.560 --> 00:00:54.800]  這個阿比米勒真的不是好人,是一個很差的人
[00:00:54.800 --> 00:00:58.600]  是用妓殺了他的兄弟而做王
[00:00:58.600 --> 00:01:00.480]  他是用鬼妓
[00:01:00.480 --> 00:01:03.880]  而且你知道一殺就是很殘忍的了
[00:01:03.880 --> 00:01:07.400]  用鬼妓和殺自己的兄弟
[00:01:07.400 --> 00:01:11.680]  就是上帝都很想動他的了
[00:01:11.680 --> 00:01:14.520]  不過都是
[00:01:14.520 --> 00:01:19.720]  我想都要多少給他機會
[00:01:19.720 --> 00:01:22.360]  不過上帝的手在後面,在做事
[00:01:22.360 --> 00:01:25.560]  有些人就失去生命就很不值
[00:01:25.560 --> 00:01:28.640]  是的,在世界上的生命有長有短
[00:01:28.640 --> 00:01:30.080]  當然長就好一點
[00:01:30.080 --> 00:01:32.680]  但長其實就辛苦多一點
[00:01:32.680 --> 00:01:36.760]  其中經過的不過是勞苦愁煩
[00:01:36.760 --> 00:01:40.760]  轉眼成空,我們便如飛而去
[00:01:40.760 --> 00:01:43.640]  所以其實長一點短一點不要緊的
[00:01:43.640 --> 00:01:46.240]  最重要是敬畏神,覺得有意義開心
[00:01:46.240 --> 00:01:49.360]  就好了,有意義,服侍主
[00:01:49.360 --> 00:01:51.760]  好,看看阿比米勒做什麼
[00:01:52.960 --> 00:01:56.360]  事實記第九章,耶路巴力
[00:01:56.360 --> 00:02:01.320]  耶路巴力在以色列人當日當中
[00:02:01.320 --> 00:02:07.960]  耶路巴力比基奠本身的名字更出名
[00:02:07.960 --> 00:02:12.080]  有時候人們叫我高佬
[00:02:12.080 --> 00:02:15.840]  叫得多,一說高佬就記得是我了
[00:02:15.840 --> 00:02:19.760]  一想起我,他就說高佬,或者光頭佬
[00:02:19.760 --> 00:02:23.760]  高佬和光頭佬這兩個名字
[00:02:23.760 --> 00:02:25.560]  是不敢在我面前叫的
[00:02:25.560 --> 00:02:28.760]  但其他人聊天時,全部都這樣說
[00:02:28.760 --> 00:02:32.560]  當然很多人都講老實話,說我英俊
[00:02:32.560 --> 00:02:36.160]  但本身的名字反而不知道
[00:02:36.160 --> 00:02:40.160]  因為耶路巴力這個名字
[00:02:40.160 --> 00:02:44.160]  反而在基奠是更出名的
[00:02:44.160 --> 00:02:46.560]  大家都叫他耶路巴力
[00:02:46.560 --> 00:02:48.560]  耶路巴力大家記得嗎?
[00:02:48.560 --> 00:02:50.960]  就是讓巴力和他爭論
[00:02:50.960 --> 00:02:52.960]  讓巴力和他爭辯
[00:02:52.960 --> 00:02:57.160]  如果巴力是真神,巴力和他談判
[00:02:57.160 --> 00:02:59.560]  因為他拆了巴力的壇
[00:02:59.560 --> 00:03:02.760]  把他的太太還是女朋友
[00:03:02.760 --> 00:03:08.560]  亞瑟拉的木匠斬碎以來做木柴燒
[00:03:08.560 --> 00:03:14.360]  獻上他爸爸那隻七歲的公牛做獻祭
[00:03:14.360 --> 00:03:16.760]  於是人們就來尋仇
[00:03:16.760 --> 00:03:18.560]  把兒子交出來
[00:03:18.560 --> 00:03:23.760]  他爸爸忽然之間竟然是巴力壇的壇主
[00:03:23.760 --> 00:03:28.360]  就有這個兒子,就悔改了
[00:03:28.360 --> 00:03:32.160]  如果巴力是真神,讓他自己和他爭論
[00:03:32.160 --> 00:03:35.560]  和他出頭,用得著你出頭救巴力嗎?
[00:03:35.560 --> 00:03:37.960]  於是人們就報世出
[00:03:37.960 --> 00:03:41.960]  基奠有個新名叫做耶路巴力
[00:03:41.960 --> 00:03:45.160]  爭辯,巴力和他爭辯
[00:03:45.160 --> 00:03:50.560]  在上一集看到耶路巴力說他有七十個兒子
[00:03:50.560 --> 00:03:52.160]  女兒就沒有說
