
[00:00:00.000 --> 00:00:03.140]  要請大家再次低頭和我一起祈禱
[00:00:03.140 --> 00:00:05.980]  親愛的主人,我們感謝祢
[00:00:05.980 --> 00:00:08.700]  多謝祢吸引祢的呼喚
[00:00:08.700 --> 00:00:12.220]  讓我能夠有機會回到祢的殿內去敬拜
[00:00:12.220 --> 00:00:14.720]  主祢知道我們心靈饑渴
[00:00:14.720 --> 00:00:19.940]  讓祢的話語去餵飽我們心靈的需要
[00:00:19.940 --> 00:00:23.360]  永遠講的和聽的都同蒙祢的月立
[00:00:23.360 --> 00:00:25.640]  祈禱奉主耶穌基督的名求
[00:00:25.640 --> 00:00:26.820]  阿們
[00:00:28.480 --> 00:00:31.020]  記得在97回歸之前
[00:00:31.020 --> 00:00:33.920]  不知道大家記不記得那個時間
[00:00:33.920 --> 00:00:37.100]  很多人都對於回歸有很多的恐慌
[00:00:37.100 --> 00:00:38.560]  和揣測
[00:00:38.560 --> 00:00:41.480]  到時教會會怎樣呢
[00:00:41.480 --> 00:00:45.640]  傳道牧師會不會被抓去坐牢呢
[00:00:45.640 --> 00:00:49.400]  當然今天我們看不到這件事發生
[00:00:49.400 --> 00:00:52.380]  我就在這個很恐慌的氛圍之下
[00:00:52.380 --> 00:00:54.920]  決定入神學院去讀神學
[00:00:54.920 --> 00:00:57.780]  當時沒有想過做牧師
[00:00:57.980 --> 00:01:00.860]  只想著將來如果教會的牧師
[00:01:00.860 --> 00:01:05.440]  傳道都被抓去被鎖
[00:01:05.440 --> 00:01:08.300]  我們信徒要自己謀生
[00:01:08.300 --> 00:01:10.800]  就要好好學習聖經
[00:01:10.800 --> 00:01:13.560]  也要好好訓練自己的思辨能力
[00:01:13.560 --> 00:01:15.940]  可以在亂世之中站穩
[00:01:15.940 --> 00:01:17.940]  跟隨上主的腳步
[00:01:17.940 --> 00:01:19.860]  當然我也很慶幸
[00:01:19.860 --> 00:01:23.140]  當日的憂慮今天並沒有發生
[00:01:23.140 --> 00:01:26.740]  不過信徒要訓練自己的思辨能力
[00:01:26.740 --> 00:01:30.140]  他說在任何時候都是需要的
[00:01:30.140 --> 00:01:33.620]  我選讀的經文標題寫著
[00:01:33.620 --> 00:01:35.500]  如果大家打開你的聖經
[00:01:35.500 --> 00:01:36.900]  就看到標題是
[00:01:36.900 --> 00:01:40.420]  譴責民事和法理錯人
[00:01:40.420 --> 00:01:42.880]  說話的那個就是耶穌
[00:01:42.880 --> 00:01:46.860]  而聽眾就是耶穌的門徒和一群群眾
[00:01:46.860 --> 00:01:49.560]  當時耶穌已經上了耶路撒冷
[00:01:49.560 --> 00:01:51.560]  祂可能在聖殿裏面
[00:01:51.560 --> 00:01:54.120]  或者聖城裏面其他地方
[00:01:54.120 --> 00:01:56.240]  跟群眾說話
[00:01:56.600 --> 00:02:02.600]  當大家聽了王國綺唐偉讀這段經文時
[00:02:02.600 --> 00:02:05.600]  不知道你有什麼感覺呢
[00:02:05.600 --> 00:02:07.600]  最初我真的有種感覺
[00:02:07.600 --> 00:02:10.600]  好像在背後說人壞話的感覺
[00:02:10.600 --> 00:02:14.600]  不過更加像爸爸教自己的兒子
[00:02:14.600 --> 00:02:18.600]  你千萬不要學這些人
[00:02:18.600 --> 00:02:20.600]  不要學哪些人
[00:02:20.600 --> 00:02:22.600]  就是民事和法理錯人
[00:02:22.600 --> 00:02:25.600]  民事和法理錯人是當時猶太教裏面
[00:02:25.600 --> 00:02:28.600]  一個宗教的教派
[00:02:28.600 --> 00:02:31.600]  主張要專一的持守律法
[00:02:31.600 --> 00:02:34.600]  也建立起各種的傳統
[00:02:34.600 --> 00:02:36.600]  教導群眾讓他們在當代
[00:02:36.600 --> 00:02:38.600]  以及在不同文化之中
[00:02:38.600 --> 00:02:40.600]  可以持守上帝的教訓
[00:02:40.600 --> 00:02:43.600]  他們也是當時的宗教領袖
[00:02:43.600 --> 00:02:47.600]  陶容高牧師昨晚在周末敬拜的分享
[00:02:47.600 --> 00:02:50.600]  民事和法理錯人是德高望重的一群
[00:02:50.600 --> 00:02:52.600]  因為他們很有學識
[00:02:52.600 --> 00:02:56.600]  對聖經尤其是摩西的律法很熟悉
[00:02:56.600 --> 00:03:00.600]  就像今天神學院裏面的教授或學者一樣
[00:03:00.600 --> 00:03:02.600]  耶穌說民事和法理錯人
[00:03:02.600 --> 00:03:06.600]  站在摩西的地位上解釋法律
[00:03:06.600 --> 00:03:09.600]  你們要遵從他們的教訓
[00:03:09.600 --> 00:03:12.600]  不過不要模仿他們的行為
[00:03:12.600 --> 00:03:15.600]  我要更正一下剛才所說
[00:03:15.600 --> 00:03:19.600]  不是不要學民事和法理錯人
[00:03:19.600 --> 00:03:21.600]  而是要遵從他們的吩咐
[00:03:21.600 --> 00:03:25.600]  只是不要模仿他們的行為
[00:03:25.600 --> 00:03:26.600]  為什麼呢?
[00:03:26.600 --> 00:03:28.600]  原因有三個
[00:03:28.600 --> 00:03:32.600]  第一,聖經說因為他們只會說,不會做
[00:03:32.600 --> 00:03:36.600]  所謂說就天下無敵,做就有心無力
[00:03:36.600 --> 00:03:41.600]  第二,因為他們把難挑的重擔綁在身上
[00:03:41.600 --> 00:03:43.600]  放在別人的肩膀上
[00:03:43.600 --> 00:03:46.600]  不過自己一個指頭都不動
[00:03:46.600 --> 00:03:52.600]  第三,因為他們所做的只不過是外表的虔誠
[00:03:52.600 --> 00:03:56.600]  對於第一項,只是說,不做
[00:03:56.600 --> 00:03:59.600]  昨天古牧師在周末敬拜的分享
[00:03:59.600 --> 00:04:00.600]  都是同一段經文
[00:04:00.600 --> 00:04:02.600]  不過題目定得非常之好
[00:04:02.600 --> 00:04:05.600]  題目是說一套,做一套
[00:04:05.600 --> 00:04:07.600]  耶穌提醒門徒和群眾
[00:04:07.600 --> 00:04:11.600]  千萬不要模仿這些民事和法理錯人的行為
[00:04:11.600 --> 00:04:14.600]  不要說一套,做一套
[00:04:14.600 --> 00:04:17.600]  因為這樣會影響別人對自己
[00:04:17.600 --> 00:04:21.600]  影響了對我們自己所傳講上來的教訓
[00:04:21.600 --> 00:04:24.600]  也失卻了對上帝說話
[00:04:24.600 --> 00:04:28.600]  對這個人的信任和信心
[00:04:28.600 --> 00:04:31.600]  第二,對於法理錯人
[00:04:31.600 --> 00:04:34.600]  他把難挑的重擔綁在身上
[00:04:34.600 --> 00:04:36.600]  放在別人的肩膀上
[00:04:36.600 --> 00:04:38.600]  不過自己一個指頭都不動
[00:04:38.600 --> 00:04:40.600]  是什麼意思呢?
[00:04:40.600 --> 00:04:43.600]  法理錯人是有教導群眾的責任
[00:04:43.600 --> 00:04:45.600]  和權柄的
[00:04:45.600 --> 00:04:48.600]  他們很努力地去解釋摩西的律法
[00:04:48.600 --> 00:04:52.600]  讓律法能夠廣泛地應用在不同的情況
[00:04:52.600 --> 00:04:56.600]  特別是當時以色列民被羅馬所統治
[00:04:56.600 --> 00:04:58.600]  法理錯人期望群眾
[00:04:58.600 --> 00:05:01.600]  雖然生活在希臘文化的影響之下
[00:05:01.600 --> 00:05:04.600]  仍然可以持守上帝的教訓
[00:05:04.600 --> 00:05:08.600]  這個心意原本是非常之好的
[00:05:08.600 --> 00:05:10.600]  不過這些解釋
[00:05:10.600 --> 00:05:14.600]  逐漸成為生活現行的規條
[00:05:14.600 --> 00:05:16.600]  鉅細無遺
[00:05:16.600 --> 00:05:18.600]  甚至變得很瑣碎
[00:05:18.600 --> 00:05:20.600]  例如怎樣去守安安昔日
[00:05:20.600 --> 00:05:23.600]  哪些可以做,哪些不可以做
[00:05:23.600 --> 00:05:25.600]  怎樣在吃飯前洗手
[00:05:25.600 --> 00:05:27.600]  表示你是潔淨的
[00:05:27.600 --> 00:05:29.600]  這些規條反而成為
