
[00:00:00.000 --> 00:00:07.500]  (主持) 各位聽眾早安 今日是宣講一篇很興奮的經文
[00:00:07.500 --> 00:00:10.800]  (主持) 《啟示錄》 是聖經最後一卷的書信
[00:00:10.800 --> 00:00:14.700]  (主持) 去到差不多最後一章 因為有二十二章 今日講到二十一章
[00:00:14.700 --> 00:00:21.000]  (主持) 即是差不多最後 神透過使徒約翰對我們一種啟示
[00:00:21.000 --> 00:00:24.000]  (主持) 剛才讀了經文 大家有少少印象
[00:00:24.000 --> 00:00:27.200]  (主持) 再給大家看一首詩歌
[00:00:27.200 --> 00:00:32.200]  (主持) 他用了一些表達去形容剛才字面上的意思
[00:00:32.200 --> 00:00:36.200]  (主持) 不過實際的肅靈意義 一會兒會正式在講道裡面去講
[00:00:36.200 --> 00:00:40.200]  (主持) 我們先看一首歌 聽看一首歌
[00:00:57.200 --> 00:01:10.900]  (音樂)
[00:01:10.900 --> 00:01:15.500]  And then he thought my dream must change
[00:01:15.500 --> 00:01:19.700]  The streets more underhand
[00:01:19.700 --> 00:01:23.600]  But where the glad old summers
[00:01:23.600 --> 00:01:27.900]  The little children sang
[00:01:27.900 --> 00:01:31.800]  The sun grew up with mystery
[00:01:31.800 --> 00:01:35.800]  The moon was cold and pale
[00:01:35.800 --> 00:01:40.200]  And the shadow of a cross arose
[00:01:40.200 --> 00:01:44.400]  Upon a lonely hill
[00:01:44.400 --> 00:01:51.500]  And the shadow of a cross
[00:01:51.500 --> 00:01:58.800]  Arose upon a lonely hill
[00:01:58.800 --> 00:02:06.500]  In Jerusalem, Jerusalem
[00:02:06.500 --> 00:02:12.400]  Upon a lonely hill
[00:02:12.400 --> 00:02:19.500]  Upon a lonely hill
[00:02:19.500 --> 00:02:27.500]  Upon a lonely hill
[00:02:27.500 --> 00:02:42.000]  (音樂)
[00:02:42.000 --> 00:02:46.000]  And once again the scene was changed
[00:02:46.000 --> 00:02:49.700]  What there seemed to be
[00:02:49.700 --> 00:02:53.500]  I saw the holy city
[00:02:53.500 --> 00:02:57.700]  Beside the timeless sea
[00:02:57.700 --> 00:03:01.400]  The light of God was on its streets
[00:03:01.400 --> 00:03:04.600]  Against the world's pride
[00:03:04.600 --> 00:03:10.700]  And the world moved my head in awe
[00:03:10.700 --> 00:03:16.900]  And no one was denied
[00:03:16.900 --> 00:03:23.300]  No neon moon or stars by night
[00:03:23.300 --> 00:03:29.000]  Or sun to shine my way
[00:03:29.000 --> 00:03:35.000]  It was a new Jerusalem
[00:03:35.000 --> 00:03:40.700]  That would not pass away
[00:03:40.700 --> 00:03:47.800]  It was a new Jerusalem
[00:03:47.800 --> 00:03:55.600]  That would not pass away
[00:03:55.600 --> 00:04:03.400]  Jerusalem, Jerusalem
[00:04:03.400 --> 00:04:09.000]  Jerusalem, Jerusalem
[00:04:09.000 --> 00:04:16.300]  Jerusalem, Jerusalem
[00:04:16.300 --> 00:04:23.700]  Jerusalem, Jerusalem
[00:04:23.700 --> 00:04:33.300]  Jerusalem, Jerusalem
[00:04:33.300 --> 00:04:43.300]  Jerusalem, Jerusalem
[00:04:43.300 --> 00:04:54.200]  (音樂)
[00:04:54.200 --> 00:04:57.200]  好,這首是一首我很喜歡的時候詩歌
[00:04:57.200 --> 00:04:58.200]  對不起是英文
[00:04:58.200 --> 00:05:00.700]  但是你看畫面大部份都看到
[00:05:00.700 --> 00:05:04.700]  講到一個將來有一個永恆的天家要降臨
[00:05:04.700 --> 00:05:06.100]  是重站
[00:05:06.100 --> 00:05:08.100]  但是我們活在一個張力的裏面
[00:05:08.100 --> 00:05:10.800]  這個時候和將來還有一個距離
[00:05:10.800 --> 00:05:12.700]  所以其中一幕就影到說
[00:05:12.700 --> 00:05:13.900]  突然間我又看到
[00:05:13.900 --> 00:05:15.800]  在街上很多的街童
[00:05:15.800 --> 00:05:16.700]  很多的困難
[00:05:16.700 --> 00:05:18.700]  很多的苦楚
[00:05:18.700 --> 00:05:19.900]  今天為什麼講這個題目呢
[00:05:19.900 --> 00:05:21.100]  因為這個時間
[00:05:21.100 --> 00:05:22.900]  大家都知道早一段時間
[00:05:22.900 --> 00:05:25.900]  美國將領事館搬到耶路撒冷
[00:05:25.900 --> 00:05:28.200]  但是造成了很大的張力
[00:05:28.200 --> 00:05:31.200]  大概有六十人死亡,巴勒斯坦人
[00:05:31.200 --> 00:05:32.600]  亦都有很多衝突
[00:05:32.600 --> 00:05:34.100]  近日看到影片
[00:05:34.100 --> 00:05:36.300]  那些哈瑪斯的組織
