
[00:00:00.000 --> 00:00:05.000]  今年整個童福的主題就是多代同行
[00:00:05.000 --> 00:00:07.080]  我們剛剛過了一個季度
[00:00:07.080 --> 00:00:11.080]  就開始帶大家去看如何跟神的同行
[00:00:11.080 --> 00:00:15.160]  接着我們就進入了同輩的同行
[00:00:15.160 --> 00:00:18.120]  同輩當然就是你們
[00:00:18.120 --> 00:00:21.880]  話都說少就是大家出來工作三五七年
[00:00:21.880 --> 00:00:24.360]  沒有人在這裏工作超過十年
[00:00:24.360 --> 00:00:28.920]  除了我,有些人有
[00:00:28.920 --> 00:00:34.200]  但是雖然你們工作的時間有差距
[00:00:34.200 --> 00:00:36.600]  但你的年紀可能你只上了一堂崇拜
[00:00:36.600 --> 00:00:39.240]  其實你的年紀就應該很接近的
[00:00:39.240 --> 00:00:41.840]  就是說同輩同行的時候
[00:00:41.840 --> 00:00:43.240]  我收到這個題目的時候
[00:00:43.240 --> 00:00:45.400]  我就想起這段聖經
[00:00:45.400 --> 00:00:48.280]  當然我先講這個題目
[00:00:48.280 --> 00:00:51.560]  我定了個題目叫瑞士的同行者
[00:00:51.560 --> 00:00:52.840]  我們經常講的
[00:00:52.840 --> 00:00:56.160]  我不知道你回來教會這麼久
[00:00:56.160 --> 00:00:59.440]  這個世界就會這樣說
[00:00:59.440 --> 00:01:01.200]  你有沒有知己
[00:01:01.200 --> 00:01:04.360]  如果是年輕人就會說
[00:01:04.360 --> 00:01:06.520]  你有沒有什麼BFF
[00:01:06.520 --> 00:01:07.760]  你明白是什麼嗎
[00:01:07.760 --> 00:01:10.480]  BFF還是什麼BFF
[00:01:10.480 --> 00:01:12.200]  聽到什麼什麼BFF
[00:01:12.200 --> 00:01:14.360]  那些代稱我都不太明白
[00:01:14.360 --> 00:01:18.480]  我當然知道什麼什麼BFF
[00:01:18.480 --> 00:01:22.200]  但是我想在神的家裏其實更重要的一件事
[00:01:22.200 --> 00:01:24.680]  在這個羣體我們經常講
[00:01:24.680 --> 00:01:28.160]  同行者是非常重要的
[00:01:28.160 --> 00:01:31.400]  當你望着這幅圖畫
[00:01:31.400 --> 00:01:33.560]  幫你代入
[00:01:33.560 --> 00:01:36.480]  這個AI Gen對你來說
[00:01:36.480 --> 00:01:38.080]  望下去你都能看到
[00:01:38.080 --> 00:01:40.680]  遠遠有條很長的路
[00:01:40.680 --> 00:01:42.680]  你可以說山明水秀一邊
[00:01:42.680 --> 00:01:46.760]  一邊就簡直是風雨交加的情況
[00:01:46.760 --> 00:01:49.080]  如果是行山的人就會很明白
[00:01:49.080 --> 00:01:51.160]  在這些情況之下
[00:01:51.160 --> 00:01:55.040]  如果讓你可以選擇
[00:01:55.040 --> 00:01:57.120]  在面對這樣一個環境
[00:01:57.120 --> 00:02:01.560]  就算你望着前面有多風和日麗
[00:02:01.560 --> 00:02:02.920]  但有些東西你都看不到
[00:02:02.920 --> 00:02:05.600]  但是很漫長的一條路的時候
[00:02:05.600 --> 00:02:06.720]  你會怎麼選擇呢
[00:02:06.720 --> 00:02:08.840]  你寧願一個人自己走
[00:02:08.840 --> 00:02:11.440]  還是你想有伴去走
[00:02:11.440 --> 00:02:13.560]  你自己在心中想想你的答案
[00:02:13.560 --> 00:02:15.560]  我相信有些人會這樣說
[00:02:15.560 --> 00:02:18.080]  我自己就夠了
[00:02:18.080 --> 00:02:20.320]  哪怕就算電視宣傳
[00:02:20.320 --> 00:02:21.560]  叫你每一個人去行山
[00:02:21.560 --> 00:02:24.160]  很多人都專門喜歡一個人去行山
[00:02:24.160 --> 00:02:26.160]  就是那些自己望着的人
[00:02:26.160 --> 00:02:27.880]  他自己就喜歡去的
[00:02:27.880 --> 00:02:28.760]  他不用擔心
[00:02:28.760 --> 00:02:31.000]  他覺得應該很安全的
[00:02:31.000 --> 00:02:33.560]  不會那麼容易出事
[00:02:33.560 --> 00:02:36.040]  可能就望着在這種環境底下
[00:02:36.040 --> 00:02:37.320]  有人都會這樣想
[00:02:37.320 --> 00:02:38.920]  我想只是自己
[00:02:38.920 --> 00:02:43.080]  哪怕有些人可能心底裏你自己知道
[00:02:43.080 --> 00:02:45.880]  怎知是我自己來的
[00:02:45.880 --> 00:02:50.880]  其實我不想靠別人
[00:02:50.880 --> 00:02:53.120]  免得被別人覺得我作弊
[00:02:53.120 --> 00:02:56.560]  甚至乎有些人會覺得
[00:02:56.560 --> 00:02:58.880]  要找人幫忙
[00:02:58.880 --> 00:03:01.240]  或者要求幫忙
[00:03:01.240 --> 00:03:03.560]  某程度上就像是一個弱者的表現
[00:03:03.560 --> 00:03:05.680]  我自己搞定
[00:03:05.680 --> 00:03:08.000]  當然也有部分人會說
[00:03:08.000 --> 00:03:09.320]  如果我看到這種情況
[00:03:09.320 --> 00:03:09.920]  那不是的
[00:03:09.920 --> 00:03:12.240]  我怎樣都拉着我老公去
[00:03:12.240 --> 00:03:13.520]  你怎樣都可能把他拉走
