
[00:00:00.000 --> 00:00:05.000]  今天我們教會的主題是什麼?
[00:00:05.000 --> 00:00:11.000]  跟你旁邊講一下
[00:00:11.000 --> 00:00:14.000]  「因信大有盼望」跟你旁邊說
[00:00:14.000 --> 00:00:25.000]  你要相信,你就大有盼望
[00:00:25.000 --> 00:00:29.000]  我們今天來這裡的都是很勇敢的
[00:00:29.000 --> 00:00:34.000]  你們知道我在講什麼嗎?
[00:00:34.000 --> 00:00:38.000]  我想這個疫情
[00:00:38.000 --> 00:00:42.000]  就讓我想到我們疫情有多久
[00:00:42.000 --> 00:00:45.000]  我們啟示錄就講了多久
[00:00:45.000 --> 00:00:47.000]  你懂我意思嗎?
[00:00:47.000 --> 00:00:49.000]  從疫情開始的時候呢
[00:00:49.000 --> 00:00:52.000]  神就感動我說要開始講啟示錄
[00:00:52.000 --> 00:00:56.000]  因為這是有關末世的事情
[00:00:56.000 --> 00:00:59.000]  親愛的同學們
[00:00:59.000 --> 00:01:02.000]  我們已經講到新天新地了
[00:01:02.000 --> 00:01:04.000]  Hallelujah
[00:01:04.000 --> 00:01:08.000]  正好是盼望的時候
[00:01:08.000 --> 00:01:10.000]  親愛的同學們,今天太重要了
[00:01:10.000 --> 00:01:12.000]  這個信息裡面講到
[00:01:12.000 --> 00:01:14.000]  新天新地是我們的盼望
[00:01:14.000 --> 00:01:15.000]  親愛的同學們
[00:01:15.000 --> 00:01:17.000]  我們今年的主題講了「因信大有盼望」
[00:01:17.000 --> 00:01:19.000]  盼望什麼?
[00:01:19.000 --> 00:01:21.000]  親愛的同學們,盼望什麼?
[00:01:21.000 --> 00:01:23.000]  很重要,是不是?
[00:01:23.000 --> 00:01:25.000]  我們盼望什麼?
[00:01:25.000 --> 00:01:27.000]  這是一個很重要的事情
[00:01:27.000 --> 00:01:28.000]  不然你盼望了半天
[00:01:28.000 --> 00:01:30.000]  你說盼望什麼你都不清楚
[00:01:30.000 --> 00:01:31.000]  是不是?
[00:01:31.000 --> 00:01:32.000]  這個盼望
[00:01:32.000 --> 00:01:34.000]  你如果不清楚你的盼望是什麼
[00:01:34.000 --> 00:01:38.000]  你的盼望就不會有信心
[00:01:38.000 --> 00:01:42.000]  聖經寫述裡面讓我們看見
[00:01:42.000 --> 00:01:46.000]  約翰他說他看見一個新天新地
[00:01:46.000 --> 00:01:50.000]  因為先前的天地已經過去了
[00:01:50.000 --> 00:01:54.000]  還也不再有了
[00:01:54.000 --> 00:01:56.000]  我想在疫情當中
[00:01:56.000 --> 00:01:59.000]  大家都很期望有盼望
[00:01:59.000 --> 00:02:01.000]  我們盼望什麼?
[00:02:01.000 --> 00:02:07.000]  我們盼望疫情趕快結束,是不是?
[00:02:07.000 --> 00:02:09.000]  但是我們每一天看數據
[00:02:09.000 --> 00:02:12.000]  我們每一天看我們周遭的環境
[00:02:12.000 --> 00:02:13.000]  我們實在覺得說
[00:02:13.000 --> 00:02:15.000]  哎呀,盼望在哪裡?
[00:02:15.000 --> 00:02:17.000]  油價高漲
[00:02:17.000 --> 00:02:19.000]  各個物價都高漲,是不是?
[00:02:19.000 --> 00:02:21.000]  然後呢,你可以看見
[00:02:21.000 --> 00:02:24.000]  疫情因為這個Omicron
[00:02:24.000 --> 00:02:28.000]  所以現在美國已經到一個地步
[00:02:28.000 --> 00:02:34.000]  為什麼拜登總統要發自我檢測?
[00:02:34.000 --> 00:02:36.000]  你們多少人登記了?
[00:02:36.000 --> 00:02:38.000]  我第一時間就去登記了
[00:02:38.000 --> 00:02:45.000]  但是要一月底以後才會收到
[00:02:45.000 --> 00:02:47.000]  希望真的是像他們說的
