
[00:00:00.000 --> 00:00:06.080]  好 彼得就指出我們的信仰並不是帶給我們事事亨通的
[00:00:06.080 --> 00:00:10.760]  絕對不是信了主之後平坦大道任意驅馳
[00:00:10.760 --> 00:00:14.220]  趨吉避凶 從來沒有說過這件事
[00:00:14.220 --> 00:00:19.760]  但反而他說 因為信仰會帶來給我們有苦楚
[00:00:19.760 --> 00:00:24.000]  上次我們看到 耶穌基督在世上的時候
[00:00:24.000 --> 00:00:30.260]  祂也受苦 因為祂受苦的果效 完成了救贖
[00:00:30.260 --> 00:00:35.620]  因為祂在十字架上受的痛苦 代替了我們受罪的刑罰
[00:00:35.620 --> 00:00:41.400]  我經常跟大家說 千萬不要只相信耶穌就能夠上天堂
[00:00:41.400 --> 00:00:45.700]  或者相信耶穌就能得救 不相信就要被懲罰
[00:00:45.700 --> 00:00:49.960]  別人聽到就會覺得 你這個耶穌也很惡
[00:00:49.960 --> 00:00:51.820]  不相信你就要懲罰我了
[00:00:51.820 --> 00:00:57.200]  記住 我們應該這樣說 因為耶穌基督代替了我們受罪的刑罰
[00:00:57.200 --> 00:01:00.120]  而我們拒絕這個救贖的時候
[00:01:00.120 --> 00:01:04.620]  我們就要承擔我們自己罪的刑罰
[00:01:04.620 --> 00:01:06.960]  就算是一個人犯罪 他就要坐牢
[00:01:06.960 --> 00:01:11.160]  當然是真的犯了罪就要坐牢 而不是無辜被判的那種
[00:01:11.160 --> 00:01:15.660]  那時候 如果我們犯了罪 我們就要受罰
[00:01:15.660 --> 00:01:18.960]  但耶穌也代替我們來受這個刑罰
[00:01:18.960 --> 00:01:22.760]  因為祂受的惡 祂受的刑
[00:01:22.760 --> 00:01:26.560]  所以我們得著這個拯救 如果我們相信的時候
[00:01:26.560 --> 00:01:31.760]  接著在今天的經文的重點就是教導我們要怎樣呢?
[00:01:31.760 --> 00:01:34.560]  要具備受苦的心智
[00:01:34.560 --> 00:01:37.460]  因為在這樣的情況下 我們就能夠抗拒罪惡了
[00:01:37.460 --> 00:01:40.020]  好 我們先來看今天我們所看的經文
[00:01:40.020 --> 00:01:43.460]  是在《秘書》第四章第一到第六節
[00:01:43.460 --> 00:01:46.220]  我們請到Yvonne和我們讀出來
[00:01:46.220 --> 00:01:52.360]  基督既在獄身受苦 你們也當將這樣的心智作為兵器
[00:01:52.360 --> 00:01:56.860]  因為在獄身受過苦的 就已經與罪權決了
[00:01:56.860 --> 00:02:01.960]  你們存這樣的心 從今以後就可以不從人的情慾
[00:02:01.960 --> 00:02:07.360]  只從神的旨意在世道下 道餘下的光陰
[00:02:07.360 --> 00:02:14.160]  因為往日隨從外邦人的心意行邪淫、惡慾、醉酒、歡怨、群飲
[00:02:14.160 --> 00:02:18.560]  令可惡敗偶像的事 時候已經夠了
[00:02:18.560 --> 00:02:24.260]  他們在這些事上 見你們不與他們同奔那荒蕩無道的路
[00:02:24.260 --> 00:02:27.760]  就以為怪 毀謗你們
[00:02:27.760 --> 00:02:32.860]  他們必在那將要審判活人死人的主面前交戰
[00:02:32.860 --> 00:02:36.760]  為此 就使死人也曾有福音傳給他們
[00:02:36.760 --> 00:02:40.400]  要叫他們的肉體按著人受審判
[00:02:40.400 --> 00:02:43.660]  他們的靈性卻靠神活著
[00:02:43.660 --> 00:02:47.860]  好了 這段經文講到我們要有受苦的心智
[00:02:47.860 --> 00:02:50.460]  第六節也很難解釋
[00:02:50.460 --> 00:02:52.960]  這個受苦的心智是很重要的
[00:02:52.960 --> 00:02:57.560]  第四章的第一到第二節 我們先讀第一節
[00:02:57.560 --> 00:03:04.060]  基督的在獄身受苦 你們也當將這樣的心智作為兵器
[00:03:04.060 --> 00:03:08.760]  因為在獄身受過苦的 就已經與罪權決了
[00:03:08.760 --> 00:03:13.060]  上個星期我們看到有樣學樣 我們要學習耶穌基督
[00:03:13.060 --> 00:03:17.760]  耶穌基督為了我們而拯救我們
[00:03:17.760 --> 00:03:21.860]  所以在十字架上受著一個很殘酷的刑罰
[00:03:21.860 --> 00:03:23.960]  他自己也害怕
[00:03:23.960 --> 00:03:26.960]  為什麼耶穌在赫西瑪利園禱告的時候
[00:03:26.960 --> 00:03:30.460]  也求神將這個苦杯拿開
[00:03:30.460 --> 00:03:35.760]  我再說一次 其實這個杯就是我們傳統所說的苦杯
[00:03:35.760 --> 00:03:38.160]  但是聖經裡面沒有加「苦」字
[00:03:38.160 --> 00:03:40.760]  主要是可以求神將這個杯拿開
