
[00:00:00.000 --> 00:00:05.220]  我剛才提到 今天我們提到的人物是約翰
[00:00:05.220 --> 00:00:08.580]  約翰在生命裏面有一個很大的改變
[00:00:08.580 --> 00:00:10.480]  我們要明白這個改變
[00:00:10.480 --> 00:00:14.240]  首先我們要知道 其實約翰的成長
[00:00:14.240 --> 00:00:16.880]  約翰的原生家庭是怎樣呢?
[00:00:16.880 --> 00:00:21.140]  當我說約翰的原生家庭的時候
[00:00:21.140 --> 00:00:22.840]  我們一路一路看聖經
[00:00:22.840 --> 00:00:27.400]  我們會見到 當耶穌去呼召門徒的時候
[00:00:27.400 --> 00:00:30.920]  他呼召完彼得 呼召完安德烈的時候
[00:00:30.920 --> 00:00:36.560]  然後聖經繼續記載在《馬可福音》一章十九二十節裏說
[00:00:36.560 --> 00:00:39.200]  他說 耶穌稍往前走
[00:00:39.200 --> 00:00:46.380]  又見西比太的兒子雅各和雅各的兄弟約翰在船上保望
[00:00:46.380 --> 00:00:48.440]  耶穌隨即招呼他們
[00:00:48.440 --> 00:00:53.460]  他們就把父親西比太和故宮人留在船上
[00:00:53.460 --> 00:00:55.380]  跟從耶穌去了
[00:00:55.380 --> 00:00:56.920]  在這段經文裏面
[00:00:56.920 --> 00:01:02.340]  我們會知道 原來約翰的原生家庭是做生意的
[00:01:02.340 --> 00:01:06.640]  他是做捕魚這個行業
[00:01:06.640 --> 00:01:09.940]  並且原來這個家庭是有資產的
[00:01:09.940 --> 00:01:11.180]  他有漁船
[00:01:11.180 --> 00:01:15.540]  並且他有請到工人為他們去工作
[00:01:15.540 --> 00:01:20.160]  而故宮人這個字 我們見到不知道是多少個
[00:01:20.160 --> 00:01:23.080]  但是當我們去看原文的時候
[00:01:23.080 --> 00:01:25.080]  原來這裏是一個眾數
[00:01:25.080 --> 00:01:27.080]  即是說約翰這個家庭
[00:01:27.080 --> 00:01:28.860]  他不單止有漁船
[00:01:28.860 --> 00:01:30.860]  他不單止有一個工人
[00:01:30.860 --> 00:01:34.420]  並且有多於一個人為他們打工
[00:01:34.420 --> 00:01:35.920]  我會見到的就是
[00:01:35.920 --> 00:01:40.720]  其實約翰他自己這個家庭環境都叫做不錯
[00:01:40.720 --> 00:01:43.220]  當耶穌呼召他的時候
[00:01:43.220 --> 00:01:47.600]  約翰就已經馬上把他的漁船
[00:01:47.600 --> 00:01:49.600]  並且他的家庭放下
[00:01:49.600 --> 00:01:51.120]  去跟從耶穌
[00:01:51.120 --> 00:01:54.780]  我馬上回想我自己回應呼召的時候
[00:01:54.780 --> 00:01:57.460]  確實內心都有很多的掙扎
[00:01:57.460 --> 00:01:59.460]  因為我會去想到的就是
[00:01:59.460 --> 00:02:01.460]  我回應呼召的時候
[00:02:01.460 --> 00:02:03.460]  可能我的生活的習慣
[00:02:03.460 --> 00:02:04.800]  我要去改變
[00:02:04.800 --> 00:02:07.060]  還有就是很實際的問題
