
[00:00:00.000 --> 00:00:03.600]  今天我會跟大家講一個很特別的題目
[00:00:03.600 --> 00:00:06.800]  有時你看電視或電影
[00:00:06.800 --> 00:00:09.400]  在未開始前有個警告
[00:00:09.400 --> 00:00:15.800]  就說這個電影會包含暴力或粗口
[00:00:15.800 --> 00:00:20.800]  令你困擾不安
[00:00:20.800 --> 00:00:22.200]  你有心理準備
[00:00:22.200 --> 00:00:23.800]  我可以告訴大家
[00:00:23.800 --> 00:00:27.600]  我這堂課是沒有暴力、沒有粗口
[00:00:27.600 --> 00:00:32.000]  但仍然會令你困擾和不安
[00:00:32.000 --> 00:00:34.000]  不過你不要馬上轉台
[00:00:34.000 --> 00:00:38.600]  因為我會講耶穌基督的呼召一段話
[00:00:38.600 --> 00:00:41.600]  可能對你一生有很大的影響
[00:00:41.600 --> 00:00:44.600]  今日的題目是
[00:00:44.600 --> 00:00:49.600]  你真的願意跟隨耶穌嗎?
[00:00:49.600 --> 00:00:53.600]  首先我要介紹一個人給你認識
[00:00:53.600 --> 00:00:57.600]  這個人是德國牧師和神學家
[00:00:57.600 --> 00:01:00.600]  他的名字是潘霍華
[00:01:00.600 --> 00:01:03.600]  他生於1906年
[00:01:03.600 --> 00:01:07.600]  在21歲就拿到博士學位
[00:01:07.600 --> 00:01:11.600]  在第二次世界大戰未開始之前
[00:01:11.600 --> 00:01:16.600]  有人幫他拿到一個移民美國的護照
[00:01:16.600 --> 00:01:23.600]  令他可以去到美國避過這場大災難
[00:01:23.600 --> 00:01:25.600]  不過他到了美國之後
[00:01:25.600 --> 00:01:27.600]  他覺得自己不應該這樣做
[00:01:27.600 --> 00:01:31.600]  他要回德國去服侍德國的教會
[00:01:31.600 --> 00:01:34.600]  他毅然反駁
[00:01:34.600 --> 00:01:39.600]  當時德國的教會為了保護自己
[00:01:39.600 --> 00:01:41.600]  為了逃避逼迫
[00:01:41.600 --> 00:01:44.600]  跟希特拉的政權妥協
[00:01:44.600 --> 00:01:49.600]  沒有反對希特拉的邪惡的暴行
[00:01:49.600 --> 00:01:52.600]  但是潘霍華就不同
[00:01:52.600 --> 00:01:54.600]  他到了德國之後
[00:01:54.600 --> 00:01:57.600]  他參加了一個地下組織
[00:01:57.600 --> 00:01:59.600]  是一個基督徒整成的地下組織
[00:01:59.600 --> 00:02:02.600]  叫做Confessing Church 應信教會
[00:02:02.600 --> 00:02:06.600]  裡面的一個領袖是反對希特拉
[00:02:06.600 --> 00:02:09.600]  在1943年他被捕
[00:02:09.600 --> 00:02:11.600]  關進了一個集中營
[00:02:11.600 --> 00:02:19.600]  1945年在民軍還沒快攻佔集中營前兩個星期
[00:02:19.600 --> 00:02:22.600]  德國政府就把他吊死
[00:02:22.600 --> 00:02:25.600]  享年39歲
[00:02:25.600 --> 00:02:27.600]  英年早逝
[00:02:27.600 --> 00:02:33.600]  39歲令我想起中國宋朝的岳飛也是39歲
[00:02:33.600 --> 00:02:37.600]  潘霍華對教會的影響很深遠
[00:02:37.600 --> 00:02:39.600]  普世教會的影響也很深遠
[00:02:39.600 --> 00:02:40.600]  他有不少的著作
[00:02:40.600 --> 00:02:42.600]  可能你們也看過一些
[00:02:42.600 --> 00:02:48.600]  其中一本最廣泛流行的書就叫做《追隨基督》
[00:02:48.600 --> 00:02:53.600]  這本書裡面有一個名詞比後世引用很多
[00:02:53.600 --> 00:02:55.600]  這個名詞就叫做
[00:02:55.600 --> 00:02:57.600]  廉價的恩典
