
[00:00:00.000 --> 00:00:08.000]  很開心今天能夠在農曆新年跟大家一齊敬拜神
[00:00:08.000 --> 00:00:11.000]  今年是狗年
[00:00:11.000 --> 00:00:15.000]  大家留意到銀幕上有一個很可愛的小狗
[00:00:15.000 --> 00:00:16.000]  很開心的小狗
[00:00:16.000 --> 00:00:19.000]  希望你今年也跟牠一樣開心
[00:00:19.000 --> 00:00:23.000]  我講這個題目也是一個開心的題目
[00:00:23.000 --> 00:00:24.000]  就講到愛
[00:00:24.000 --> 00:00:27.000]  不單是開心而且重要
[00:00:27.000 --> 00:00:29.000]  講到愛的力量
[00:00:29.000 --> 00:00:37.000]  愛我發現是一個很奇妙的東西
[00:00:37.000 --> 00:00:40.000]  因為古往今來每一個民族
[00:00:40.000 --> 00:00:46.000]  每一個人每一天朝思暮想的就是愛
[00:00:46.000 --> 00:00:52.000]  很多出名的電影小說都是用愛做主題
[00:00:52.000 --> 00:00:55.000]  為什麼這麼有趣呢
[00:00:55.000 --> 00:01:00.000]  元朝有位詩人說情是何物
[00:01:00.000 --> 00:01:03.000]  要教人以身相許
[00:01:03.000 --> 00:01:07.000]  為什麼愛會令我們以身相許呢
[00:01:07.000 --> 00:01:09.000]  今天我們講這個題目
[00:01:09.000 --> 00:01:15.000]  中國人談愛比較含蓄
[00:01:15.000 --> 00:01:18.000]  而且帶一些傷感
[00:01:18.000 --> 00:01:23.000]  譬如有一首古老的歌叫紅豆詞
[00:01:23.000 --> 00:01:27.000]  這首歌可以說是中國的古典情歌
[00:01:27.000 --> 00:01:29.000]  有沒有人會唱的
[00:01:29.000 --> 00:01:32.000]  有的譚牧師會唱
[00:01:32.000 --> 00:01:36.000]  這首歌裡面沒有一個愛字
[00:01:36.000 --> 00:01:39.000]  敵不盡相思血淚拋紅豆
[00:01:39.000 --> 00:01:40.000]  沒有一個愛字
[00:01:40.000 --> 00:01:42.000]  我們中國人很含蓄
[00:01:42.000 --> 00:01:44.000]  而且也有些傷感
[00:01:44.000 --> 00:01:46.000]  相思血淚
[00:01:46.000 --> 00:01:51.000]  宋朝有位女詩人叫李清照
[00:01:51.000 --> 00:01:57.000]  她喜歡用一個仇字來描寫愛
[00:01:57.000 --> 00:01:59.000]  唯有流錢流水
[00:01:59.000 --> 00:02:03.000]  應念我終日凝眸處
[00:02:03.000 --> 00:02:07.000]  重新又添一段新仇
[00:02:07.000 --> 00:02:09.000]  新仇與舊仇
[00:02:09.000 --> 00:02:16.000]  岳飛和文天祥用一個忠字
[00:02:16.000 --> 00:02:19.000]  忠心 精忠報國的忠字
[00:02:19.000 --> 00:02:22.000]  來實踐他們對國家的愛
[00:02:22.000 --> 00:02:25.000]  宋朝有位詩人柳永
[00:02:25.000 --> 00:02:26.000]  全部都是宋朝的人
[00:02:26.000 --> 00:02:28.000]  不知為何我特別喜歡宋朝
[00:02:28.000 --> 00:02:31.000]  他的性格比較率真
[00:02:31.000 --> 00:02:35.000]  他用一個情字來描寫男女之間的愛
[00:02:35.000 --> 00:02:38.000]  多情自古相離別
[00:02:38.000 --> 00:02:41.000]  近那堪難落青秋節
[00:02:41.000 --> 00:02:44.000]  今朝酒醒何處
[00:02:44.000 --> 00:02:47.000]  楊柳案小風殘月
[00:02:47.000 --> 00:02:50.000]  有些文學批判家說柳永
[00:02:50.000 --> 00:02:52.000]  講來講去都是言裡思情
[00:02:52.000 --> 00:02:54.000]  覺得他比較俗
[00:02:54.000 --> 00:02:56.000]  我不是 我欣賞他
[00:02:56.000 --> 00:03:00.000]  無論親子的愛 國家的愛
[00:03:00.000 --> 00:03:02.000]  或者兩性之間的愛
[00:03:02.000 --> 00:03:04.000]  都是美麗可愛
[00:03:04.000 --> 00:03:06.000]  都是從神而來
[00:03:06.000 --> 00:03:09.000]  我小學時看過一本書
[00:03:09.000 --> 00:03:10.000]  不知大家有沒有看過
[00:03:10.000 --> 00:03:12.000]  是英文翻譯叫《愛的教育》
[00:03:12.000 --> 00:03:14.000]  有人看過這本書嗎
[00:03:14.000 --> 00:03:17.000]  Lisa有看過
[00:03:17.000 --> 00:03:18.000]  真的看過
[00:03:18.000 --> 00:03:19.000]  很厲害
[00:03:19.000 --> 00:03:23.000]  這本書我小學時看過都記得
[00:03:23.000 --> 00:03:26.000]  講到意大利有一個窮苦家庭
[00:03:26.000 --> 00:03:28.000]  爸爸日間工作
[00:03:28.000 --> 00:03:30.000]  但都不夠錢
[00:03:30.000 --> 00:03:31.000]  晚上做外快
[00:03:31.000 --> 00:03:32.000]  外快是怎樣呢
[00:03:32.000 --> 00:03:35.000]  拿文件回來抄寫
[00:03:35.000 --> 00:03:37.000]  那時無影印機
[00:03:37.000 --> 00:03:39.000]  不然一出聲就過了
[00:03:39.000 --> 00:03:40.000]  他抄寫
[00:03:40.000 --> 00:03:43.000]  賺取外快幫補家用
[00:03:43.000 --> 00:03:46.000]  大兒子很懂事
[00:03:46.000 --> 00:03:48.000]  見到爸爸那麼勞苦
[00:03:48.000 --> 00:03:49.000]  想幫他
[00:03:49.000 --> 00:03:51.000]  靜悄悄地幫他
[00:03:51.000 --> 00:03:55.000]  晚上每個人都睡覺
[00:03:55.000 --> 00:03:57.000]  爸爸一個睡一個抄寫
[00:03:57.000 --> 00:04:00.000]  大兒子等到爸爸都睡了
[00:04:00.000 --> 00:04:02.000]  自己就下床
[00:04:02.000 --> 00:04:06.000]  在外面扭開油燈抄寫
[00:04:06.000 --> 00:04:09.000]  模仿爸爸的筆跡都沒有發現
[00:04:09.000 --> 00:04:11.000]  爸爸就說
[00:04:11.000 --> 00:04:13.000]  昨天我那麼厲害
[00:04:13.000 --> 00:04:14.000]  我以為寫十張
[00:04:14.000 --> 00:04:16.000]  原來寫了二十張
[00:04:16.000 --> 00:04:18.000]  賺到多些錢
[00:04:18.000 --> 00:04:21.000]  爸爸發現自己賺多些錢就開心
[00:04:21.000 --> 00:04:25.000]  但兒子身體越來越瘦弱
[00:04:25.000 --> 00:04:27.000]  睡眠不足
[00:04:27.000 --> 00:04:29.000]  功課越來越差
[00:04:29.000 --> 00:04:31.000]  上課又黑漫睡
[00:04:31.000 --> 00:04:33.000]  老師就發現不太行
[00:04:33.000 --> 00:04:35.000]  對爸爸來說
[00:04:35.000 --> 00:04:38.000]  兒子今年很差
[00:04:38.000 --> 00:04:39.000]  越來越差
[00:04:39.000 --> 00:04:41.000]  考第一現在考尾二
[00:04:41.000 --> 00:04:44.000]  要好好管教他
[00:04:44.000 --> 00:04:47.000]  爸爸就生氣
[00:04:47.000 --> 00:04:49.000]  有一次爸爸賺到錢
[00:04:49.000 --> 00:04:51.000]  買糖果給子女
[00:04:51.000 --> 00:04:53.000]  但不給大兒子
[00:04:53.000 --> 00:04:54.000]  因為他頑皮
[00:04:54.000 --> 00:04:55.000]  他讀書不好
[00:04:55.000 --> 00:04:57.000]  如果兒子讀書不好
[00:04:57.000 --> 00:04:59.000]  不要第一時間罵他
[00:04:59.000 --> 00:05:01.000]  可能他正在幫你
[00:05:01.000 --> 00:05:06.000]  大兒子忍住眼淚不出聲
[00:05:06.000 --> 00:05:11.000]  那晚他等到爸爸睡覺
[00:05:11.000 --> 00:05:14.000]  他又出去抄寫
[00:05:14.000 --> 00:05:17.000]  爸爸那晚半夜起床
[00:05:17.000 --> 00:05:20.000]  發現房門外有微弱的燈光
[00:05:20.000 --> 00:05:22.000]  難道我忘記關燈
[00:05:22.000 --> 00:05:24.000]  靜靜地走出去看看
[00:05:24.000 --> 00:05:28.000]  原來兒子在幫自己寫字
[00:05:28.000 --> 00:05:30.000]  你有沒有想到
[00:05:30.000 --> 00:05:33.000]  人間這些美善的愛
[00:05:33.000 --> 00:05:37.000]  是從何而來的
[00:05:37.000 --> 00:05:39.000]  源頭在何呢
[00:05:39.000 --> 00:05:41.000]  答案就在神那裡
[00:05:41.000 --> 00:05:42.000]  神來的
[00:05:42.000 --> 00:05:44.000]  因為神就是愛
[00:05:44.000 --> 00:05:46.000]  有行一書四章十六節說
[00:05:46.000 --> 00:05:48.000]  神對我們的愛
[00:05:48.000 --> 00:05:50.000]  我們已經明白了
[00:05:50.000 --> 00:05:51.000]  而且相信了
[00:05:51.000 --> 00:05:53.000]  神就是愛
[00:05:53.000 --> 00:05:55.000]  大家坐下來想想這句話
[00:05:55.000 --> 00:05:58.000]  神就是愛
[00:05:58.000 --> 00:06:01.000]  神和愛之間有個等號
[00:06:01.000 --> 00:06:03.000]  有個equal mark
[00:06:03.000 --> 00:06:05.000]  這句話其實很深奧
[00:06:05.000 --> 00:06:07.000]  有些廣東情歌以前說
[00:06:07.000 --> 00:06:09.000]  我每個細胞都充滿愛
[00:06:09.000 --> 00:06:11.000]  這是假的
[00:06:11.000 --> 00:06:14.000]  其實我們人很複雜
[00:06:14.000 --> 00:06:15.000]  我們說
[00:06:15.000 --> 00:06:17.000]  當你對情人說我愛你的時候
[00:06:17.000 --> 00:06:20.000]  心裡不知道是不是真的
[00:06:20.000 --> 00:06:24.000]  但是神需要描用細胞來描寫自己
[00:06:24.000 --> 00:06:28.000]  神就是愛
[00:06:28.000 --> 00:06:30.000]  我們的神就是愛
[00:06:30.000 --> 00:06:32.000]  所有世間上美善的東西
[00:06:32.000 --> 00:06:35.000]  聖經說都是從神來的
[00:06:35.000 --> 00:06:38.000]  所以今天我要在大年初三
[00:06:38.000 --> 00:06:39.000]  在這個美好的日子
[00:06:39.000 --> 00:06:42.000]  跟大家想愛
[00:06:42.000 --> 00:06:44.000]  剛才所讀的經文
[00:06:44.000 --> 00:06:50.000]  是耶穌基督在最後晚餐的時候說的
[00:06:50.000 --> 00:06:54.000]  約翰福音第十三章到第十七章
[00:06:54.000 --> 00:06:56.000]  就是他們在最後晚餐
[00:06:56.000 --> 00:06:59.000]  在樓房上的那番說話
[00:06:59.000 --> 00:07:02.000]  我們看的第十五章
[00:07:02.000 --> 00:07:06.000]  我們要從這段經文裡面
[00:07:06.000 --> 00:07:09.000]  來思想關於愛三樣東西
[00:07:09.000 --> 00:07:12.000]  第一 愛的本質
[00:07:12.000 --> 00:07:14.000]  第二 愛的榜樣
[00:07:14.000 --> 00:07:18.000]  第三 愛的實踐
[00:07:18.000 --> 00:07:21.000]  愛的本質是什麼呢?
[00:07:21.000 --> 00:07:26.000]  是說天父基督和信徒之間的愛的連結
[00:07:26.000 --> 00:07:29.000]  愛的榜樣是說基督的愛
[00:07:29.000 --> 00:07:31.000]  愛的實踐
[00:07:31.000 --> 00:07:34.000]  我們怎樣將上帝給我們的愛
[00:07:34.000 --> 00:07:37.000]  上帝自己就是愛的力量
[00:07:37.000 --> 00:07:40.000]  在生活裡面應用出來
[00:07:40.000 --> 00:07:45.000]  這段經文講齊這三樣東西
[00:07:45.000 --> 00:07:47.000]  我們今天來看看
[00:07:47.000 --> 00:07:50.000]  耶穌基督當日對門徒
[00:07:50.000 --> 00:07:56.000]  叮嚀又叮嚀的肺腑之言臨別的說話
[00:07:56.000 --> 00:07:59.000]  今天都對你和我來說
[00:07:59.000 --> 00:08:05.000]  我們首先來看愛的本質是什麼
[00:08:05.000 --> 00:08:09.000]  約翰福音十五章第九到十一節
[00:08:09.000 --> 00:08:12.000]  耶穌說父怎樣愛我
[00:08:12.000 --> 00:08:15.000]  我都怎樣愛你們
[00:08:15.000 --> 00:08:18.000]  你們要住在我的愛裡
[00:08:18.000 --> 00:08:22.000]  如果你遵行我的命令就住在我的愛裡
