
[00:00:00.000 --> 00:00:07.400]  我們上個禮拜講到說 保羅為菲律賓教會禱告最重要的一件事情是什麼
[00:00:07.400 --> 00:00:11.420]  最重要的是什麼
[00:00:11.420 --> 00:00:21.060]  就是要你們的愛心 怎麼樣 多而更多 是不是
[00:00:21.060 --> 00:00:27.260]  其實愛心在整個基督教的裡面
[00:00:28.200 --> 00:00:32.700]  這個哥林多前書裡面講到說 如今長存的有信有望有愛
[00:00:32.700 --> 00:00:38.020]  其中最大的就是什麼 就是愛 是不是
[00:00:38.020 --> 00:00:46.740]  所以其實當我們講臨命成熟的時候 愛是其中一個非常重要的記號
[00:00:46.740 --> 00:00:54.900]  因為信望愛裡面 愛是最大的 是吧
[00:00:56.420 --> 00:00:58.980]  所以保羅為他們禱告 禱告有沒有愛心
[00:00:58.980 --> 00:01:05.980]  他禱告他們愛心要有知識 而且要有見識 是不是 記得我們上禮拜講的
[00:01:05.980 --> 00:01:11.020]  所以不是那種瘋狂的愛
[00:01:11.020 --> 00:01:17.620]  那個求婚的時候放了一千朵玫瑰花
[00:01:19.220 --> 00:01:26.660]  九百九十九 這是你的期望
[00:01:26.660 --> 00:01:33.060]  可是結婚之後你會發現說 啊 完全變了一個人
[00:01:33.060 --> 00:01:39.540]  今天這個世界很多的愛 其實是一種迷思
[00:01:39.540 --> 00:01:42.460]  一見鍾情
[00:01:44.220 --> 00:01:55.620]  因為認識 因為 叫什麼 因為什麼 而分開 因為了解而分開
[00:01:55.620 --> 00:01:59.300]  因為誤會而結合
[00:01:59.300 --> 00:02:09.380]  好了 所以保羅說我為你們禱告 希望你們愛心多而更多
[00:02:10.780 --> 00:02:16.420]  但是接著 保羅講到說為你們愛心禱告更多的時候呢
[00:02:16.420 --> 00:02:21.660]  他接著說第十節 他說 使你們 接下來有三件事情
[00:02:21.660 --> 00:02:24.540]  使你們能夠分別是非 這是第一件事情
[00:02:24.540 --> 00:02:27.380]  第二件事情 使你們能夠做誠實無過的人
[00:02:27.380 --> 00:02:31.460]  第三件事情 使你們能夠解滿了仁義的果子
[00:02:31.460 --> 00:02:35.580]  所以呢 今天我們講到 臨命成熟三特徵
[00:02:35.580 --> 00:02:40.260]  好 請大家檢視一下自己 我們一起來看看
[00:02:41.780 --> 00:02:52.580]  第一個 保羅說 我禱告你們愛心多而更多 使你們能夠分別是非
[00:02:52.580 --> 00:03:02.020]  使你們能夠 in order to 為了要讓你們能夠分別是非
[00:03:02.020 --> 00:03:06.340]  所以愛心成熟的第一個表現是什麼呢
[00:03:06.460 --> 00:03:11.060]  第一個特徵是什麼呢 就是能夠分別是非
[00:03:11.060 --> 00:03:13.660]  跟你旁邊說 你能夠分別是非
[00:03:13.660 --> 00:03:19.140]  分別是非 什麼意思
[00:03:19.140 --> 00:03:25.700]  其實在原文裡面 分別是非 簡單的說
[00:03:25.700 --> 00:03:30.940]  就是分別什麼是最好的
[00:03:35.900 --> 00:03:41.420]  去試驗或者去 approve what is excellent
[00:03:41.420 --> 00:03:49.620]  好像一個這個金子 經過這樣子的火一燒之後
[00:03:49.620 --> 00:03:54.460]  月燒怎麼樣 就知道那個純金是什麼 是不是
[00:03:54.460 --> 00:03:56.180]  那些雜質就被出來了
[00:03:56.180 --> 00:04:03.900]  希臘的人 他們其實在賣這個石膏像的
[00:04:03.980 --> 00:04:14.620]  這個石像雕刻的人 他們常常會用蠟來補這些石雕像的這些瑕疵
[00:04:14.620 --> 00:04:24.060]  所以你要去知道說 這一個到底是怎麼樣子的
[00:04:24.060 --> 00:04:28.700]  你要去分辨它 那麼你就拿這個光
[00:04:28.700 --> 00:04:32.380]  就把它在太陽光上面照一下 你就知道了
[00:04:34.980 --> 00:04:41.860]  接著說 今天在這個世界上面 其實我們生活在世界上面
[00:04:41.860 --> 00:04:46.620]  我們有很多知識要學 我們有很多的新聞線的媒體
[00:04:46.620 --> 00:04:49.060]  真是這個資訊氾濫 對不對
[00:04:49.060 --> 00:04:55.100]  每一天你打開這個手機 你光是check這個line就check不完了
[00:04:55.100 --> 00:04:57.340]  微信就check不完了 是不是
[00:04:57.340 --> 00:05:01.700]  我手上裡面那個微信跟這個line的那個沒有讀的
[00:05:01.700 --> 00:05:06.580]  這個都已經不是一百季了
[00:05:06.580 --> 00:05:12.140]  所以每次師母看到我的手機 她都幫我先處理一下
[00:05:12.140 --> 00:05:17.060]  她就幫我來處理 把這些弄掉
[00:05:17.060 --> 00:05:20.140]  接著說 今天這個資訊太氾濫了 對不對
[00:05:20.140 --> 00:05:26.900]  可是我們雖然有這麼多的知識
[00:05:27.700 --> 00:05:32.820]  可是我們能不能夠分辨 什麼是好 什麼是不好
[00:05:32.820 --> 00:05:37.900]  我們能不能夠分辨 什麼是最好的
[00:05:37.900 --> 00:05:41.980]  這是我們今天要學習的
[00:05:41.980 --> 00:05:49.380]  耶穌說 人若賺得全世界 賠上自己的生命
[00:05:49.380 --> 00:05:56.860]  那有什麼益處呢 人還能拿什麼換生命呢
[00:05:56.860 --> 00:05:59.460]  耶穌在講這句話的時候 祂問了一個問題
[00:05:59.460 --> 00:06:08.820]  全世界還有生命來做比較 請問哪一個比較重要
[00:06:08.820 --> 00:06:15.140]  生命比較重要 是不是 只有一個
[00:06:15.140 --> 00:06:20.140]  聽清楚 假設說今天全世界都給你 但是把你的生命給我
[00:06:20.140 --> 00:06:24.740]  請問你要哪一個 生命
[00:06:24.740 --> 00:06:28.180]  但是請問 你在每一天生活當中
[00:06:28.180 --> 00:06:32.380]  現在如果全世界都要給你 你要不要
[00:06:32.380 --> 00:06:34.220]  不要
