
[00:00:00.000 --> 00:00:04.000]  現在是農曆年的新春時間
[00:00:04.000 --> 00:00:07.900]  我想在這裡祝大家新年快樂
[00:00:07.900 --> 00:00:09.400]  在寵裡面蒙恩
[00:00:09.400 --> 00:00:12.600]  我們基督徒很多時候過年都有一些
[00:00:12.600 --> 00:00:16.900]  在神裡面我們有一些特別的領袖
[00:00:16.900 --> 00:00:18.400]  所以我們新的一年
[00:00:18.400 --> 00:00:21.700]  我們很多人都會有一些的
[00:00:21.700 --> 00:00:23.800]  或者想一下有什麼新的目標
[00:00:23.800 --> 00:00:26.200]  或者我們怎樣想一下前程怎麼樣
[00:00:26.200 --> 00:00:30.500]  或者逆境快點完結這些的期盼
[00:00:30.500 --> 00:00:33.400]  但是我們基督徒總有一個特別的期盼
[00:00:33.400 --> 00:00:35.400]  我們有我們的目標
[00:00:35.400 --> 00:00:36.700]  這個目標很重要
[00:00:36.700 --> 00:00:39.100]  人生是很重要
[00:00:39.100 --> 00:00:41.500]  今天我們就看一下
[00:00:41.500 --> 00:00:46.100]  保羅就說他很清楚知道他的人生目標是什麼
[00:00:46.100 --> 00:00:52.000]  有一個故事在每日明亮裡面提到一位人物
[00:00:52.000 --> 00:00:55.800]  這個人物大概在三十年代的美國
[00:00:55.800 --> 00:00:58.500]  一個參議員
[00:00:58.500 --> 00:01:01.000]  他叫做Dream Morrow
[00:01:01.000 --> 00:01:03.100]  Dream Morrow這個人物
[00:01:03.100 --> 00:01:05.700]  有一次他坐火車
[00:01:05.700 --> 00:01:07.100]  坐火車的時候
[00:01:07.100 --> 00:01:11.400]  他發覺車票不見了
[00:01:11.400 --> 00:01:12.600]  找不到
[00:01:12.600 --> 00:01:16.900]  於是一直在找很著急的去找
[00:01:16.900 --> 00:01:23.200]  有一個賣車的售票員看到他這樣
[00:01:23.200 --> 00:01:29.300]  問Mr. Morrow你為什麼這麼緊張
[00:01:29.300 --> 00:01:31.100]  他說我票不見了
[00:01:31.100 --> 00:01:33.900]  他說不見了不要擔心
[00:01:33.900 --> 00:01:36.900]  你找到票就寄回來
[00:01:36.900 --> 00:01:38.100]  我們知道你買了票
[00:01:38.100 --> 00:01:39.700]  我們知道你有票
[00:01:39.700 --> 00:01:41.200]  不是坐霸王車
[00:01:41.200 --> 00:01:45.100]  你找到票就寄回來我們的火車站就可以了
