
[00:00:00.000 --> 00:00:02.100]  各位聽衆和各位朋友早安
[00:00:02.100 --> 00:00:05.700]  我們今天會繼續看傳言獻上的第三講
[00:00:05.700 --> 00:00:08.340]  也是《羅馬書》第十二章第一到第二節
[00:00:08.340 --> 00:00:11.460]  我們所分享的最後一個講道
[00:00:11.460 --> 00:00:16.020]  今天我們看的經文仍然是《羅馬書》第十二章第一到第二節
[00:00:16.020 --> 00:00:17.720]  正如我們上次講過
[00:00:17.720 --> 00:00:19.340]  在舊約的人物
[00:00:19.340 --> 00:00:24.260]  他們大聖畜去到會幕或者是聖殿獻祭的時候
[00:00:24.260 --> 00:00:26.300]  這些牲口無論是牛也好
[00:00:26.300 --> 00:00:27.240]  羊也好
[00:00:27.240 --> 00:00:31.480]  他們都是無意識地去獻上自己爲祭
[00:00:31.480 --> 00:00:33.960]  都是一些人拉他們進去
[00:00:33.960 --> 00:00:35.860]  或者是侍奉的人拉他們進去
[00:00:35.860 --> 00:00:37.480]  幾十萬個不願意
[00:00:37.480 --> 00:00:39.080]  當他們被宰殺的時候
[00:00:39.080 --> 00:00:41.900]  他們自己死了也不知道是爲了什麼
[00:00:41.900 --> 00:00:47.120]  但是保羅在第十二章第一節開始的時候
[00:00:47.120 --> 00:00:50.420]  保羅就提到這個獻上的祭
[00:00:50.420 --> 00:00:53.020]  提到這個獻上的祭的時候
[00:00:53.020 --> 00:00:58.760]  原來是講到我們將自己的生命獻呈給上帝
[00:00:58.760 --> 00:01:01.460]  就好像一個祭一樣
[00:01:01.460 --> 00:01:04.000]  但是卻是有意識的
[00:01:04.000 --> 00:01:05.480]  但是又是願意的
[00:01:05.480 --> 00:01:06.860]  是帶着生命力
[00:01:06.860 --> 00:01:12.760]  全然地將自己作爲一個祭獻給上帝
[00:01:12.760 --> 00:01:16.580]  特別是一個當時暴政專橫的時代
[00:01:16.580 --> 00:01:20.240]  特別是針對着當時教會所面對政治上
[00:01:20.240 --> 00:01:24.900]  宗教上的打壓和準備被血洗的時代
[00:01:24.900 --> 00:01:28.320]  保羅提醒羅馬的信徒
[00:01:28.320 --> 00:01:30.360]  同樣提醒我們每一個
[00:01:30.360 --> 00:01:32.500]  我們仍然要在這樣的時代
[00:01:32.500 --> 00:01:33.860]  這樣的情況下
[00:01:33.860 --> 00:01:35.880]  獻上整個生命
[00:01:35.880 --> 00:01:37.880]  這個生命是有活力的生命
[00:01:37.880 --> 00:01:39.260]  是屬於上主
[00:01:39.260 --> 00:01:42.720]  但是也願意完完全全地被祂使用
[00:01:42.720 --> 00:01:47.180]  而且更加是要單單土神月立
[00:01:47.180 --> 00:01:50.440]  單單要上帝修補
[00:01:50.440 --> 00:01:53.760]  這就是保羅所說的
