
[00:00:00.000 --> 00:00:05.320]  教會要在這個世界為耶穌基督的復活作見證
[00:00:05.320 --> 00:00:12.120]  這是耶穌基督在升天之前留給教會的使命
[00:00:12.120 --> 00:00:18.880]  問題是什麼才是為耶穌的復活作見證呢?
[00:00:18.880 --> 00:00:23.960]  我們怎樣可以讓這個世界的人
[00:00:23.960 --> 00:00:27.960]  透過我們可以看到復活的耶穌
[00:00:28.280 --> 00:00:30.520]  活在他們當中呢?
[00:00:30.520 --> 00:00:34.080]  當然最簡單的事
[00:00:34.080 --> 00:00:38.080]  就是教會如果做耶穌基督正在做的事
[00:00:38.080 --> 00:00:40.440]  或者耶穌基督做過的事
[00:00:40.440 --> 00:00:42.040]  別人看見了
[00:00:42.040 --> 00:00:45.040]  他們就會想起耶穌也是這樣做
[00:00:45.040 --> 00:00:50.240]  那就很容易知道耶穌基督活在他們當中了
[00:00:50.240 --> 00:00:53.520]  所以在初期教會
[00:00:53.520 --> 00:00:57.120]  我們看見使徒做了一些
[00:00:57.120 --> 00:01:00.480]  跟耶穌做的事是很相似
[00:01:00.480 --> 00:01:02.800]  甚至是一樣的事情
[00:01:02.800 --> 00:01:06.400]  因為在初期教會的世界
[00:01:06.400 --> 00:01:11.520]  跟耶穌所生活的世界是相當相似的
[00:01:11.520 --> 00:01:13.520]  因為時間只是差了幾年
[00:01:13.520 --> 00:01:16.080]  或者只是幾十年的時間
[00:01:16.080 --> 00:01:20.320]  所以當他們做一些耶穌正在做的事
[00:01:20.320 --> 00:01:21.640]  或者做過的事
[00:01:21.640 --> 00:01:27.560]  那些人很快就認出他們是耶穌基督的門徒
[00:01:27.560 --> 00:01:31.080]  他們會感受到耶穌基督活在他們當中
[00:01:31.080 --> 00:01:35.720]  但是現今的教會距離耶穌的時代二千年
[00:01:35.720 --> 00:01:39.600]  我們的社會跟耶穌的時代的社會很不同
[00:01:39.600 --> 00:01:45.400]  我們的社會的需要跟耶穌的時代的人的需要很不同
[00:01:45.400 --> 00:01:50.000]  這樣人們怎樣可以透過我們做些什麼
[00:01:50.000 --> 00:01:53.000]  讓他們真的知道耶穌在我們當中
[00:01:53.000 --> 00:01:56.560]  耶穌真的活在他們當中
[00:01:56.560 --> 00:02:01.000]  今天我們從《小行傳》思考一些
[00:02:01.000 --> 00:02:04.920]  當時的使徒主要是彼得所做過的兩件事
[00:02:04.920 --> 00:02:07.560]  而這兩件事跟耶穌所做的事是很相似的
[00:02:07.560 --> 00:02:11.840]  我們在當中有一些思考和提醒
[00:02:11.840 --> 00:02:17.840]  我們看《小行傳》第九章第31到43節
[00:02:17.840 --> 00:02:20.400]  我們請弟兄和姐妹輪流讀
[00:02:20.400 --> 00:02:22.400]  我們先請弟兄來讀
[00:02:22.400 --> 00:02:25.400]  有括弧的不可以讀
[00:02:25.400 --> 00:02:28.200]  括弧的不是說話的括弧
[00:02:28.200 --> 00:02:30.200]  是括弧的括弧
[00:02:30.200 --> 00:02:32.200]  OK 我們請弟兄開始
[00:02:32.200 --> 00:02:33.200]  1、2、3
[00:02:33.200 --> 00:02:40.200]  那時猶太、加利利、撒瑪利亞各處的教會都得平安被建立
[00:02:40.200 --> 00:02:43.800]  凡是敬畏主、蒙聖靈的安慰
[00:02:43.800 --> 00:02:45.800]  人數就增多了
[00:02:45.800 --> 00:02:48.800]  彼得收錄地方的事後
[00:02:48.800 --> 00:02:52.800]  加羅利會居住呂大的聖堂那裡
[00:02:52.800 --> 00:02:55.800]  遇見一個人名叫以尼雅
[00:02:55.800 --> 00:03:00.800]  得了癱瘓,在玉紙上躺臥八年
[00:03:00.800 --> 00:03:01.800]  彼得對他說:
[00:03:01.800 --> 00:03:05.800]  「以尼雅,耶穌基督之母來了,
[00:03:05.800 --> 00:03:10.800]  起來收拾你的玉紙,加羅利會拉你起來的。」
[00:03:10.800 --> 00:03:14.800]  凡是呂大和沙倫的人都看見了他
[00:03:14.800 --> 00:03:16.800]  就歸服主
[00:03:16.800 --> 00:03:21.800]  「再約他有一座女屋,名叫大美大,
[00:03:21.800 --> 00:03:24.800]  番美形同下,就賤作奸,
[00:03:24.800 --> 00:03:28.800]  他留在那裡住,多錢就得。」
[00:03:28.800 --> 00:03:34.800]  當時他患病而死,有人把他洗了,停在樓上
[00:03:34.800 --> 00:03:40.800]  「呂大要約他相約,門徒聽見彼得在那裡,
[00:03:40.800 --> 00:03:48.800]  就打發兩個人去見他,將頭打斷,帶到我門那裡去,不要擔心。」
[00:03:48.800 --> 00:03:54.800]  彼得就起身和他們同去,到了便有人領他上樓
[00:03:54.800 --> 00:04:04.800]  眾寡婦都站在彼得旁邊哭,拿多加與他們同在時所做的女衣外衣給他看
[00:04:04.800 --> 00:04:10.800]  「彼得要他們都出去,就為他好報,轉身對上幾人說:
[00:04:10.800 --> 00:04:17.800]  『大美大,起來!』他就睜開眼睛,見了彼得,便坐起來。」
[00:04:17.800 --> 00:04:26.800]  彼得伸手扶他起來,叫眾聖徒和寡婦進去,把多加活活地交給他們
[00:04:26.800 --> 00:04:31.800]  「這次全面要約他,就有許多人信了主。」
[00:04:31.800 --> 00:04:38.800]  此後彼得再約合一個肖避將西門的家女住了多日。
[00:04:38.800 --> 00:04:47.800]  彼得周圍去的時候,探望不同的教會,因為當時門徒分散了,
[00:04:47.800 --> 00:04:53.800]  他們在不同的地方建立了教會,這些都是猶太人來的,
[00:04:53.800 --> 00:04:58.800]  他們在猶太人的圈子裡面建立了不同的教會,
[00:04:58.800 --> 00:05:04.800]  彼得作為耶路撒冷教會的一個領袖,就被差去探訪這些教會,
[00:05:04.800 --> 00:05:09.800]  看看他們有什麼需要,看看他們的情況是怎樣。
[00:05:09.800 --> 00:05:14.800]  彼得就去到一個地方叫做呂大,在那裡遇見一個人,
[00:05:14.800 --> 00:05:19.800]  這個人叫以尼雅,是一個癱瘓的人。
[00:05:19.800 --> 00:05:22.800]  聖經沒有說他為什麼癱瘓的,
[00:05:22.800 --> 00:05:27.800]  在二千年前的人對於疾病不是很了解的,
[00:05:27.800 --> 00:05:31.800]  他們對於疾病很多時候都很陌生的,
[00:05:31.800 --> 00:05:36.800]  今日很多的疾病,今天的疾病對他們來說,他們不知道是什麼來的,
[00:05:36.800 --> 00:05:43.800]  他們特別容易將疾病和鬼附混為一談的,
[00:05:43.800 --> 00:05:49.800]  但是有一些很表面的疾病就很容易理解的,包括癱瘓,
[00:05:49.800 --> 00:05:52.800]  他們又不會將這件事變成以為是鬼附的,
[00:05:52.800 --> 00:05:57.800]  因為一個人不會走路是一個很外在的東西來的,
[00:05:57.800 --> 00:06:01.800]  在當時除了皮膚病一看就看得出,
[00:06:01.800 --> 00:06:05.800]  這些所謂殘疾也是很容易看得出的,
[00:06:05.800 --> 00:06:11.800]  例如猛、聾、斷手斷腳,不一定斷的,可能扭傷也走不了,
[00:06:11.800 --> 00:06:15.800]  這些是他們經常會出現的問題來的,
[00:06:15.800 --> 00:06:19.800]  因為以前的人的生活沒有我們那麼謹慎,
[00:06:19.800 --> 00:06:22.800]  沒有我們那麼多安全的設施,
[00:06:22.800 --> 00:06:25.800]  還有他們很多人都是用勞力去工作,
[00:06:25.800 --> 00:06:29.800]  所以腳有事手有事是很平常的事來的,
[00:06:29.800 --> 00:06:32.800]  而且以前的戰爭不是用子彈的,
[00:06:32.800 --> 00:06:34.800]  基本上是用刀的,
[00:06:34.800 --> 00:06:42.800]  所以都是會有這些所謂傷殘的情況其實經常會出現的,
[00:06:42.800 --> 00:06:48.800]  彼得見到這個癱瘓的人,他沒有要求彼得做什麼的,
[00:06:48.800 --> 00:06:51.800]  他自己也沒有說他有沒有信心這個問題,
[00:06:51.800 --> 00:06:55.800]  也沒有說他信不信彼得可以治好他,
[00:06:55.800 --> 00:06:58.800]  只是告訴我們,彼得跟他說,
[00:06:58.800 --> 00:07:04.800]  「以利亞耶穌基督,醫好你了,起來收拾你的玉子。」
[00:07:04.800 --> 00:07:11.800]  彼得就醫好了這個癱瘓的人,叫他起來行走,
[00:07:11.800 --> 00:07:15.800]  讓我們想起一個例子,
[00:07:15.800 --> 00:07:19.800]  就是耶穌也曾經做過很相似的事,
[00:07:19.800 --> 00:07:25.800]  耶穌在馬克思第二章第一到第十二節也提到,
[00:07:25.800 --> 00:07:30.800]  有一個癱瘓的人被幾個朋友送來耶穌那裡,
[00:07:30.800 --> 00:07:32.800]  因為當時的所謂室內,
[00:07:32.800 --> 00:07:35.800]  那些人進不來,在屋頂開了個洞,
[00:07:35.800 --> 00:07:36.800]  把他吊下來,
[00:07:36.800 --> 00:07:39.800]  那些人的屋是泥造的,
[00:07:39.800 --> 00:07:41.800]  我們這裡開洞,
[00:07:41.800 --> 00:07:42.800]  開得泥也全跑了,
[00:07:42.800 --> 00:07:44.800]  經常都沒開到,
[00:07:44.800 --> 00:07:46.800]  還有你賠上錢,
[00:07:46.800 --> 00:07:47.800]  填上他也挺麻煩的,
[00:07:47.800 --> 00:07:49.800]  所以現在是不會發生的,
