
[00:00:00.000 --> 00:00:02.000]  什麼叫幸福呀 電影姐妹
[00:00:02.000 --> 00:00:05.000]  其實幸福就是有一個有心人
[00:00:05.000 --> 00:00:10.000]  默默地來愛你和支持你
[00:00:10.000 --> 00:00:14.000]  所有正在看電視劇的
[00:00:14.000 --> 00:00:16.000]  你們不是在等你的哥哥嗎
[00:00:16.000 --> 00:00:17.000]  姐妹們
[00:00:17.000 --> 00:00:19.000]  甚麼年紀的都和我說
[00:00:19.000 --> 00:00:21.000]  真的很想有個哥哥
[00:00:21.000 --> 00:00:24.000]  一個對你有心的人
[00:00:24.000 --> 00:00:27.000]  那個就是帶給你幸福的人
[00:00:27.000 --> 00:00:29.000]  今天我們說我們要去學習做幸福小組
[00:00:29.000 --> 00:00:33.000]  其實幸福小組和其他小組或者其他活動
[00:00:33.000 --> 00:00:34.000]  沒有甚麼新鮮的東西
[00:00:34.000 --> 00:00:36.000]  但它真的很提醒我們
[00:00:36.000 --> 00:00:39.000]  怎樣能夠去感動人的心呢
[00:00:39.000 --> 00:00:42.000]  就是一份有心的愛
[00:00:42.000 --> 00:00:43.000]  有心的預備食物
[00:00:43.000 --> 00:00:45.000]  有心的預備一些活動
[00:00:45.000 --> 00:00:47.000]  其實相反地說
[00:00:47.000 --> 00:00:48.000]  電影姐妹
[00:00:48.000 --> 00:00:52.000]  如果你每個星期去預備你的細胞小組
[00:00:52.000 --> 00:00:54.000]  都是這麼有心思的
[00:00:54.000 --> 00:00:58.000]  其實每個星期你都是在參加幸福小組
[00:00:58.000 --> 00:01:01.000]  所以我們很好地去學習
[00:01:01.000 --> 00:01:03.000]  讓上帝真的使用我們向前走
[00:01:03.000 --> 00:01:05.000]  和街坊聊天
[00:01:05.000 --> 00:01:07.000]  他們就會有很多有趣的問題
[00:01:07.000 --> 00:01:09.000]  他們會說你們教會是這麼有趣的
[00:01:09.000 --> 00:01:10.000]  有沒有人這樣說過
[00:01:10.000 --> 00:01:12.000]  你們教會是很有趣的
