
[00:00:00.000 --> 00:00:02.700]  好,在領導神的話語之前,我先帶頭向我們禱告
[00:00:02.700 --> 00:00:06.200]  天文教你自己使用孩子今天所講的信息
[00:00:06.200 --> 00:00:07.900]  都成為我們眾人的幫助
[00:00:07.900 --> 00:00:10.300]  讓我們能夠好好的研讀神理的話語
[00:00:10.300 --> 00:00:12.400]  以致我們能夠對你有更多的了解
[00:00:12.400 --> 00:00:14.900]  亦都可以剔除別人對我們一些的誤會
[00:00:14.900 --> 00:00:16.300]  帶領我們以後的時間
[00:00:16.300 --> 00:00:17.700]  聽我們在你面前的祈禱交托
[00:00:17.700 --> 00:00:19.000]  拉動主德性的命
[00:00:19.000 --> 00:00:19.900]  Amen
[00:00:19.900 --> 00:00:23.000]  今年我們教會的主題叫「照命人生」
[00:00:23.000 --> 00:00:27.100]  神給我們每一個人都有一個呼召
[00:00:27.100 --> 00:00:30.400]  呼召我們離開罪惡的權勢
[00:00:30.400 --> 00:00:32.000]  進入光明裏面
[00:00:32.000 --> 00:00:35.100]  但我們不只是去享受這個祝福
[00:00:35.100 --> 00:00:38.400]  我們每一個屬於神的人都有一個責任
[00:00:38.400 --> 00:00:41.100]  原來我們有一個很尊貴的身份
[00:00:41.100 --> 00:00:43.500]  我們是君尊的祭司
[00:00:43.500 --> 00:00:46.600]  我們一起來讀彼得前書第二章第九節
[00:00:46.600 --> 00:00:49.000]  這裏帶出我們的身份和責任
[00:00:49.000 --> 00:00:50.500]  我們一起來帶去讀出
[00:00:50.500 --> 00:00:54.100]  唯有你們是被揀選的族類
[00:00:54.100 --> 00:00:56.200]  是有君尊的祭司
[00:00:56.200 --> 00:00:57.900]  是聖潔的國度
[00:00:57.900 --> 00:00:59.600]  是屬神的子民
[00:00:59.600 --> 00:01:01.500]  要叫你們宣揚那
[00:01:01.500 --> 00:01:03.200]  召你們出黑暗
[00:01:03.200 --> 00:01:05.900]  入奇妙光明者的美德
[00:01:05.900 --> 00:01:07.600]  這裏很清楚讓我們看到
[00:01:07.600 --> 00:01:09.500]  原來我們是君尊的祭司
[00:01:09.500 --> 00:01:11.800]  祭司是站在人和神的中間
[00:01:11.800 --> 00:01:13.600]  教導子民認識神
[00:01:13.600 --> 00:01:16.300]  也代表了子民向神獻祭
[00:01:16.300 --> 00:01:17.700]  今天我們也站在
[00:01:17.700 --> 00:01:19.700]  信和不信的人當中
[00:01:19.700 --> 00:01:21.100]  和在神的中間
[00:01:21.100 --> 00:01:23.500]  我們要去建立弟兄姊妹的生命
[00:01:23.500 --> 00:01:26.200]  但是我們更加需要來分享
[00:01:26.200 --> 00:01:27.400]  神的榮耀
[00:01:27.400 --> 00:01:28.800]  讓人來認識神
[00:01:28.800 --> 00:01:30.600]  這是每一個基督徒
[00:01:30.600 --> 00:01:32.500]  都要去承擔的責任
[00:01:32.500 --> 00:01:34.900]  但是神也在不同的人身上
