
[00:00:00.000 --> 00:00:02.560]  在過往的日子
[00:00:02.560 --> 00:00:06.400]  我們都是在曠野
[00:00:06.400 --> 00:00:08.960]  我們曾經思想過十誡
[00:00:08.960 --> 00:00:13.060]  思想過耶穌基督的行動和教導
[00:00:13.060 --> 00:00:17.160]  希望知道怎樣走前面的路
[00:00:17.160 --> 00:00:18.440]  在今天
[00:00:18.440 --> 00:00:21.000]  我們離開曠野
[00:00:21.000 --> 00:00:24.320]  我們發現我們和耶穌基督一起
[00:00:24.320 --> 00:00:27.140]  坐在船的上面
[00:00:27.140 --> 00:00:31.500]  在一個朝聖的路上,在船上面
[00:00:31.500 --> 00:00:34.820]  我們聽見耶穌基督說什麼呢?
[00:00:34.820 --> 00:00:39.940]  我們一起看路加福音五章一至十一節
[00:00:39.940 --> 00:00:43.780]  耶穌站在加里達勒湖邊
[00:00:43.780 --> 00:00:46.080]  即是加里利湖
[00:00:46.080 --> 00:00:52.220]  眾人擁擠他,要聽神的話道
[00:00:52.220 --> 00:00:59.140]  他見有兩隻船彎在湖邊打魚的人卻離開船駛往去了
[00:00:59.140 --> 00:01:01.440]  有一隻船是西門的
[00:01:01.440 --> 00:01:05.540]  耶穌就上去請他把船撐開
[00:01:05.540 --> 00:01:08.340]  稍微離岸就坐下
[00:01:08.340 --> 00:01:12.180]  從船上教訓眾人
[00:01:12.180 --> 00:01:15.520]  講完了,對西門說
[00:01:15.520 --> 00:01:18.600]  把船開到水深之處
[00:01:18.600 --> 00:01:20.900]  下網打魚
[00:01:20.900 --> 00:01:22.940]  西門說夫子
[00:01:22.940 --> 00:01:27.300]  我們整夜勞力並沒有打著什麼
[00:01:27.300 --> 00:01:31.140]  但依從你的話
[00:01:31.140 --> 00:01:33.180]  我就下網
[00:01:33.180 --> 00:01:36.520]  他們下了網就圈住許多魚
[00:01:36.520 --> 00:01:40.100]  網險些裂開
[00:01:40.100 --> 00:01:44.700]  便招呼那隻船上的同伴來幫助
[00:01:44.700 --> 00:01:48.300]  他們就來把魚裝滿了兩隻船
[00:01:48.300 --> 00:01:51.120]  三隻船要沉下去
[00:01:51.120 --> 00:01:55.220]  西門彼得看見就俯伏在耶穌的膝前說
[00:01:55.220 --> 00:01:59.560]  主啊,離開我,我是個罪人
[00:01:59.560 --> 00:02:04.680]  他和一切同在的人都驚訝這一網所打的魚
[00:02:04.680 --> 00:02:10.580]  他的夥伴西比太的兒子雅各約翰也是這樣
[00:02:10.580 --> 00:02:12.360]  耶穌對西門說
[00:02:12.360 --> 00:02:13.900]  不要怕
[00:02:13.900 --> 00:02:15.700]  從今以後
[00:02:15.700 --> 00:02:18.520]  你要得人了
[00:02:18.520 --> 00:02:21.340]  他們把兩隻船攏了網
[00:02:21.340 --> 00:02:23.640]  就撇下所有的
[00:02:23.640 --> 00:02:25.940]  跟從了耶穌
[00:02:25.940 --> 00:02:29.780]  這段經文的前一章是第四章
[00:02:29.780 --> 00:02:33.360]  在第四章我們看見耶穌基督
[00:02:33.360 --> 00:02:35.660]  開始祂的工作
[00:02:35.660 --> 00:02:40.280]  祂離開了曠野,祂去到祂自己的家鄉
[00:02:40.280 --> 00:02:43.100]  但去到自己的家鄉,周圍的人不歡迎祂
[00:02:43.100 --> 00:02:46.680]  在我們小時候長大的年輕人
[00:02:46.680 --> 00:02:47.960]  說什麼呢?
[00:02:47.960 --> 00:02:51.040]  是不喜歡祂的,是批評祂的
[00:02:51.040 --> 00:02:52.820]  甚至想攻擊祂
[00:02:52.820 --> 00:02:55.900]  於是耶穌基督就去到另一個小鎮
[00:02:55.900 --> 00:02:59.480]  在這個小鎮,耶穌基督是被歡迎的
[00:02:59.480 --> 00:03:01.540]  被看為有權柄的
[00:03:01.540 --> 00:03:04.100]  他們說,這是誰人來的?
[00:03:04.100 --> 00:03:05.640]  為什麼他的教導
[00:03:05.640 --> 00:03:08.700]  充滿著這樣的權柄?
[00:03:08.700 --> 00:03:10.500]  路加的報道就這樣說
[00:03:10.500 --> 00:03:12.800]  他們很稀奇,他的教訓
[00:03:12.800 --> 00:03:18.440]  因為他的患女有權柄
[00:03:18.440 --> 00:03:22.780]  接著耶穌基督又開始祂醫治的工作
[00:03:22.780 --> 00:03:27.900]  祂醫治了彼得的外母的病
[00:03:27.900 --> 00:03:33.280]  所以彼得應該有機會聽耶穌基督的講話
[00:03:33.280 --> 00:03:37.640]  但是彼得仍然要上班
[00:03:37.640 --> 00:03:39.680]  仍然要打魚
[00:03:39.680 --> 00:03:43.520]  以致能夠照顧祂的家庭
[00:03:43.520 --> 00:03:46.340]  有一次,他去打魚
[00:03:46.340 --> 00:03:48.900]  整晚忙碌,打不到魚
[00:03:48.900 --> 00:03:53.760]  整個晚上,他就撒網、拉網、撒網、拉網
[00:03:53.760 --> 00:03:55.300]  整夜忙碌
[00:03:55.300 --> 00:03:57.860]  打不到魚
[00:03:57.860 --> 00:04:02.460]  看著魚網,他當然非常的失望
[00:04:02.460 --> 00:04:04.260]  他只會這樣想
[00:04:04.260 --> 00:04:07.580]  究竟神是不是不喜歡我呢?
[00:04:07.580 --> 00:04:10.660]  神是不是要懲罰我呢?
[00:04:10.660 --> 00:04:15.000]  當他在撒網的時候,見到耶穌基督出現
[00:04:15.000 --> 00:04:17.820]  路加就告訴我們
[00:04:17.820 --> 00:04:19.860]  耶穌出現在湖那裡的時候
[00:04:19.860 --> 00:04:23.700]  很多人擁擠著他,要聽神的道
[00:04:23.700 --> 00:04:26.260]  因為人太多,擁著耶穌基督
[00:04:26.260 --> 00:04:28.820]  耶穌基督又想見到這些人
[00:04:28.820 --> 00:04:30.360]  又希望他聽得到
[00:04:30.360 --> 00:04:34.460]  所以他就想在船上講道
[00:04:34.460 --> 00:04:36.760]  他見到彼得那條船
[00:04:36.760 --> 00:04:38.800]  於是就想借用那條船
[00:04:38.800 --> 00:04:40.600]  在船上講道
[00:04:40.600 --> 00:04:44.960]  我們可以想像耶穌基督向彼得說
[00:04:44.960 --> 00:04:47.260]  「我需要你的船」
[00:04:47.260 --> 00:04:51.860]  「我想在你的船上講道」
[00:04:51.860 --> 00:04:55.440]  那時候,彼得心裡在想
[00:04:55.440 --> 00:04:58.000]  「不是太好」
[00:04:58.000 --> 00:05:01.840]  「你講完道之後,我還要幫你洗那條船」
[00:05:01.840 --> 00:05:04.400]  「我本來是要休息,要回家」
[00:05:04.400 --> 00:05:07.480]  「我很累了」
[00:05:07.480 --> 00:05:10.600]  但是彼得當然想起耶穌基督
[00:05:10.600 --> 00:05:12.460]  這個他的岳母
[00:05:12.460 --> 00:05:14.380]  所以他應該要多謝耶穌基督
[00:05:14.380 --> 00:05:16.180]  並且幫助這位
[00:05:16.180 --> 00:05:20.780]  這麼多人喜歡的一位人物
[00:05:20.780 --> 00:05:23.600]  在這個時候,當你聽到的時候
[00:05:23.600 --> 00:05:27.700]  你見不見到彼得真的很累?
[00:05:27.700 --> 00:05:29.740]  彼得很累
[00:05:29.740 --> 00:05:33.840]  你們都是很累,是不是?
[00:05:33.840 --> 00:05:37.680]  你們是不是像那些漁夫在湖邊
[00:05:37.680 --> 00:05:38.960]  心想
[00:05:38.960 --> 00:05:42.300]  「這真是一個很長的黑夜」
[00:05:42.300 --> 00:05:44.600]  你們要問神就是神
[00:05:44.600 --> 00:05:48.440]  為什麼你不可以帶一點兒的光明出來?
[00:05:48.440 --> 00:05:51.260]  你的眷顧在哪裡?
[00:05:51.260 --> 00:05:53.040]  我們錯了什麼?
[00:05:53.040 --> 00:05:56.120]  你要我們做什麼?
[00:05:56.120 --> 00:05:58.680]  我們要怎麼面對這個環境?
[00:05:58.680 --> 00:06:05.600]  我們是不是要離開這個地方,離開這個城?
[00:06:05.600 --> 00:06:08.140]  我們都曾經是被耶穌基督幫助的
[00:06:08.140 --> 00:06:11.400]  所以今天我們在這裡要敬拜祂
[00:06:11.400 --> 00:06:14.280]  所以我們覺得都是應該要感恩
[00:06:14.280 --> 00:06:18.000]  都要幫幫耶穌的
[00:06:18.000 --> 00:06:23.600]  但事實就是我們面對的真是重重的困難
[00:06:23.600 --> 00:06:27.040]  疫情已經這麼久了,香港已經變得這麼嚴重了
