
[00:00:00.000 --> 00:00:02.540]  这档节目让我们重新讨读
[00:00:02.540 --> 00:00:04.540]  让我们重新达到
[00:00:04.540 --> 00:00:09.260]  非常感谢你让我们再次来到你的说话灯前
[00:00:09.260 --> 00:00:12.340]  来到掌握当中的教训
[00:00:12.340 --> 00:00:14.860]  求圣灵在这个时候提醒我们
[00:00:14.860 --> 00:00:15.860]  帮助我们
[00:00:15.860 --> 00:00:18.580]  好使我们不会错过
[00:00:18.580 --> 00:00:22.540]  经文里面所有你说话的教训
[00:00:22.540 --> 00:00:24.940]  也让我们能够重复在其中
[00:00:24.940 --> 00:00:27.300]  所以现在我们在听到雨声
[00:00:27.300 --> 00:00:28.540]  我们很求祖灵
[00:00:28.540 --> 00:00:31.340]  让圣灵提醒我们
[00:00:31.340 --> 00:00:34.940]  让我们天天谨慎道路
[00:00:34.940 --> 00:00:37.740]  也让我们在掌握主流道路里面
[00:00:37.740 --> 00:00:39.540]  我们天天反复思想
[00:00:39.540 --> 00:00:41.940]  能够停留在星期天的听到
[00:00:41.940 --> 00:00:44.340]  是永远在我们每一天
[00:00:44.340 --> 00:00:46.340]  来到惦念主理的教训
[00:00:46.340 --> 00:00:48.140]  随时行到
[00:00:48.140 --> 00:00:50.540]  我们祷告封主耶稣为主
[00:00:50.540 --> 00:00:51.540]  Amen
[00:00:51.540 --> 00:00:54.740]  那今天呢
[00:00:54.740 --> 00:00:56.540]  大众的街头呢
[00:00:56.540 --> 00:01:00.140]  怎样去断定一件事合不合神的心意呢?
[00:01:00.140 --> 00:01:02.740]  今天的大众一般的基督徒
[00:01:02.740 --> 00:01:05.940]  是怎样断定如何是符合神的心意呢?
[00:01:05.940 --> 00:01:08.940]  这条题目很多基督徒都经常问的
[00:01:08.940 --> 00:01:11.540]  这个题目经常是很多基督徒来问的
[00:01:11.540 --> 00:01:14.540]  想问究竟怎样才是印证
[00:01:14.540 --> 00:01:16.940]  我做不做这件事好呢?
[00:01:16.940 --> 00:01:19.740]  那怎样才能验证我做不做这件事呢?
[00:01:19.740 --> 00:01:21.540]  或者我做这件事
[00:01:21.540 --> 00:01:24.540]  这件事究竟神想不想我做呢?
[00:01:24.540 --> 00:01:27.540]  或者说做这件事到底是神想不想我去做呢?
[00:01:27.540 --> 00:01:29.540]  所以就有一个这样的问题发出
[00:01:29.540 --> 00:01:31.140]  随机有这样的问题来发出
[00:01:31.140 --> 00:01:33.140]  这个问题简单地说就是
[00:01:33.140 --> 00:01:35.340]  何谓真正神的旨意?
[00:01:35.340 --> 00:01:37.140]  如果简单来讲就是
[00:01:37.140 --> 00:01:39.140]  何谓神真正的旨意?
[00:01:39.140 --> 00:01:40.940]  我自己也问过这个问题
[00:01:40.940 --> 00:01:42.340]  我自己也问过这样的问题
[00:01:42.340 --> 00:01:44.940]  我记得我在信主的头一年的时候
[00:01:44.940 --> 00:01:46.140]  我已经问过这条问题
[00:01:46.140 --> 00:01:48.540]  我记得在我头信主一两年的时候
[00:01:48.540 --> 00:01:49.540]  我问过这样的问题
[00:01:49.540 --> 00:01:52.140]  因为我不想做基督徒行差踏错
[00:01:52.140 --> 00:01:58.540]  因为我不想做基督徒行差踏错
[00:01:58.540 --> 00:02:00.940]  当时我问我的牧师
[00:02:00.940 --> 00:02:01.940]  我问我的牧者
[00:02:01.940 --> 00:02:03.540]  他就这样回答我
[00:02:03.540 --> 00:02:04.740]  我当时问我的牧师
[00:02:04.740 --> 00:02:05.740]  他这样回答我
