
[00:00:00.000 --> 00:00:02.000]  好,今天我們去到
[00:00:02.000 --> 00:00:04.640]  剛才說到,去到三位耳機上
[00:00:04.640 --> 00:00:06.640]  十二章
[00:00:06.640 --> 00:00:09.320]  題目是FINISH WELL
[00:00:09.320 --> 00:00:12.480]  美好的完結
[00:00:12.480 --> 00:00:15.200]  去到三位耳機上,第十二章
[00:00:15.200 --> 00:00:19.400]  去到說到美好的完結
[00:00:19.400 --> 00:00:23.560]  我們深信每一個人都會有完結的
[00:00:23.560 --> 00:00:26.600]  每一個人都有他的完結
[00:00:26.600 --> 00:00:30.680]  重點是他是不是完結得美好
[00:00:30.680 --> 00:00:33.000]  我們每一個人都有不同階段的完結
[00:00:33.000 --> 00:00:36.000]  或者你讀完書,完結了讀完書
[00:00:36.000 --> 00:00:39.760]  重要是你讀完書合不合格才行
[00:00:39.760 --> 00:00:42.760]  又或者我結完婚
[00:00:42.760 --> 00:00:45.520]  重點是你結完婚之後
[00:00:45.520 --> 00:00:50.000]  你有沒有繼續很想連在一起
[00:00:50.000 --> 00:00:52.360]  聖經說二人成為一體,連在一起
[00:00:52.360 --> 00:00:54.840]  還是你很想接在一起
[00:00:54.840 --> 00:00:57.120]  又或者你完成了工作
[00:00:57.120 --> 00:01:00.960]  完成的時候是不是代表你完成呢?
[00:01:00.960 --> 00:01:03.360]  還是完蛋呢?
[00:01:03.360 --> 00:01:06.880]  都是很不同的,這個完成了是哪一方面
[00:01:06.880 --> 00:01:09.160]  以下有三位名人
[00:01:09.160 --> 00:01:13.840]  他在人生最後的階段說了一兩句話
[00:01:13.840 --> 00:01:17.760]  看看你的心目中他是不是美好的完結
[00:01:17.760 --> 00:01:19.760]  是不是FINISH WELL
[00:01:19.760 --> 00:01:22.240]  Richard Thiemann
[00:01:22.240 --> 00:01:26.720]  是一個美國的物理學家
[00:01:26.720 --> 00:01:32.960]  他被譽為最有名的物理學家
[00:01:32.960 --> 00:01:35.960]  也得到諾貝爾獎
[00:01:35.960 --> 00:01:39.760]  他人生非常風趣幽默
[00:01:39.760 --> 00:01:41.960]  甚至到最後他這麼說
[00:01:41.960 --> 00:01:45.040]  I HATE TO DIE TWICE
[00:01:45.040 --> 00:01:48.680]  我不想,我厭倦,死兩次
[00:01:48.680 --> 00:01:50.600]  IT'S SO BORING
[00:01:50.600 --> 00:01:53.320]  可能他已經經歷了人生各樣東西
[00:01:53.320 --> 00:01:55.920]  還有他的研究是非常有名的
[00:01:55.920 --> 00:01:58.800]  他的研究是Quantum Physics
[00:01:58.800 --> 00:02:00.640]  有沒有人認識的?
[00:02:00.640 --> 00:02:02.720]  Quantum Physics Theorem
[00:02:02.720 --> 00:02:04.840]  很厲害
[00:02:04.840 --> 00:02:06.560]  又或者我們看看另一個人
[00:02:06.560 --> 00:02:07.760]  是一個很有名的人
