
[00:00:00.000 --> 00:00:03.660]  我們總體都是在說
[00:00:03.660 --> 00:00:06.760]  怎樣在舊約聖經裏面看見主耶穌
[00:00:06.760 --> 00:00:10.520]  今天我們進入另外一本《撒慕爾記》的時候
[00:00:10.520 --> 00:00:15.800]  我希望大家看到為什麼所有東西都是指向主耶穌基督
[00:00:15.800 --> 00:00:20.400]  當我們越來越進入聖經的中部 可以這麼說
[00:00:20.400 --> 00:00:26.840]  我們開始離開起初的《創世記》、《出埃及記》的時候
[00:00:26.840 --> 00:00:30.380]  其實我們更加需要回到記得前面的一些東西
[00:00:30.380 --> 00:00:33.820]  因為如果不是 我們就斷了藍
[00:00:33.820 --> 00:00:38.160]  我們沒辦法將整本聖經連結在一起
[00:00:38.160 --> 00:00:42.160]  所以我們都要很快的去複習一下
[00:00:42.160 --> 00:00:46.440]  《創世記》是說創造墮落救贖的三部曲
[00:00:46.440 --> 00:00:48.220]  接著《出埃及記》的時候
[00:00:48.220 --> 00:00:53.560]  是要和他們從埃及的狗掌之間去逃生
[00:00:53.560 --> 00:00:57.060]  去到《利美記》 我們一個聖潔的上帝
[00:00:57.060 --> 00:01:01.500]  和我們有罪的人當中 上帝怎樣去預備
[00:01:01.500 --> 00:01:03.960]  讓我們有憲制等等
[00:01:03.960 --> 00:01:06.800]  當中利美的工作 利美人的工作
[00:01:06.800 --> 00:01:11.800]  或者祭司的工作 就是要保守上帝的聖潔
[00:01:11.800 --> 00:01:16.740]  也都是保守敬拜者的安全
[00:01:16.740 --> 00:01:19.480]  聖潔君王保衛者
[00:01:19.480 --> 00:01:22.800]  接著去到《文素記》 很可惜
[00:01:22.800 --> 00:01:30.160]  他們沒有遵守上帝聖潔的誡明
[00:01:30.160 --> 00:01:34.260]  所以他們在曠野裡面40年是大叛逆的
[00:01:34.260 --> 00:01:38.600]  接著最後去到40年之後
[00:01:38.600 --> 00:01:43.820]  摩西在摩雅的曠野 給他們最後的港島
[00:01:43.820 --> 00:01:46.480]  預備他們進入這個應許之地
[00:01:46.480 --> 00:01:48.520]  心守國禮 心愛主
[00:01:48.520 --> 00:01:51.280]  所有東西其實都是影子指向
[00:01:51.280 --> 00:01:54.800]  最終在耶穌基督身上的承傳
[00:01:54.800 --> 00:01:59.080]  接著《生命記》之後 就去到《約書亞記》
[00:01:59.080 --> 00:02:02.180]  我們記得《約書亞記》所說的
[00:02:02.180 --> 00:02:04.800]  就是書、劍、因、仇、盡、加、衙
[00:02:04.800 --> 00:02:10.720]  我現在在這裡 稍微修改我每一本書的一個題目
[00:02:10.720 --> 00:02:12.840]  我想一想 我都是覺得這樣
[00:02:12.840 --> 00:02:15.640]  書、劍、因、仇、盡、加、衙
[00:02:15.640 --> 00:02:18.240]  書是在說《生命記》
[00:02:18.240 --> 00:02:20.820]  劍是因為他們要打聖戰
[00:02:20.820 --> 00:02:22.680]  他們最後要進迦南
[00:02:22.680 --> 00:02:24.040]  當然這個都是影子來的
[00:02:24.040 --> 00:02:28.380]  因為迦南不是最終的那個應許之地
[00:02:28.380 --> 00:02:31.000]  應許之地是在《新約聖經》裡面
[00:02:31.000 --> 00:02:34.960]  你才可以找到那個應許的天國
[00:02:34.960 --> 00:02:39.360]  接著就是上兩個禮拜我們所說的
[00:02:39.360 --> 00:02:40.920]  就是史詩記和路德記
[00:02:40.920 --> 00:02:43.880]  如果你記得 他們其實是孖公仔來的
[00:02:43.880 --> 00:02:49.180]  我給他們的名字叫做《亂世史詩新舊傳》
[00:02:49.180 --> 00:02:53.080]  史詩記是一個非常亂世的地方
[00:02:53.080 --> 00:02:55.200]  而這些史詩都不是好人
[00:02:55.200 --> 00:02:58.460]  它代表了以色列人和上帝的關係
[00:02:58.460 --> 00:03:03.700]  是一個各人做自己眼中看為對的事情
[00:03:03.700 --> 00:03:08.660]  就是他們各人都在做自己眼中看為對
[00:03:08.660 --> 00:03:12.420]  其實在耶和華眼中卻是看為惡的事情
[00:03:12.420 --> 00:03:15.960]  於是史詩記最後是一個呼喊
[00:03:15.960 --> 00:03:19.480]  我們沒有一個好的君王 沒有一個好的救主
[00:03:19.480 --> 00:03:22.880]  所以《亂世史詩》是在祈求一個真正的救主
[00:03:22.880 --> 00:03:24.880]  這個真正的救主會從哪裡來呢?
[00:03:24.880 --> 00:03:26.520]  從大衛之家而來
[00:03:26.520 --> 00:03:30.440]  而路德記也是為大衛賣廣告的
[00:03:30.440 --> 00:03:33.220]  如果大家不記得 可以回到前面去聽
[00:03:33.220 --> 00:03:38.360]  今天我們進入一個新的一本書
[00:03:38.360 --> 00:03:40.660]  就是《撒姆爾記》的
[00:03:40.660 --> 00:03:46.360]  《撒姆爾記》如果你看一下我們今天讀的《讀經計劃》
[00:03:46.360 --> 00:03:50.840]  應該是去到《撒姆爾記》上第15、第10章
[00:03:50.840 --> 00:03:55.300]  所以今天我會和你講《撒姆爾記》上第15章
[00:03:55.300 --> 00:04:02.420]  下個星期回來 我們會看《撒姆爾記》第30章
[00:04:02.420 --> 00:04:07.320]  其實這兩章又有關係 都是講亞馬利人的
[00:04:07.320 --> 00:04:13.400]  一章就會講掃羅多一些 今天講掃羅
[00:04:13.400 --> 00:04:17.100]  另外一個就講大衛
[00:04:17.100 --> 00:04:19.740]  我今天講的題目就是
[00:04:19.740 --> 00:04:23.400]  不馴服的君王 或者是馴服的君王
[00:04:23.400 --> 00:04:25.100]  將這個「不」字括著
[00:04:25.100 --> 00:04:30.160]  我們先給一個總題 《撒姆爾記》
[00:04:30.160 --> 00:04:33.760]  我現在給了《撒姆爾記》一個總題
[00:04:33.760 --> 00:04:38.360]  叫做「尚主永約三君王」
[00:04:38.360 --> 00:04:40.920]  其實《撒姆爾記》最終所講的是
[00:04:40.920 --> 00:04:46.100]  上帝給大衛的一個永遠的盟約
[00:04:46.100 --> 00:04:50.160]  就是大衛之約 所以我們就叫它「尚主永約」
[00:04:50.160 --> 00:04:54.620]  但是如果你從一個平面的角度來講
[00:04:54.620 --> 00:04:57.920]  它是在講三個君王的故事
[00:04:57.920 --> 00:05:03.560]  但是最中心的是尚主的永約
[00:05:03.560 --> 00:05:09.900]  究竟《撒姆爾記》是講哪三個君王呢?
[00:05:09.900 --> 00:05:13.320]  第一 《撒姆爾記》是一個造王者的故事
[00:05:13.320 --> 00:05:16.300]  所謂的造王者當然就是「撒姆爾」
[00:05:16.300 --> 00:05:18.540]  「撒姆爾」就造了兩個王
[00:05:18.540 --> 00:05:21.540]  但是真正那個 你可以說最終
[00:05:21.540 --> 00:05:24.620]  最後的真命天子其實是第三個王
[00:05:24.620 --> 00:05:28.320]  這個王也不是在《撒姆爾記》裡面出現的
[00:05:28.320 --> 00:05:30.320]  第一個王當然是掃羅
[00:05:30.320 --> 00:05:33.160]  高大威猛 英俊瀟灑
[00:05:33.160 --> 00:05:36.900]  好像很能打 但是很快已經發現
[00:05:36.900 --> 00:05:40.760]  他不是那個以色列人要期待的君王
[00:05:40.760 --> 00:05:43.360]  於是很快被上帝廢了
[00:05:43.360 --> 00:05:47.060]  我們都看一下他怎麼樣被上帝廢的
[00:05:47.060 --> 00:05:50.320]  而第二個君王當然在《撒姆爾記》裡面的
[00:05:50.320 --> 00:05:51.920]  就是大衛了
[00:05:51.920 --> 00:05:57.860]  在大衛的事情裡面
[00:05:57.860 --> 00:05:59.360]  其中一樣東西很重要的
[00:05:59.360 --> 00:06:03.540]  或者是一個我們這樣看不覺得太重要
[00:06:03.540 --> 00:06:05.320]  但是其實很重要的一個故事
[00:06:05.320 --> 00:06:08.540]  就是大衛擊殺阿瑪利人的故事
[00:06:08.540 --> 00:06:11.900]  但是這個就是下個星期我們會回來講的
[00:06:11.900 --> 00:06:15.780]  以前我有一次講到的 當中都有cover到的
[00:06:15.780 --> 00:06:19.580]  今天主要是講一個反面的故事
[00:06:19.580 --> 00:06:24.740]  那個反面的故事就是阿瑪利人和掃羅的故事
[00:06:24.740 --> 00:06:31.140]  Anyway 我想帶你去看一下整個《撒姆爾記》的大綱
[00:06:31.140 --> 00:06:32.940]  或者是那個架構
[00:06:32.940 --> 00:06:34.640]  當我們看《撒姆爾記》的時候
[00:06:34.640 --> 00:06:42.860]  其中有一個挑戰 或者有一個引誘
[00:06:42.860 --> 00:06:46.880]  就是我們知道當中有很多很有名的故事
[00:06:46.880 --> 00:06:48.820]  我們自己都很喜歡的故事
[00:06:48.820 --> 00:06:55.020]  比如說大衛和哥利亞、大衛放生掃羅的故事
[00:06:55.020 --> 00:06:57.240]  或者是烏薩在那裡
