
[00:00:00.000 --> 00:00:01.720]  請主主內平安
[00:00:01.720 --> 00:00:04.240]  今天是感恩節主日
[00:00:04.240 --> 00:00:07.640]  我想請大家和你身邊的人來說一聲
[00:00:07.640 --> 00:00:09.400]  哈利路亞 感謝神
[00:00:09.400 --> 00:00:17.800]  願我們在主的裡面
[00:00:17.800 --> 00:00:19.520]  常常的喜樂
[00:00:19.520 --> 00:00:21.320]  不住的禱告
[00:00:21.320 --> 00:00:22.920]  凡事謝恩
[00:00:22.920 --> 00:00:25.920]  因為這是神在基督耶穌裡面
[00:00:25.920 --> 00:00:28.760]  向我們所定的旨意
[00:00:29.040 --> 00:00:30.400]  讓我們禱告
[00:00:30.400 --> 00:00:34.880]  賜封聖恩典的父臣
[00:00:34.880 --> 00:00:38.440]  感謝你自己的愛眷和拯救
[00:00:38.440 --> 00:00:41.320]  感謝你的同在同行
[00:00:41.320 --> 00:00:42.480]  今天
[00:00:42.480 --> 00:00:45.280]  願你自己的話語開啟我們的心
[00:00:45.280 --> 00:00:49.120]  叫我們以信心一生的跟隨你
[00:00:49.120 --> 00:00:50.600]  我們誠心的禱告
[00:00:50.600 --> 00:00:52.640]  奉靠主耶蘇名祈求
[00:00:52.640 --> 00:00:53.440]  阿們
[00:01:00.040 --> 00:01:03.240]  有兩位探險的人
[00:01:03.240 --> 00:01:05.760]  在一個熱帶雨林裡面
[00:01:05.760 --> 00:01:07.240]  迷失了路
[00:01:07.240 --> 00:01:09.480]  在九個月以來
[00:01:09.480 --> 00:01:13.440]  他們不知道自己身在何處
[00:01:13.440 --> 00:01:16.040]  在那段時間
[00:01:16.040 --> 00:01:19.360]  他們多次想放棄生命
[00:01:19.360 --> 00:01:21.440]  但是最終
[00:01:21.440 --> 00:01:23.760]  他們被發現
[00:01:23.760 --> 00:01:27.120]  他們能夠逃出生天
[00:01:27.680 --> 00:01:29.640]  這一種的心情
[00:01:29.640 --> 00:01:32.520]  雖然在他們獲救的時候
[00:01:32.520 --> 00:01:36.480]  已經再沒有氣力來歡呼
[00:01:36.480 --> 00:01:40.400]  但是相信他們內心的歡欣
[00:01:40.400 --> 00:01:43.680]  實在是無法形容的
[00:01:43.680 --> 00:01:47.480]  我們未必有這樣的經歷
[00:01:47.480 --> 00:01:51.000]  但是我們的歡欣感謝
[00:01:51.000 --> 00:01:55.160]  可能就來自醫生告訴你
[00:01:55.160 --> 00:01:57.120]  或者你所愛的人
[00:01:57.120 --> 00:02:00.520]  他們手術成功
[00:02:00.520 --> 00:02:02.240]  會好轉
[00:02:02.240 --> 00:02:06.120]  也都可能因為某些的原因
[00:02:06.120 --> 00:02:09.520]  有個人一輩子的債務
[00:02:09.520 --> 00:02:13.000]  有人去替你來償還
[00:02:13.000 --> 00:02:16.920]  以後再不需要受到這個約束
[00:02:16.920 --> 00:02:20.480]  不再需要這個約束來歡呼
[00:02:20.480 --> 00:02:23.520]  以上這些的經歷
[00:02:23.520 --> 00:02:29.680]  我們就好像從掉進了一個驚濤駭浪的裏面
[00:02:29.680 --> 00:02:33.960]  無定向地去飄蕩
[00:02:33.960 --> 00:02:39.960]  最後我們找到一個避風港
[00:02:39.960 --> 00:02:43.000]  在這個避風港裏面
[00:02:43.000 --> 00:02:46.600]  我們的心被融化
[00:02:46.600 --> 00:02:49.320]  我們恢復知覺
[00:02:49.320 --> 00:02:52.960]  我們會感謝上天的眷顧
[00:02:52.960 --> 00:02:54.440]  以及憐憫
[00:02:54.440 --> 00:03:01.320]  今天我們從《路加福音》十七章十一至十九節
[00:03:01.320 --> 00:03:03.560]  看到另外的一幕
[00:03:03.560 --> 00:03:07.480]  就是耶穌治好十個麻風病人
[00:03:07.480 --> 00:03:09.440]  這段的經文
[00:03:09.440 --> 00:03:10.760]  這個的事蹟
[00:03:10.760 --> 00:03:12.680]  我們都比較熟悉
[00:03:12.680 --> 00:03:17.000]  但是讓我們想得深一點
[00:03:17.000 --> 00:03:21.920]  這個神蹟的故事是作者《路加》獨有的
