
[00:00:00.000 --> 00:00:08.000]  今早我們提到的訊息
[00:00:08.000 --> 00:00:13.000]  就是教會宣教領域的新開展
[00:00:13.000 --> 00:00:17.000]  這個真是在一年之次非常適合的題目
[00:00:17.000 --> 00:00:22.000]  因為正是我們2025年今天第一個主任
[00:00:22.000 --> 00:00:26.000]  開始我們新的一年 新的事工
[00:00:26.000 --> 00:00:30.000]  教會宣教的領域也能夠有一個新的開始
[00:00:30.000 --> 00:00:34.000]  這個正正配合我們去年一直以來
[00:00:34.000 --> 00:00:37.000]  去講《試圖行轉》的訊息
[00:00:37.000 --> 00:00:42.000]  剛剛去年就完結了頭十二章的訊息
[00:00:42.000 --> 00:00:46.000]  今天我們來看就是由第十三章開始
[00:00:46.000 --> 00:00:50.000]  今天要講的就是第一到第十二節這一段的經文
[00:00:50.000 --> 00:00:53.000]  我們知道全本的《試圖行轉》
[00:00:53.000 --> 00:00:58.000]  在第十三章這裡可以說是一個大的分水嶺
[00:00:58.000 --> 00:01:03.000]  原因就是頭十二章都是講到福音
[00:01:03.000 --> 00:01:07.000]  從耶路撒冷 猶太傳地 和撒瑪利亞
[00:01:07.000 --> 00:01:12.000]  一直從聖靈降臨教會開始的時候
[00:01:12.000 --> 00:01:15.000]  就已經不斷的擴展
[00:01:15.000 --> 00:01:20.000]  現在來到第十三章可以說是直到地極
[00:01:20.000 --> 00:01:24.000]  甚至是外邦的領域
[00:01:24.000 --> 00:01:27.000]  我們回看《試圖行轉》第一章的第八節
[00:01:27.000 --> 00:01:32.000]  可以說是全本聖經的 全卷聖經的一個金句
[00:01:32.000 --> 00:01:37.000]  也是很重要的一個分段的一個根據
[00:01:37.000 --> 00:01:41.000]  所以一章第八節就是神的應許
[00:01:41.000 --> 00:01:42.000]  是給教會的心儀
[00:01:42.000 --> 00:01:45.000]  我們一起再讀一讀這次很熟悉的經文 好不好
[00:01:45.000 --> 00:01:47.000]  《試圖行轉》一章八節請讀
[00:01:47.000 --> 00:01:50.000]  但聖靈降臨在你們身上
[00:01:50.000 --> 00:01:53.000]  你們就必得著能力
[00:01:53.000 --> 00:01:59.000]  並要在耶路撒冷 猶太傳地 和撒瑪利亞
[00:01:59.000 --> 00:02:03.000]  直到地極 作我的見證
[00:02:03.000 --> 00:02:06.000]  這個是主耶穌在升天之前
[00:02:06.000 --> 00:02:11.000]  向試圖 也就是向教會的信徒來吩咐
[00:02:11.000 --> 00:02:13.000]  也是一個應許
[00:02:13.000 --> 00:02:16.000]  就是當聖靈降臨教會開始的時候
[00:02:16.000 --> 00:02:19.000]  我們就會得著聖靈的力量
[00:02:19.000 --> 00:02:24.000]  為著呢 就要為耶穌做祂的見證
[00:02:24.000 --> 00:02:27.000]  將福音 將耶穌的見證
[00:02:27.000 --> 00:02:30.000]  不斷地從耶路撒冷 猶太傳地 和撒瑪利亞
[00:02:30.000 --> 00:02:34.000]  我們知道地理來說是一直擴展開去的
[00:02:34.000 --> 00:02:36.000]  直到地極
[00:02:36.000 --> 00:02:40.000]  所以我們看見從第一章到第七章
[00:02:40.000 --> 00:02:43.000]  教會就在耶路撒冷的見證
[00:02:43.000 --> 00:02:45.000]  當時耶路撒冷教會被建立起來
[00:02:45.000 --> 00:02:47.000]  接著就向周圍
[00:02:47.000 --> 00:02:52.000]  這個耶路撒冷這個地方的人民來做見證
[00:02:52.000 --> 00:02:54.000]  教會發揮很強的見證力
[00:02:54.000 --> 00:02:57.000]  當時的得救人數不斷加
[00:02:57.000 --> 00:03:00.000]  人們看到信徒的生活都羨慕
[00:03:00.000 --> 00:03:04.000]  接著我們看到在第八至十二章
[00:03:04.000 --> 00:03:08.000]  就是教會在猶太和撒瑪利亞見證
[00:03:08.000 --> 00:03:10.000]  所以他們擴展到猶太的抗爺
[00:03:10.000 --> 00:03:15.000]  後來到撒瑪利亞這個地方建立了撒瑪利亞當時的教會
[00:03:15.000 --> 00:03:17.000]  很多人也是蒙因信主
[00:03:17.000 --> 00:03:19.000]  教會的信徒得了安慰
[00:03:19.000 --> 00:03:25.000]  他們差遣這些彼得 約翰祿去兼顧他們
[00:03:25.000 --> 00:03:27.000]  接著我們看見
[00:03:27.000 --> 00:03:30.000]  就是今天我們開始一個新的領域
[00:03:30.000 --> 00:03:33.000]  所以由第十三章至到第二十八章
[00:03:33.000 --> 00:03:37.000]  全本的試唐傳最後一部分
[00:03:37.000 --> 00:03:43.000]  到第二十八章尾都是教會在地極的見證
[00:03:43.000 --> 00:03:45.000]  所以這個我們看到
[00:03:45.000 --> 00:03:49.000]  之前耶路撒冷是新約教會的中心
[00:03:49.000 --> 00:03:52.000]  彼得可以說是一個關鍵人物
[00:03:52.000 --> 00:03:54.000]  所以頭這十二章很多時候的焦點
[00:03:54.000 --> 00:03:57.000]  都是放在彼得他怎樣帶領
[00:03:57.000 --> 00:04:00.000]  講到三千人信主 五千人信主
[00:04:00.000 --> 00:04:02.000]  後來到哥利留
[00:04:02.000 --> 00:04:07.000]  我們看到一直從撒瑪利亞到該撒利亞
[00:04:07.000 --> 00:04:08.000]  哥利留的地方
[00:04:08.000 --> 00:04:12.000]  都是以彼得為記載的中心
[00:04:12.000 --> 00:04:14.000]  但是我們看到從第十一章
[00:04:14.000 --> 00:04:20.000]  有安提柯 人稱門徒為基督徒
[00:04:20.000 --> 00:04:22.000]  從哪裡開始呢
[00:04:22.000 --> 00:04:23.000]  從安提柯開始
[00:04:23.000 --> 00:04:25.000]  從這個安提柯
[00:04:25.000 --> 00:04:27.000]  這個安提柯其實有兩個
[00:04:27.000 --> 00:04:34.000]  指這個敘利亞的安提柯正在正面的地方
[00:04:34.000 --> 00:04:36.000]  這個敘利亞的安提柯
[00:04:36.000 --> 00:04:40.000]  是一個新的教會的中心點
[00:04:40.000 --> 00:04:45.000]  所以當時這個外邦的教會就開始建立了
[00:04:45.000 --> 00:04:47.000]  耶路撒冷教會慢慢式微了
[00:04:47.000 --> 00:04:50.000]  因為被逼迫 門徒就分散
[00:04:50.000 --> 00:04:54.000]  去到這個安提柯教會就重新建立起來
[00:04:54.000 --> 00:04:57.000]  在這裡開始我們發覺那個焦點
[00:04:57.000 --> 00:05:00.000]  就從彼得轉到士圖保羅
[00:05:00.000 --> 00:05:02.000]  所以由第十三章開始
[00:05:02.000 --> 00:05:04.000]  一直到二十八章可以說
[00:05:04.000 --> 00:05:08.000]  就是記載士圖保羅他的宣教的行程
[00:05:08.000 --> 00:05:11.000]  當然配合其他的一些同工
[00:05:11.000 --> 00:05:14.000]  來擴展神的角度
