
[00:00:00.000 --> 00:00:02.260]  今天我們所信的神
[00:00:02.260 --> 00:00:05.800]  是一位到如今都幫助我們的神
[00:00:05.800 --> 00:00:06.800]  Amen
[00:00:06.800 --> 00:00:10.160]  祂不但是在過去幫助我們
[00:00:10.160 --> 00:00:14.160]  我們不但指望祂將來也要來幫助我們
[00:00:14.160 --> 00:00:17.360]  祂更是我們現在的幫助
[00:00:17.360 --> 00:00:19.100]  在《出埃及記》裡面
[00:00:19.100 --> 00:00:22.800]  當神向摩西啟示祂的名字的時候
[00:00:22.800 --> 00:00:24.600]  神對摩西說
[00:00:24.600 --> 00:00:27.300]  我就叫自由擁有
[00:00:27.300 --> 00:00:30.700]  英文是用I am這兩個字
[00:00:30.700 --> 00:00:35.500]  意思就是神永遠是現在的神
[00:00:35.500 --> 00:00:39.100]  祂永遠是我們現在的幫助
[00:00:39.100 --> 00:00:40.200]  Amen
[00:00:40.200 --> 00:00:42.500]  你知道我常常聽見很多人
[00:00:42.500 --> 00:00:44.900]  常常在埋怨他們的人生
[00:00:44.900 --> 00:00:48.000]  常常充滿太多的絆腳石
[00:00:48.000 --> 00:00:51.500]  好像在生命當中阻力太多
[00:00:51.500 --> 00:00:53.700]  助力太少
[00:00:53.700 --> 00:00:57.300]  常常埋怨環境 埋怨別人
[00:00:57.300 --> 00:00:59.300]  但他們卻沒有看見
[00:00:59.300 --> 00:01:02.900]  神是一位能夠幫助我們的神
[00:01:02.900 --> 00:01:04.900]  多少說他們沒有認識到
[00:01:04.900 --> 00:01:07.400]  我們的神是在我們生命當中
[00:01:07.400 --> 00:01:09.500]  能夠將一切的阻力
[00:01:09.500 --> 00:01:11.700]  能夠化為助力的神
[00:01:11.700 --> 00:01:12.700]  Amen
[00:01:12.700 --> 00:01:15.100]  在今天這段聖經當中我們看見
[00:01:15.100 --> 00:01:17.100]  保羅所處的環境
[00:01:17.100 --> 00:01:19.500]  並不是一個很順利的環境
[00:01:19.500 --> 00:01:21.700]  事實上菲律賓書
[00:01:21.700 --> 00:01:24.300]  叫做一個監獄書信
[00:01:24.300 --> 00:01:27.700]  是保羅在監獄裡面所寫
[00:01:27.700 --> 00:01:29.700]  保羅之所以在監獄裡面
[00:01:29.700 --> 00:01:31.700]  並不是因為他犯了什麼罪
[00:01:31.700 --> 00:01:36.100]  只是單單因為他是傳祖的福音的緣故
[00:01:36.100 --> 00:01:39.900]  本來說真的他有足夠的理由
[00:01:39.900 --> 00:01:42.300]  來埋怨嘆息
[00:01:42.300 --> 00:01:44.300]  用一句中國話來說
[00:01:44.300 --> 00:01:47.300]  他真的有一點生不逢時不是嗎
[00:01:47.300 --> 00:01:50.500]  如果保羅是活在現今的世代
[00:01:50.500 --> 00:01:54.500]  他可能比比利·格里漢更加受尊崇
[00:01:54.500 --> 00:01:56.300]  但是雖然如此
[00:01:56.300 --> 00:02:00.300]  他一生當中他卻沒有為此而埋怨
[00:02:00.300 --> 00:02:03.900]  反而他在這裡說我所遭遇的事情
[00:02:03.900 --> 00:02:07.500]  是叫福音更加的興旺
[00:02:07.500 --> 00:02:09.900]  雖然環境不好
[00:02:09.900 --> 00:02:11.100]  不順利
[00:02:11.100 --> 00:02:15.700]  但是保羅卻能夠在每一個環境當中
[00:02:15.700 --> 00:02:18.500]  突破生命的阻力
[00:02:18.500 --> 00:02:20.700]  經歷神的幫助
[00:02:20.700 --> 00:02:22.900]  他的秘訣在哪裡呢
[00:02:22.900 --> 00:02:24.700]  今天早上從三方面跟大家來思想
[00:02:24.700 --> 00:02:26.300]  第一個
[00:02:26.300 --> 00:02:29.500]  我們看他純心順服神的帶領
[00:02:29.500 --> 00:02:34.300]  跟你們說純心順服神的帶領
[00:02:34.300 --> 00:02:38.700]  保羅在當時是處在一個受捆綁的環境
[00:02:38.700 --> 00:02:41.300]  但是他卻沒有埋怨
[00:02:41.300 --> 00:02:46.100]  他的心先順服在神的面前
[00:02:46.100 --> 00:02:49.100]  而且不是這種無可奈何的順服
[00:02:49.100 --> 00:02:52.700]  我相信是這種歡歡喜喜的順服
[00:02:52.700 --> 00:02:55.900]  而他的心一順服下來
[00:02:55.900 --> 00:02:59.500]  他就看見神的奇妙帶領
[00:02:59.500 --> 00:03:01.300]  跟你們說一順服就看見神的帶領
[00:03:01.300 --> 00:03:04.300]  跟他說來
[00:03:04.300 --> 00:03:06.300]  你知道在當時
[00:03:06.300 --> 00:03:09.500]  因為保羅是羅馬公民
[00:03:09.500 --> 00:03:13.700]  所以他是可以上訴到凱撒大帝那裡
