
[00:00:00.000 --> 00:00:01.680]  我仍然深信在人生裡
[00:00:01.680 --> 00:00:02.720]  我們作為基督徒
[00:00:02.720 --> 00:00:05.600]  我們不會免役任何的挑戰
[00:00:05.600 --> 00:00:07.520]  不會免役任何的難處
[00:00:07.520 --> 00:00:08.960]  我們很深信在人生路上
[00:00:08.960 --> 00:00:10.800]  我們很多時候都會有高
[00:00:10.800 --> 00:00:12.080]  很多時候會有低
[00:00:12.080 --> 00:00:14.560]  我們很多時候都會有不同的經歷
[00:00:14.560 --> 00:00:16.960]  有時候我們都會問一個問題
[00:00:16.960 --> 00:00:20.320]  神啊!你為什麼沒有聽我祈禱?
[00:00:20.320 --> 00:00:24.720]  神啊!為什麼你今天仍然是默然不語?
[00:00:24.720 --> 00:00:25.920]  這是我們很多時候
[00:00:25.920 --> 00:00:27.040]  我們作為基督徒
[00:00:27.040 --> 00:00:30.000]  都會有這種思想
[00:00:30.000 --> 00:00:32.160]  甚至有這種回應
[00:00:32.160 --> 00:00:34.400]  但上帝給我們今天一本書
[00:00:34.400 --> 00:00:37.440]  這本書就是《以詩帖記》
[00:00:37.440 --> 00:00:39.120]  一個宮廷戲
[00:00:39.120 --> 00:00:40.320]  一個同恩換卷
[00:00:40.320 --> 00:00:42.240]  沒有大分別的一個宮廷戲
[00:00:42.240 --> 00:00:46.160]  但發生在馬代波斯的一個國家裡
[00:00:46.160 --> 00:00:48.080]  一個猶太的孤女
[00:00:48.080 --> 00:00:51.200]  是能夠在馬代波斯國裡
[00:00:51.200 --> 00:00:52.800]  成為一個皇后
[00:00:52.800 --> 00:00:53.840]  其實在當時來說
[00:00:53.840 --> 00:00:56.160]  是絕對沒有可能的事
[00:00:56.160 --> 00:00:58.560]  但因為上帝無形的手
[00:00:58.560 --> 00:01:01.520]  一直在整個民族裡
[00:01:01.520 --> 00:01:03.440]  祂作祂的帶領
[00:01:03.440 --> 00:01:06.240]  以至一個孤女能夠成為
[00:01:06.240 --> 00:01:10.560]  馬代波斯的阿哈徐老王的一個皇后
[00:01:10.560 --> 00:01:15.520]  縱然這本書沒有出現過「神」這個字
[00:01:15.520 --> 00:01:17.760]  縱然這本書有學者說
[00:01:17.760 --> 00:01:22.240]  沒有出現過任何宗教的行為
[00:01:22.240 --> 00:01:23.760]  縱然這個禁食
[00:01:23.760 --> 00:01:27.600]  有很多學者都覺得只是一個普通禁食
[00:01:27.600 --> 00:01:30.400]  跟祈禱沒有任何關係
[00:01:30.400 --> 00:01:31.840]  就算是對也好
[00:01:31.840 --> 00:01:37.600]  為何一卷沒有「神」出現過一個字的一卷書
[00:01:37.600 --> 00:01:42.960]  甚至沒有任何一個信仰行為的一卷書
[00:01:42.960 --> 00:01:45.200]  上帝卻榮讓了
[00:01:45.200 --> 00:01:48.800]  擺在聖經裡的正典
[00:01:48.800 --> 00:01:52.240]  66卷書的正典當中的一卷書
[00:01:52.240 --> 00:01:55.280]  對我養恆的知識我只能夠猜它
[00:01:55.280 --> 00:01:56.560]  我的猜就是說
[00:01:56.560 --> 00:02:00.560]  我相信這正正是反映在人生路上
[00:02:00.560 --> 00:02:02.240]  我們很多時候一樣
[00:02:02.240 --> 00:02:03.760]  我們看不到「神」
[00:02:03.760 --> 00:02:05.280]  很多時候我們回到神的家
[00:02:05.280 --> 00:02:06.240]  我們敬拜
[00:02:06.240 --> 00:02:08.640]  我們會覺得我都感受不到「神」
[00:02:08.640 --> 00:02:09.440]  我們會覺得
[00:02:09.440 --> 00:02:12.160]  今天「神」好像沒有再跟我說話
[00:02:12.160 --> 00:02:13.680]  甚至今天我在難處當中
[00:02:13.680 --> 00:02:14.480]  我面對困難
[00:02:14.480 --> 00:02:15.280]  無論家庭
[00:02:15.280 --> 00:02:15.920]  無論婚姻
[00:02:15.920 --> 00:02:16.720]  無論小孩
[00:02:16.720 --> 00:02:17.760]  我教下一代
[00:02:17.760 --> 00:02:19.760]  教下一代教到我很痛苦的那一邊
[00:02:19.760 --> 00:02:23.360]  為什麼我的下一代仍然好像不相信耶穌
[00:02:23.360 --> 00:02:26.400]  我們可能有很多很多這些問題
[00:02:26.400 --> 00:02:28.320]  「神」在不在?
[00:02:28.320 --> 00:02:29.920]  但我想跟大家說
[00:02:29.920 --> 00:02:31.200]  我們的信仰
[00:02:31.200 --> 00:02:34.320]  其中一個核心的信念
[00:02:34.320 --> 00:02:37.440]  我們的「神」是無所不在的「神」
[00:02:37.440 --> 00:02:38.720]  在不在?
[00:02:38.720 --> 00:02:39.920]  「神」在不在?
[00:02:39.920 --> 00:02:42.880]  我們敢不敢受到「神」在不在?
[00:02:42.880 --> 00:02:44.720]  其實不代表「神」不在
[00:02:44.720 --> 00:02:46.160]  我們的信仰「神」在不在
[00:02:46.160 --> 00:02:47.600]  就算有時候我們沒有去祈禱
[00:02:47.600 --> 00:02:50.880]  我們沒有做任何宗教的禮儀
[00:02:50.880 --> 00:02:53.680]  甚至我們唱歌未必起敬
[00:02:53.680 --> 00:02:55.680]  不代表「神」不在
[00:02:55.680 --> 00:02:56.640]  「神」在
[00:02:56.640 --> 00:02:59.840]  所以當我們再用這首詩歌去唱第二節的時候
[00:02:59.840 --> 00:03:02.400]  我們很深信人生會有低迷
[00:03:02.400 --> 00:03:04.000]  但我們在低迷那邊
[00:03:04.000 --> 00:03:06.240]  我們最緊要抬起我們的頭
[00:03:06.240 --> 00:03:10.560]  去看回我們的耶穌這個「真光」
[00:03:10.560 --> 00:03:11.360]  所以弟兄姊妹
[00:03:11.360 --> 00:03:12.080]  第二節
[00:03:12.080 --> 00:03:13.600]  讓我們一起去敬拜主的時候
[00:03:13.600 --> 00:03:14.720]  我們彼此鼓勵
[00:03:14.720 --> 00:03:15.920]  因為耶穌在
[00:03:15.920 --> 00:03:16.960]  耶穌在這個地方
[00:03:16.960 --> 00:03:18.320]  我們的耶穌在
[00:03:18.320 --> 00:03:18.960]  親愛的弟兄姊妹
[00:03:18.960 --> 00:03:19.680]  再一次感謝祢
[00:03:19.680 --> 00:03:22.800]  讓我們能夠看到我們的「神」
[00:03:22.800 --> 00:03:24.400]  祢的無形的手
[00:03:24.400 --> 00:03:26.560]  一個無法看見的手
[00:03:26.560 --> 00:03:29.200]  祢仍然拖帶著以斯帖
[00:03:29.200 --> 00:03:31.360]  拖帶著整個民族
[00:03:31.360 --> 00:03:34.000]  在一個滅族的邊緣裏面
[00:03:34.000 --> 00:03:37.280]  祢仍然顯明了祢自己的信實
[00:03:37.280 --> 00:03:38.960]  所以求主繼續幫助我們
[00:03:38.960 --> 00:03:41.440]  讓我們今天帶著任何的憂慮
[00:03:41.440 --> 00:03:42.720]  任何的難處
[00:03:42.720 --> 00:03:44.320]  任何的困難
[00:03:44.320 --> 00:03:45.600]  進入這個殿
[00:03:45.600 --> 00:03:46.960]  下次奉祢的命
[00:03:46.960 --> 00:03:47.840]  求祢自己
[00:03:47.840 --> 00:03:49.440]  讓我們每一個弟兄姊妹
[00:03:49.440 --> 00:03:51.120]  離開這個殿的時候
[00:03:51.120 --> 00:03:52.720]  我們是帶著感恩
[00:03:52.720 --> 00:03:53.760]  帶著喜樂
[00:03:53.760 --> 00:03:55.200]  帶著盼望
[00:03:55.200 --> 00:03:56.640]  因為我們的「神」
[00:03:56.640 --> 00:03:58.080]  是一位信實的「神」
[00:03:58.080 --> 00:03:59.520]  求祢與我們同在
[00:03:59.520 --> 00:04:00.720]  聽我們祈禱
[00:04:00.720 --> 00:04:03.520]  奉我救主耶穌基督得勝的命求
[00:04:03.520 --> 00:04:04.560]  Amen
[00:04:04.560 --> 00:04:07.680]  聽清楚了嗎?
[00:04:07.680 --> 00:04:09.600]  一卷沒有出現過「神」這個字
[00:04:09.600 --> 00:04:10.800]  一卷書
[00:04:10.800 --> 00:04:14.320]  一卷可能沒有任何的宗教行動的
[00:04:14.320 --> 00:04:15.920]  或者行為的書
[00:04:15.920 --> 00:04:16.880]  耳書帖
[00:04:16.880 --> 00:04:18.800]  一個是在耶利米時代
[00:04:18.800 --> 00:04:20.240]  去到尾聲的時候
[00:04:20.240 --> 00:04:23.520]  一群猶太人被擄到巴比倫
[00:04:23.520 --> 00:04:25.520]  一群猶太人
[00:04:25.520 --> 00:04:28.480]  但是耶利米已經有了一個預言
[00:04:28.480 --> 00:04:29.920]  就是他們被擄
[00:04:29.920 --> 00:04:31.040]  七十年之後
[00:04:31.040 --> 00:04:34.080]  一定會歸回耶路撒冷
[00:04:34.080 --> 00:04:35.600]  在七十年當中
[00:04:35.600 --> 00:04:39.200]  巴比倫被馬代波斯所滅
[00:04:39.200 --> 00:04:42.400]  所以當猶太人回歸到耶路撒冷的時候
[00:04:42.400 --> 00:04:46.240]  已經在馬代波斯國的體制下
[00:04:46.240 --> 00:04:48.960]  他們回歸到耶路撒冷
[00:04:48.960 --> 00:04:51.200]  但當時回歸到耶路撒冷的猶太人
[00:04:51.200 --> 00:04:54.160]  並不是所有被擄的猶太人
[00:04:54.160 --> 00:04:56.880]  有一群猶太人仍然住在
