
[00:00:00.000 --> 00:00:04.000]  香港人一般來講可能不是玩很多戶外活動
[00:00:04.000 --> 00:00:07.000]  我想問下你有幾多人玩過獨木舟?
[00:00:07.000 --> 00:00:09.000]  都有啲喎
[00:00:09.000 --> 00:00:10.000]  都唔容易玩
[00:00:10.000 --> 00:00:12.000]  我自己係香港就冇咁玩過
[00:00:12.000 --> 00:00:14.000]  但係我係美國嘅時候
[00:00:14.000 --> 00:00:16.000]  讀神學館嘅時候試過兩次
[00:00:16.000 --> 00:00:18.000]  點樣呢?就係我哋每年呢
[00:00:18.000 --> 00:00:20.000]  我哋差全部都會
[00:00:20.000 --> 00:00:22.000]  喺神學院入面都會搞一個
[00:00:22.000 --> 00:00:23.000]  獨木舟既旅行
[00:00:23.000 --> 00:00:24.000]  咁點解差全部呢?
[00:00:24.000 --> 00:00:26.000]  其實冇乜關係嘅
[00:00:26.000 --> 00:00:28.000]  總之就係嗰個老師
[00:00:28.000 --> 00:00:30.000]  去玩獨木舟咁樣
[00:00:30.000 --> 00:00:32.000]  咁我就參加過兩次
[00:00:32.000 --> 00:00:34.000]  一次就係我喺學生時期呢
[00:00:34.000 --> 00:00:36.000]  我嗌埋我細佬佢嗰時係讀緊神學咁一齊去
[00:00:36.000 --> 00:00:38.000]  另一次就係我太太讀神學嘅時候呢
[00:00:38.000 --> 00:00:40.000]  咁我作為配偶一齊去
[00:00:40.000 --> 00:00:42.000]  咁呢
[00:00:42.000 --> 00:00:44.000]  我會話呢相隔
[00:00:44.000 --> 00:00:46.000]  即係兩次玩嘅時候
[00:00:46.000 --> 00:00:48.000]  相隔幾年嘅但係呢
[00:00:48.000 --> 00:00:50.000]  我玩獨木舟係一貫嘅作風
[00:00:50.000 --> 00:00:52.000]  係好平穩嘅
[00:00:52.000 --> 00:00:54.000]  兩次都係冇進步嘅
[00:00:54.000 --> 00:00:56.000]  都係行唔到直線嘅
[00:00:56.000 --> 00:00:58.000]  如果你玩過你知
[00:00:58.000 --> 00:01:00.000]  獨木舟係你一邊咁樣撐
[00:01:00.000 --> 00:01:02.000]  撐咁上行你呢邊撐嘅嘛
[00:01:02.000 --> 00:01:04.000]  咁你撐嘅時候呢
[00:01:04.000 --> 00:01:06.000]  係應該你向後撥嘅時候
[00:01:06.000 --> 00:01:08.000]  你再向側推一推
[00:01:08.000 --> 00:01:10.000]  因為如果唔係呢架艇就會向歪架啦
[00:01:10.000 --> 00:01:12.000]  咁你向後推一推就係
[00:01:12.000 --> 00:01:14.000]  推翻正佢
[00:01:14.000 --> 00:01:16.000]  咁我就成日都做唔到呢一下
[00:01:16.000 --> 00:01:18.000]  所以我撐左邊 咦 去左邊喎
[00:01:18.000 --> 00:01:20.000]  撐左邊 咦 去左邊喎
[00:01:20.000 --> 00:01:22.000]  咁我就俾我細佬笑我係度射行緊咁樣
[00:01:22.000 --> 00:01:24.000]  但係
[00:01:24.000 --> 00:01:26.000]  我唔係射行 我嗰個係凌波微步
[00:01:26.000 --> 00:01:28.000]  ok 咁實在唔係行緊直線
[00:01:28.000 --> 00:01:30.000]  咁實在唔係行緊直線
[00:01:30.000 --> 00:01:32.000]  我哋玩過呢係一個好
[00:01:32.000 --> 00:01:34.000]  即係啲水流呢係好慢嘅
[00:01:34.000 --> 00:01:36.000]  水深呢係
[00:01:36.000 --> 00:01:38.000]  即係冇一個位係過腰嘅
[00:01:38.000 --> 00:01:40.000]  通常呢係膝頭高咁上下嘅啫
[00:01:40.000 --> 00:01:42.000]  咁總之唔會擱淺 又唔會浸親
[00:01:42.000 --> 00:01:44.000]  好安全咁樣
[00:01:44.000 --> 00:01:46.000]  咁其實好舒服嘅 因為咁上下呢
[00:01:46.000 --> 00:01:48.000]  咁就可以 我哋就拍低埋側邊
[00:01:48.000 --> 00:01:50.000]  咁大家各自備
[00:01:50.000 --> 00:01:52.000]  自備午餐
[00:01:52.000 --> 00:01:54.000]  跟住流水充充
[00:01:54.000 --> 00:01:56.000]  喺棵樹下面 食住午餐
[00:01:56.000 --> 00:01:58.000]  跟住有個神海鷹老師
[00:01:58.000 --> 00:02:00.000]  分享下佢自己嘅故事咁樣
[00:02:00.000 --> 00:02:02.000]  係好精彩嘅
[00:02:02.000 --> 00:02:04.000]  咁我想講一陣我哋拍埋岸
[00:02:04.000 --> 00:02:06.000]  嘅時候呢 就大家都係
[00:02:06.000 --> 00:02:08.000]  即係拉個艇上岸 咁就坐低
[00:02:08.000 --> 00:02:10.000]  咗去傾 有啲人見到個水流
[00:02:10.000 --> 00:02:12.000]  唔係好急 咁就擺喺度
[00:02:12.000 --> 00:02:14.000]  咁就ok 咁就唔ok
[00:02:14.000 --> 00:02:16.000]  雖然水流唔係好急
[00:02:16.000 --> 00:02:18.000]  但係你行開耐咗
[00:02:18.000 --> 00:02:20.000]  慢慢慢慢個艇呢
[00:02:20.000 --> 00:02:22.000]  就會俾好唔急個水流呢
[00:02:22.000 --> 00:02:24.000]  咻~咻~咻~咁就飄咗出去
[00:02:24.000 --> 00:02:26.000]  咁樣 咁出嚟個艇
[00:02:26.000 --> 00:02:28.000]  都唔係太難嘅 但係
[00:02:28.000 --> 00:02:30.000]  俾我見到件事就係乜嘢呢
[00:02:30.000 --> 00:02:32.000]  好多時候呢
[00:02:32.000 --> 00:02:34.000]  大風大浪呢
[00:02:34.000 --> 00:02:36.000]  係唔會出事嘅
[00:02:36.000 --> 00:02:38.000]  係你覺得好安全好平穩
[00:02:38.000 --> 00:02:40.000]  嘅時候呢 個暗湧呢
[00:02:40.000 --> 00:02:42.000]  先至有問題 但我明
[00:02:42.000 --> 00:02:44.000]  知我行唔到直線嘅
[00:02:44.000 --> 00:02:46.000]  只知道呢我會好
[00:02:46.000 --> 00:02:48.000]  小心 我個艇唔會反嘅
[00:02:48.000 --> 00:02:50.000]  但係就係當你諗住
[00:02:50.000 --> 00:02:52.000]  你拍咗埋
[00:02:52.000 --> 00:02:54.000]  睇埋邊啲水流好唔急速
[00:02:54.000 --> 00:02:56.000]  你好多時間慢慢坐喺度傾
[00:02:56.000 --> 00:02:58.000]  計嘅時候 你唔覺唔覺
[00:02:58.000 --> 00:03:00.000]  你個船飄走咗你都唔知到
[00:03:00.000 --> 00:03:02.000]  聽知唔會
[00:03:02.000 --> 00:03:04.000]  喺我哋嘅純良生命會唔會
[00:03:04.000 --> 00:03:06.000]  都有咁嘅危機呢
[00:03:06.000 --> 00:03:08.000]  無論係作為一個人
[00:03:08.000 --> 00:03:10.000]  作為一個群體
[00:03:10.000 --> 00:03:12.000]  大風大浪係
[00:03:12.000 --> 00:03:14.000]  冚我哋唔諗嘅
