
[00:00:00.000 --> 00:00:04.280]  聽到之前 我也想再次和大家祈禱
[00:00:04.280 --> 00:00:05.280]  我們低頭祈禱
[00:00:05.280 --> 00:00:10.320]  主啊 我們這一刻來到祢面前
[00:00:10.320 --> 00:00:13.700]  可能我們每個人的心裏面都有不同的記掛
[00:00:13.700 --> 00:00:17.000]  我們心裏面都有不同的感受、情緒
[00:00:17.000 --> 00:00:21.400]  但主啊 來到這裏 我們將這一切的心裏面的心事
[00:00:21.400 --> 00:00:23.280]  我們都傾倒在祢的腳前
[00:00:23.280 --> 00:00:25.680]  願祢親自來為我們擔當
[00:00:25.680 --> 00:00:28.040]  主啊 正正在這個亂世裏面
[00:00:28.040 --> 00:00:30.840]  我們更加需要來找緊祢的話
[00:00:30.840 --> 00:00:33.800]  求祢的道直達我們的心坎裏面
[00:00:33.800 --> 00:00:35.920]  以致我們因祢的說話
[00:00:35.920 --> 00:00:38.640]  我們的心裏面得著安慰、得著鼓勵
[00:00:38.640 --> 00:00:40.760]  因為唯有祢的話永遠立定
[00:00:40.760 --> 00:00:43.120]  唯有祢是這位天地的主
[00:00:43.120 --> 00:00:45.400]  唯有祢是這個昔在今在
[00:00:45.400 --> 00:00:47.240]  以後永在不變的主
[00:00:47.240 --> 00:00:49.520]  我們仰望祢 求祢與我們同在
[00:00:49.520 --> 00:00:53.560]  讓我們專心的來聽得入祢自己的說話
[00:00:53.560 --> 00:00:55.640]  又叫我們的生命都得著更新
[00:00:55.640 --> 00:00:57.600]  我們祈禱 奉耶穌基督名求
[00:00:57.600 --> 00:00:59.600]  阿彌陀佛
[00:00:59.600 --> 00:01:06.760]  話說在中世紀的時候
[00:01:06.760 --> 00:01:09.000]  英格蘭有一個年輕人
[00:01:09.000 --> 00:01:10.840]  他非常愛主
[00:01:10.840 --> 00:01:14.440]  當他見到教會裏面有些人的罪惡的時候
[00:01:14.440 --> 00:01:18.480]  和又見到那些傳道人有些缺點的時候
[00:01:18.480 --> 00:01:19.760]  他就發誓
[00:01:19.760 --> 00:01:22.000]  我要離開這間教會
[00:01:22.000 --> 00:01:24.960]  於是他就走遍了整個英格蘭
[00:01:24.960 --> 00:01:29.000]  希望去找一間純正的教會聚會
[00:01:29.000 --> 00:01:32.040]  於是他就一間一間去找
[00:01:32.040 --> 00:01:34.480]  幾乎走遍了整個英格蘭
[00:01:34.480 --> 00:01:38.640]  但都沒有找到一間他認為純正的教會
[00:01:38.640 --> 00:01:41.000]  有一天他走著走著
[00:01:41.000 --> 00:01:42.520]  就來到一個地方
[00:01:42.520 --> 00:01:44.800]  他就路過一間教堂
[00:01:44.800 --> 00:01:46.960]  他就進去看看
[00:01:46.960 --> 00:01:50.280]  他一進去就喜歡了這間教會
[00:01:50.280 --> 00:01:53.680]  於是他就坐下來聽牧師講道
[00:01:53.680 --> 00:01:55.240]  他聽著聽著覺得不錯
[00:01:55.240 --> 00:01:57.560]  這個牧師講得挺好
[00:01:57.560 --> 00:01:59.320]  聚會幾次之後
[00:01:59.320 --> 00:02:01.760]  他就說我要和牧師談一談
[00:02:01.760 --> 00:02:04.960]  我要留下來加入這個教會才行
[00:02:04.960 --> 00:02:06.840]  他就告訴牧師
[00:02:06.840 --> 00:02:07.880]  牧師牧師
[00:02:07.880 --> 00:02:10.040]  我幾乎走遍了整個英格蘭
[00:02:10.040 --> 00:02:11.840]  我今天終於來到這裏
[00:02:11.840 --> 00:02:15.040]  找到一間完美的教會了
[00:02:15.040 --> 00:02:17.520]  牧師就對他講
[00:02:17.520 --> 00:02:19.200]  這個世上這個地上
[00:02:19.200 --> 00:02:21.880]  根本不可能有一間完美的教會
[00:02:21.880 --> 00:02:23.320]  連一間都沒有
[00:02:23.320 --> 00:02:25.840]  因為我們每一個人都不完美
[00:02:25.840 --> 00:02:29.320]  完美的教會只會在天上找到
[00:02:29.320 --> 00:02:31.320]  或者退一步地說
[00:02:31.320 --> 00:02:34.000]  就算這間教會是完美的
[00:02:34.000 --> 00:02:36.600]  但都會因著你加入了之後
[00:02:36.600 --> 00:02:39.800]  就變得不完美了
[00:02:39.800 --> 00:02:44.640]  所以地上我們有沒有完美的教會
[00:02:44.640 --> 00:02:48.520]  在座當中有沒有想找一個完美的教會
[00:02:48.520 --> 00:02:50.280]  我想我們一輩子都找不到
[00:02:50.280 --> 00:02:53.360]  地上沒有一個完美的教會
[00:02:53.360 --> 00:02:56.840]  就算是很興旺的初期教會時代
[00:02:56.840 --> 00:02:59.400]  都沒有完美的教會
[00:02:59.400 --> 00:03:02.040]  在今天我們讀的這段經文
[00:03:02.040 --> 00:03:03.760]  《使徒行傳》第六章
[00:03:03.760 --> 00:03:05.440]  在之前的一章
[00:03:05.440 --> 00:03:06.800]  其實你就發現
[00:03:06.800 --> 00:03:09.360]  當時有一對門徒的夫婦
[00:03:09.360 --> 00:03:11.760]  他們犯了欺控聖靈的罪
