
[00:00:00.000 --> 00:00:03.000]  各位同工 各位在網上參與敬拜的
[00:00:03.000 --> 00:00:05.000]  請姐妹平安
[00:00:05.000 --> 00:00:11.000]  第一次代表教會在今年第一季的主日裡
[00:00:11.000 --> 00:00:16.000]  去恭祝大家新年進步 滿有神的恩典
[00:00:16.000 --> 00:00:22.000]  在一月一日時也說了一個新年崇拜的題目
[00:00:22.000 --> 00:00:25.000]  就是我們今年的主題
[00:00:25.000 --> 00:00:28.000]  教會的主題「同行牧養」
[00:00:28.000 --> 00:00:33.000]  也用了耶穌基督說我是一個好牧人的比喻
[00:00:33.000 --> 00:00:35.000]  跟大家分享
[00:00:35.000 --> 00:00:40.000]  因為這個題目
[00:00:40.000 --> 00:00:43.000]  我們也希望在這方面繼續跟大家思想
[00:00:43.000 --> 00:00:46.000]  今年的主題「同行牧養」
[00:00:46.000 --> 00:00:49.000]  我們也繼續思想牧養這一方面
[00:00:49.000 --> 00:00:56.000]  牧養主要是說牧羊人和羊群的關係
[00:00:56.000 --> 00:01:00.000]  所以在新年崇拜
[00:01:00.000 --> 00:01:03.000]  我也說了很多關於我們教牧同工
[00:01:03.000 --> 00:01:07.000]  我們在新的牧養方向
[00:01:07.000 --> 00:01:09.000]  新的一些安排
[00:01:09.000 --> 00:01:11.000]  也有很多的分享
[00:01:11.000 --> 00:01:15.000]  說到我們也很樂意成為一個好牧人
[00:01:15.000 --> 00:01:17.000]  成為我們的目標
[00:01:17.000 --> 00:01:19.000]  今天想跟大家說一個
[00:01:19.000 --> 00:01:21.000]  剛才讀那段經文
[00:01:21.000 --> 00:01:28.000]  十章七到十節說到耶穌是羊的門
[00:01:28.000 --> 00:01:31.000]  這一方面我也很希望跟大家分享
[00:01:31.000 --> 00:01:35.000]  我們的大牧者主耶穌基督
[00:01:35.000 --> 00:01:41.000]  和我們的關係是怎樣
[00:01:41.000 --> 00:01:45.000]  當然耶穌純粹是以好牧人的形象
[00:01:45.000 --> 00:01:47.000]  能夠給我們體會
[00:01:47.000 --> 00:01:49.000]  讓我們內心很渴望
[00:01:49.000 --> 00:01:54.000]  真的跟隨大牧者這個好牧人
[00:01:54.000 --> 00:01:58.000]  這裡說到羊的門
[00:01:58.000 --> 00:02:00.000]  我就看到一些書籍
[00:02:00.000 --> 00:02:03.000]  說到當時巴斯坦他們養羊
[00:02:03.000 --> 00:02:05.000]  為什麼會有羊的門呢?
[00:02:05.000 --> 00:02:07.000]  什麼叫做羊的門呢?
[00:02:07.000 --> 00:02:09.000]  因為提到羊群
[00:02:09.000 --> 00:02:13.000]  有時候在晚上
[00:02:13.000 --> 00:02:16.000]  未必會回到自己的村落裡
[00:02:16.000 --> 00:02:19.000]  因為以色列很多尤其是散羊
[00:02:19.000 --> 00:02:23.000]  散居在一個山頭一個山頭這樣去牧羊
[00:02:23.000 --> 00:02:25.000]  牠不會今天出來
[00:02:25.000 --> 00:02:27.000]  然後又回到自己的地方
[00:02:27.000 --> 00:02:29.000]  可能一路很長的時間
[00:02:29.000 --> 00:02:31.000]  一個山頭去到第一個山頭
[00:02:31.000 --> 00:02:36.000]  一路很廣闊的牧羊的方法
[00:02:36.000 --> 00:02:37.000]  叫做散羊
[00:02:37.000 --> 00:02:39.000]  不是固定在一個位置裡
[00:02:39.000 --> 00:02:41.000]  牠們可以在不同的地方
[00:02:41.000 --> 00:02:43.000]  吃到更加新鮮的草
[00:02:43.000 --> 00:02:46.000]  但是到了晚上
[00:02:46.000 --> 00:02:51.000]  有時候有一些圍了的牆
[00:02:51.000 --> 00:02:56.000]  可以讓牧羊人進到羊圈裡
[00:02:56.000 --> 00:02:58.000]  可以去逗留
[00:02:58.000 --> 00:03:00.000]  這些好像公用公家
[00:03:00.000 --> 00:03:03.000]  今天我們像停車場一樣
[00:03:03.000 --> 00:03:05.000]  可以泊車的地方
[00:03:05.000 --> 00:03:08.000]  羊進去裡面之後
[00:03:08.000 --> 00:03:12.000]  因為那裡沒有門
