
[00:00:00.000 --> 00:00:03.560]  很高興能夠在這裡跟大家分享整個話語
[00:00:03.560 --> 00:00:04.880]  今天我們來到的是
[00:00:04.880 --> 00:00:08.480]  「你怎樣看待耶穌」講道系列的第五課
[00:00:08.480 --> 00:00:12.800]  我想用一節經文來開始今天的講道
[00:00:12.800 --> 00:00:17.600]  這節經文是哥羅西書的二章九到十節
[00:00:17.600 --> 00:00:20.920]  哥羅西書二章九到十節
[00:00:20.920 --> 00:00:24.000]  那篇話:「因為神本性一切的豐盛
[00:00:24.000 --> 00:00:27.680]  都有形有體地居住在基督裡面
[00:00:27.680 --> 00:00:31.400]  你們在祂裡面也得了豐盛
[00:00:31.400 --> 00:00:35.560]  祂是各樣執政掌權者的元首」
[00:00:35.560 --> 00:00:37.200]  這節經文跟我們講了
[00:00:37.200 --> 00:00:41.960]  原來神一切的豐盛都藏在耶穌基督裡面
[00:00:41.960 --> 00:00:43.600]  所以神一切的好東西
[00:00:43.600 --> 00:00:46.320]  一切的祝福 一切所有的東西
[00:00:46.320 --> 00:00:48.360]  都藏在主耶穌基督裡面
[00:00:48.360 --> 00:00:50.640]  所以當我們信著之後
[00:00:50.640 --> 00:00:53.880]  你能否經歷到一些很豐盛的生命
[00:00:53.880 --> 00:00:55.840]  就看你用什麼態度
[00:00:55.840 --> 00:00:59.320]  用什麼方式來跟主耶穌相處
[00:00:59.320 --> 00:01:02.040]  所以重點是在主耶穌那裡
[00:01:02.040 --> 00:01:04.880]  有很多人信了主很多年
[00:01:04.880 --> 00:01:08.320]  但從來沒有經歷過豐盛的生命
[00:01:08.320 --> 00:01:09.360]  你信了祂很多年
[00:01:09.360 --> 00:01:11.360]  祈禱神從來沒有聽過
[00:01:11.360 --> 00:01:13.800]  你讀經從來沒有感動
[00:01:13.800 --> 00:01:15.000]  你聽到又沒有感動
[00:01:15.000 --> 00:01:17.720]  唱詩又進入不到敬拜
[00:01:17.720 --> 00:01:21.520]  很多很多未曾經歷過聖經
[00:01:21.520 --> 00:01:23.760]  所以應許那種豐盛的生命
[00:01:23.760 --> 00:01:24.920]  那重點在哪裡呢
[00:01:24.920 --> 00:01:27.800]  重點可能是你跟主耶穌的相處
[00:01:27.800 --> 00:01:29.680]  或者你對主耶穌的態度
[00:01:29.680 --> 00:01:31.200]  可能出現了問題
[00:01:31.200 --> 00:01:34.120]  所以在這個講道系列
[00:01:34.120 --> 00:01:37.200]  我們會將重點放在主耶穌的身上
[00:01:37.200 --> 00:01:39.520]  因為前面整個系列
[00:01:39.520 --> 00:01:42.120]  我都沒有機會在這裡跟大家分享
[00:01:42.120 --> 00:01:45.920]  所以有些東西我想特別提的是
[00:01:45.920 --> 00:01:50.480]  很多時候在前幾堂的講道裡面
[00:01:50.480 --> 00:01:51.680]  我都有提過
[00:01:51.680 --> 00:01:55.880]  其中一堂講到人們拒絕主耶穌的時候
[00:01:55.880 --> 00:01:57.320]  我特別提到
[00:01:57.320 --> 00:01:59.560]  當年為什麼人們會拒絕主耶穌呢
[00:01:59.560 --> 00:02:00.800]  大家複習一下
[00:02:00.800 --> 00:02:03.520]  其中一個最大的原因
[00:02:03.520 --> 00:02:07.000]  就是當他們見到主耶穌的時候
[00:02:07.000 --> 00:02:10.320]  他們不認識到祂原來是神
[00:02:10.320 --> 00:02:13.400]  我們只是覺得祂是一個很偉大的人
[00:02:13.400 --> 00:02:16.360]  但我們不覺得祂原來是神
[00:02:16.360 --> 00:02:17.040]  為什麼呢
[00:02:17.040 --> 00:02:18.640]  因為主耶穌來到世上的時候
[00:02:18.640 --> 00:02:23.240]  祂的出現形象反差太大了
[00:02:23.240 --> 00:02:25.520]  因為根據聖經所說
[00:02:25.520 --> 00:02:27.760]  主耶穌應該不帥的
[00:02:27.760 --> 00:02:30.360]  耶穌大叔說祂沒有佳容美貌
[00:02:30.360 --> 00:02:33.120]  使我們看到就很想去尊敬祂
[00:02:33.120 --> 00:02:34.880]  很想去跟祂
[00:02:34.880 --> 00:02:38.120]  你知道外表反差太大
[00:02:38.120 --> 00:02:42.320]  有時候就很難去接受這樣一個人
[00:02:42.320 --> 00:02:45.840]  大家有沒有看最近周星馳拍的《西遊記》
[00:02:45.840 --> 00:02:47.920]  《寒魔片》
[00:02:47.920 --> 00:02:50.880]  有些人一直在罵
[00:02:50.880 --> 00:02:53.560]  孫悟空的角色實在不行
[00:02:53.560 --> 00:02:55.240]  因為反差太大
[00:02:55.240 --> 00:02:59.040]  在那齣戲裡孫悟空的角色又矮又醜
[00:02:59.040 --> 00:03:04.040]  我們印象中孫悟空的角色應該是很帥的
[00:03:04.040 --> 00:03:06.000]  但那個角色扮到真的不行
[00:03:06.000 --> 00:03:07.240]  所以很多人罵
[00:03:07.240 --> 00:03:08.520]  反差太大
[00:03:08.520 --> 00:03:09.960]  我們對主耶穌也是
[00:03:09.960 --> 00:03:13.320]  我們期待神來到世上是什麼形象出現呢
[00:03:13.320 --> 00:03:14.400]  應該高大威猛
[00:03:14.400 --> 00:03:16.200]  玉樹臨風
[00:03:16.200 --> 00:03:18.840]  很有學識在皇宮出生
[00:03:18.840 --> 00:03:20.280]  應該是這樣的
[00:03:20.280 --> 00:03:23.040]  但沒想到主耶穌來到世上
[00:03:23.040 --> 00:03:25.720]  是用一個木匠的兒子的身份
[00:03:25.720 --> 00:03:29.200]  又不帥又不是高大威猛
[00:03:29.200 --> 00:03:30.720]  又沒有學識
[00:03:30.720 --> 00:03:32.560]  所以反差實在太大
[00:03:32.560 --> 00:03:35.320]  反差太大讓人很難去接受
[00:03:35.320 --> 00:03:38.480]  但主耶穌就是用這樣的形象出現
[00:03:38.480 --> 00:03:40.480]  但沒有人知道背後
[00:03:40.480 --> 00:03:43.400]  原來是神竟然來到世上
[00:03:43.400 --> 00:03:44.960]  舊約也一樣
[00:03:44.960 --> 00:03:47.640]  你知道他們出埃及之後
[00:03:47.640 --> 00:03:49.720]  他們在會幕的時候
[00:03:49.720 --> 00:03:52.280]  其實外表只是一些海狗皮
[00:03:52.280 --> 00:03:55.720]  一些很簡陋的帳篷
[00:03:55.720 --> 00:03:59.680]  比起外邦偶像的廟
[00:03:59.680 --> 00:04:02.160]  那些金碧輝煌是沒得比的
[00:04:02.160 --> 00:04:05.720]  但沒人想到那麼簡陋的帳篷裡面
[00:04:05.720 --> 00:04:08.880]  竟然是神的榮耀在當中
[00:04:08.880 --> 00:04:11.200]  所以和主耶穌的出現
[00:04:11.200 --> 00:04:15.360]  啟示了我們一些神用什麼方法和我們相處
[00:04:15.360 --> 00:04:17.000]  有時反差很大
[00:04:17.000 --> 00:04:22.080]  我們生活是一個習慣了很現實的文化
