
[00:00:00.000 --> 00:00:01.040]  親愛的師妹 早安
[00:00:01.040 --> 00:00:01.800]  我是黃牧師
[00:00:01.800 --> 00:00:03.520]  很高興能夠再次和大家一起
[00:00:03.520 --> 00:00:06.760]  在崇拜的時間分享神的說話
[00:00:06.760 --> 00:00:09.120]  在聆聽主的禱告
[00:00:09.120 --> 00:00:11.040]  和我們一起同心的禱告
[00:00:11.040 --> 00:00:14.160]  仰望主我們的神
[00:00:14.160 --> 00:00:15.240]  是一個很好的榮幸
[00:00:15.240 --> 00:00:16.880]  在聖餐禮的過程中
[00:00:16.880 --> 00:00:18.800]  我可以有另一個機會
[00:00:18.800 --> 00:00:22.080]  與所有的聖姐妹分享神的禱告
[00:00:22.080 --> 00:00:25.440]  我們一起禱告吧
[00:00:25.440 --> 00:00:27.320]  我們一起禱告
[00:00:27.320 --> 00:00:30.240]  大家把我們聆聽主誇獎的時間
[00:00:30.240 --> 00:00:32.400]  貢獻在我們主的手上
[00:00:32.400 --> 00:00:36.200]  我們一起祈禱吧
[00:00:36.200 --> 00:00:37.240]  親愛的天父 多謝祢
[00:00:37.240 --> 00:00:40.400]  讓我們能夠再次來到祢的根前
[00:00:40.400 --> 00:00:42.320]  去學習主祢的道理
[00:00:42.320 --> 00:00:44.920]  求祢的聖靈與我們同在
[00:00:44.920 --> 00:00:47.760]  幫助我們能夠明白祢更多
[00:00:47.760 --> 00:00:50.320]  好使我們能夠預備在這條
[00:00:50.320 --> 00:00:53.720]  宿命的道路上走得更加準確
[00:00:53.720 --> 00:00:55.280]  我們的同心禱告
[00:00:55.280 --> 00:00:58.240]  奉靠主耶穌基督得勝的明智而求
[00:00:58.240 --> 00:00:59.040]  阿門
[00:00:59.040 --> 00:01:02.760]  今天跟大家一起分享的經文
[00:01:02.760 --> 00:01:06.040]  是出自於《迦拉太書》第六章
[00:01:06.040 --> 00:01:09.800]  我們會從第六節到第八節
[00:01:09.800 --> 00:01:12.080]  其實這一部份的聖經
[00:01:12.080 --> 00:01:14.920]  可以一直看到第六節到第十節
[00:01:14.920 --> 00:01:17.000]  不過因為篇幅時間所限
[00:01:17.000 --> 00:01:20.000]  我會分為兩節跟大家一起分享
[00:01:20.000 --> 00:01:23.960]  今天的講題是「互惠成長的教會」
[00:01:24.360 --> 00:01:27.160]  Growing in Reciprocity
[00:01:27.160 --> 00:01:29.760]  讓我們回到這段聖經裏面
[00:01:29.760 --> 00:01:31.960]  讓我們一起先了解一下
[00:01:31.960 --> 00:01:34.160]  這段經文講些甚麼
[00:01:34.160 --> 00:01:38.360]  讓我們一起打開《迦拉太書》第六章
[00:01:38.360 --> 00:01:40.440]  第六節至第八節
[00:01:40.440 --> 00:01:43.320]  「在道理上受教的
[00:01:43.320 --> 00:01:45.480]  當把一切需用的
[00:01:45.480 --> 00:01:47.480]  供給施教的人
[00:01:47.480 --> 00:01:49.320]  不要自欺
[00:01:49.320 --> 00:01:52.440]  上帝是輕慢不得的
[00:01:53.120 --> 00:01:54.800]  人種的是甚麼
[00:01:54.800 --> 00:01:57.120]  收的也是甚麼
[00:01:57.120 --> 00:01:59.720]  信著情欲殺種的
[00:01:59.720 --> 00:02:02.520]  必從情欲收敗壞
[00:02:02.520 --> 00:02:05.200]  信著聖靈殺種的
[00:02:05.200 --> 00:02:08.160]  必從聖靈收永生」
[00:02:08.160 --> 00:02:12.280]  在2014年的
[00:02:12.280 --> 00:02:15.280]  世界盃足球比賽裏面
[00:02:15.280 --> 00:02:16.160]  World Cup
[00:02:16.160 --> 00:02:19.240]  去到差不多尾聲的時候
[00:02:19.240 --> 00:02:21.600]  就有兩場準決賽
[00:02:22.240 --> 00:02:23.520]  其中一場
[00:02:23.520 --> 00:02:26.520]  是大家都有很高的期望的
[00:02:26.520 --> 00:02:30.400]  就是由主辦國巴西
[00:02:30.400 --> 00:02:33.800]  對壘德國隊
[00:02:33.800 --> 00:02:36.760]  這兩隊隊伍可以說是
[00:02:36.760 --> 00:02:39.120]  在整個世界盃裏面的
[00:02:39.120 --> 00:02:40.920]  強勝將軍
[00:02:40.920 --> 00:02:42.920]  所以大家對於
[00:02:42.920 --> 00:02:45.760]  這兩隊亦都曾經拿過很多次
[00:02:45.760 --> 00:02:48.080]  世界盃冠軍的隊伍
[00:02:48.080 --> 00:02:50.080]  抱有很高的期望
[00:02:50.400 --> 00:02:53.360]  當時我亦都現身在
[00:02:53.360 --> 00:02:54.960]  電視的直播面前
[00:02:54.960 --> 00:02:56.440]  親力去看一看
[00:02:56.440 --> 00:02:57.960]  欣賞一下這場
[00:02:57.960 --> 00:03:00.960]  應該是非常精彩的比賽
[00:03:00.960 --> 00:03:03.680]  但誰不知這場的比賽
[00:03:03.680 --> 00:03:06.320]  上演了不夠五分鐘呢
[00:03:06.320 --> 00:03:09.920]  我想令全世界的足球迷
[00:03:09.920 --> 00:03:11.920]  都感到非常之詫異
[00:03:11.920 --> 00:03:16.280]  因為德國隊在短短的五分鐘裏面
[00:03:16.280 --> 00:03:22.000]  已經連入了五球的入球
[00:03:22.000 --> 00:03:25.720]  而完了上半場是5比0
[00:03:25.720 --> 00:03:28.160]  大家覺得非常之詫異
[00:03:28.160 --> 00:03:32.480]  以為巴西隊是否有什麼特別的策略呢
[00:03:32.480 --> 00:03:34.880]  大家很多分析員亦都在說
[00:03:34.880 --> 00:03:36.560]  這場的比賽不應該是這樣的
[00:03:36.560 --> 00:03:38.320]  可能巴西隊是努力
[00:03:38.320 --> 00:03:42.320]  在下半場上演一場更加精彩的比賽
[00:03:42.320 --> 00:03:43.560]  但誰不知
[00:03:43.560 --> 00:03:45.640]  去到整個的下半場
