
[00:00:00.000 --> 00:00:10.000]  今日來,不知道大家有沒有留意我們這個房間,那些燈,和上個禮拜有什麼不同?
[00:00:10.000 --> 00:00:12.000]  整好了!
[00:00:12.000 --> 00:00:26.000]  哇,這些弟兄姊妹真的很幫手,上個禮拜我們看到,起碼有一半以上的燈爪是倒下來的,不用打波,所以我們今天可以放心侍奉,來崇拜。
[00:00:26.000 --> 00:00:39.000]  也有很多人在這裡花了很多時間改進我們這個崇拜的地方,有個小的電視可以看到,不容易,不容易。
[00:00:39.000 --> 00:00:50.000]  其實我們每一次來到教會,除了崇拜之外,也希望可以注意一下這個地方,其實背後有很多人是為了愛神的緣故,
[00:00:50.000 --> 00:01:01.000]  為了我們不用那麼辛苦,他們花了很多時間在周邊改進,所以看到就要多謝他們一聲,教AB。
[00:01:01.000 --> 00:01:19.000]  這段跟剛才讀的經文是一樣的,不過是用和學本的修訂本,字眼上有一點不同,不過不要緊,我們讀了就可以了。
[00:01:19.000 --> 00:01:36.000]  有時候教會會舉行報道會,報道會的時候大家都很開心,因為一起去同宮,可以邀請很多新的朋友來參加,他們可以聽到有關耶穌的福音。
[00:01:36.000 --> 00:01:49.000]  報道會當中也有很多人到呼召的時候舉手,說我願意相信耶穌,接受祂做我生命的主。
[00:01:49.000 --> 00:01:56.000]  可能在座當中有些弟兄姊妹也是在報道會的時候決志,不同形式的報道會。
[00:01:56.000 --> 00:02:13.000]  不過我相信,回想起來也不記得當時發生了什麼事,通常報道會舉手的時候,場面比較上是情感會流露出來,
[00:02:13.000 --> 00:02:23.000]  發生什麼事我們不知道,不過很多人在事後說,恭喜你,很開心你今天相信了耶穌。
[00:02:23.000 --> 00:02:40.000]  之後呢,當晚你可能很激動,有些人流淚,有些人說恭喜你,擁抱,恭喜你很快樂,你是我的弟兄,是姐妹。
[00:02:40.000 --> 00:02:55.000]  翌日呢,要上班的話,翌日也是要正常上班,要買餸,每天買同樣的餸,可能煮同樣的餸。
[00:02:55.000 --> 00:03:05.000]  相信耶穌之前和之後,你的生活方式有沒有什麼改變?
[00:03:05.000 --> 00:03:13.000]  可能開始的時候你每個星期日來崇拜,來教會,但是其他的習慣呢?
[00:03:13.000 --> 00:03:21.000]  你去什麼地方,做什麼事,吃什麼,會不會有改變?
[00:03:21.000 --> 00:03:27.000]  相信耶穌之前和之後,你最大的改變在哪方面?
[00:03:27.000 --> 00:03:31.000]  是不是需要有改變?
[00:03:31.000 --> 00:03:36.000]  今天所選讀的經文就是來自彼得前書第一章,
[00:03:36.000 --> 00:03:46.000]  前面除了問候那幾句之後,第三節到十二節是提到當時書信的讀者,
[00:03:46.000 --> 00:03:51.000]  在今天的亞細亞地方,即是今天的土耳其,土耳其那個地區,
[00:03:51.000 --> 00:04:00.000]  有些人去旅行是去過,喀布多奇亞那些怪石,是那個地方,那個地區的信徒。
[00:04:00.000 --> 00:04:06.000]  他們接受了耶穌作為救主之後,就開始體會到其實生活上,
[00:04:06.000 --> 00:04:14.000]  給周圍的鄰居,給他們有點麻煩,因為他們覺得他們不同了。
[00:04:14.000 --> 00:04:20.000]  這些人信了耶穌之後,住的地方,做的事,和我們以前不一樣。
[00:04:20.000 --> 00:04:26.000]  那些人就嫌棄他們,為什麼我們平時做的事,他們不做呢?
[00:04:26.000 --> 00:04:34.000]  開始很多信徒就因為信仰的緣故,受迫害,有患難,受到排斥。
[00:04:34.000 --> 00:04:39.000]  那應該怎樣去生活呢?在這樣的環境當中,不是那麼順利的。
[00:04:39.000 --> 00:04:46.000]  所以這一段聖經,就是後面那一段,第三節到最後,就有幾個連接詞。
[00:04:46.000 --> 00:04:56.000]  就是講了你們信耶穌之後,又受到很多的迫害之後,所以你們要怎樣生活?
[00:04:56.000 --> 00:05:05.000]  或者在第十七節講到,既然你們稱神為父,稱神為天上的父,那應該怎樣去生活?
[00:05:05.000 --> 00:05:12.000]  第二十二節就說,既然你們是順從了真理,就應該怎樣去調整你的生活?
[00:05:12.000 --> 00:05:17.000]  所以這一大段,其實可以分為三個題目。
[00:05:17.000 --> 00:05:28.000]  今天我們只是看第一個題目,十三節到十六節就說,既然你們信了耶穌,所以你們要怎樣?
[00:05:28.000 --> 00:05:31.000]  今天的主題就是做好準備。
[00:05:31.000 --> 00:05:38.000]  十七節到二十一節的主題就是如何去敬畏神,既然你們信了耶穌,生活上要敬畏神。
[00:05:38.000 --> 00:05:51.000]  最後那一段就是彼此傷害,這三大段,三個主題,今天只講第一個主題,以後有機會就講其他兩個主題。
[00:05:51.000 --> 00:05:56.000]  所以今天的主題就是做好準備。
[00:05:56.000 --> 00:05:59.000]  為什麼要做好準備呢?
[00:05:59.000 --> 00:06:04.000]  聖經說耶穌必定會再回來,耶穌現在不在地上。
[00:06:04.000 --> 00:06:10.000]  我們說復活節,祂復活之後就紀念祂升天,現在地上看不到祂。
[00:06:10.000 --> 00:06:16.000]  但是聖經告訴我們,有一天,祂會再回來。
[00:06:16.000 --> 00:06:22.000]  再回來的時候,就是萬物的結局。
[00:06:22.000 --> 00:06:26.000]  怎樣有個結局,這個世界怎樣終結,我們不知道。
