
[00:00:00.000 --> 00:00:03.000]  2024年剛剛過去了
[00:00:03.000 --> 00:00:06.000]  今天是2025年第一天的主日
[00:00:06.000 --> 00:00:10.000]  回望2024年,如果叫大家評分的話
[00:00:10.000 --> 00:00:11.000]  0到10分
[00:00:11.000 --> 00:00:15.000]  你覺得2024年是什麼分數呢?你會給一下
[00:00:15.000 --> 00:00:20.000]  在美國有一個電視台在街頭做了一個訪問
[00:00:20.000 --> 00:00:24.000]  訪問完之後,他們做了一個評分
[00:00:24.000 --> 00:00:26.000]  他們訪問的評分就是說
[00:00:26.000 --> 00:00:30.000]  有人說有6分,2024年是有6分
[00:00:30.000 --> 00:00:34.000]  我不知道街頭訪問的代表性有多高
[00:00:34.000 --> 00:00:36.000]  不知道訪問了多少人
[00:00:36.000 --> 00:00:40.000]  不過我相信如果生活在一些戰亂的國家
[00:00:40.000 --> 00:00:43.000]  或者生活在一些很多悲劇發生的地方
[00:00:43.000 --> 00:00:46.000]  6分太高分了
[00:00:46.000 --> 00:00:48.000]  大家想像一下,如果在一個戰亂的地方
[00:00:48.000 --> 00:00:52.000]  例如在加沙、烏克蘭等等
[00:00:52.000 --> 00:00:54.000]  今天我黑晚間睡著覺
[00:00:54.000 --> 00:00:57.000]  明早也不知道能不能睜大眼睛起來
[00:00:57.000 --> 00:00:59.000]  在這樣的地方
[00:00:59.000 --> 00:01:04.000]  又或者在一些很多意外發生的國家
[00:01:04.000 --> 00:01:08.000]  最近一個月之內也有一兩單悲劇
[00:01:08.000 --> 00:01:10.000]  南韓的飛機失事
[00:01:10.000 --> 00:01:14.000]  最近美國又有一個恐怖分子開著車
[00:01:14.000 --> 00:01:16.000]  向人群衝過去
[00:01:16.000 --> 00:01:19.000]  殺死了這些沒有意識的殺戮
[00:01:19.000 --> 00:01:22.000]  不斷在這個世界裡面發生
[00:01:22.000 --> 00:01:25.000]  當我們回顧2024年的時候
[00:01:25.000 --> 00:01:27.000]  我們也經歷了一個
[00:01:27.000 --> 00:01:32.000]  我們不太喜歡承認的生命實況
[00:01:32.000 --> 00:01:34.000]  什麼實況?
