
[00:00:00.000 --> 00:00:04.000]  今日我同大家講既題目係耶和華賜既福
[00:00:04.000 --> 00:00:08.000]  呢一句既聖經係針研書十章二十二節
[00:00:08.000 --> 00:00:15.000]  係一句係教會裏面好被認識既一句既聖經
[00:00:15.000 --> 00:00:18.000]  亦都係好似一句祝福語咁樣
[00:00:18.000 --> 00:00:21.000]  所以有啲書籤都會用呢句既聖經
[00:00:21.000 --> 00:00:23.000]  黎作為一個經文就係
[00:00:23.000 --> 00:00:25.000]  耶和華所賜既福
[00:00:25.000 --> 00:00:29.000]  使人富足,並不加上憂慮
[00:00:29.000 --> 00:00:33.000]  我諗福係好多人都好期望有
[00:00:33.000 --> 00:00:35.000]  雖然唔知道佢係乜嘢
[00:00:35.000 --> 00:00:38.000]  但係點知有福都係好
[00:00:38.000 --> 00:00:41.000]  所以就有祈福黨出現
[00:00:41.000 --> 00:00:46.000]  針研書呢一句既說話
[00:00:46.000 --> 00:00:49.000]  佢唔單止係一句好似祝福人既說話
[00:00:49.000 --> 00:00:53.000]  其實都係一句開導人既說話
[00:00:53.000 --> 00:00:58.000]  針研佢有好多啟導同埋教導人既功能
[00:00:58.000 --> 00:01:02.000]  可以話佢係我地生活既智慧結晶
[00:01:02.000 --> 00:01:06.000]  亦都係生命一種沉澱既體會
[00:01:06.000 --> 00:01:09.000]  乜嘢係福呢?
[00:01:09.000 --> 00:01:13.000]  好似成日都接觸到
[00:01:13.000 --> 00:01:16.000]  但係再諗深一層既時候
[00:01:16.000 --> 00:01:20.000]  就好似唔容易掌握得到
[00:01:20.000 --> 00:01:23.000]  咁乜嘢係耶和華所賜既福呢?
[00:01:23.000 --> 00:01:27.000]  係咪有啲福唔係耶和華所賜既呢?
[00:01:27.000 --> 00:01:33.000]  佢話就係我地對上帝既一個名字既稱呼
[00:01:33.000 --> 00:01:36.000]  佢既本身既意思就係一個自有永有
[00:01:36.000 --> 00:01:37.000]  咁既意思
[00:01:37.000 --> 00:01:40.000]  所以即係神既意思
[00:01:40.000 --> 00:01:42.000]  乜嘢係神所賜既福呢?
[00:01:42.000 --> 00:01:44.000]  咁係咪有啲福唔係神賜既呢?
[00:01:44.000 --> 00:01:46.000]  呢啲福係人賜既
[00:01:46.000 --> 00:01:49.000]  呢啲福呢係世界比既
[00:01:49.000 --> 00:01:52.000]  呢啲福呢甚至係魔鬼比我地既呢?
