
[00:00:00.000 --> 00:00:03.720]  我們其實一系列的講到誠聖 對不對
[00:00:03.720 --> 00:00:06.200]  這個主題是一個非常重要的主題
[00:00:06.200 --> 00:00:07.240]  全本聖經裡面
[00:00:07.240 --> 00:00:10.200]  新約就有兩百七十多次講到聖節
[00:00:10.200 --> 00:00:12.720]  整個聖經講起來
[00:00:12.720 --> 00:00:14.760]  有關聖聖聖節這些
[00:00:14.760 --> 00:00:16.920]  這是一個非常重要的主題
[00:00:16.920 --> 00:00:17.760]  現在就準備
[00:00:17.760 --> 00:00:19.080]  所以我們稍微複習一下
[00:00:19.080 --> 00:00:20.320]  我們在前面講到說
[00:00:20.320 --> 00:00:22.400]  我們要誠聖 對不對
[00:00:22.400 --> 00:00:23.040]  是不是
[00:00:23.040 --> 00:00:27.720]  什麼叫誠聖
[00:00:27.720 --> 00:00:29.440]  你們誠聖了沒有
[00:00:29.440 --> 00:00:30.520]  誠聖了沒有
[00:00:30.520 --> 00:00:31.880]  還沒有 OK
[00:00:31.880 --> 00:00:33.560]  但是保羅不是說嗎
[00:00:33.560 --> 00:00:37.200]  他寫信給在哥林多教會的聖徒
[00:00:37.200 --> 00:00:38.680]  有沒有 是不是
[00:00:38.680 --> 00:00:40.720]  寫信給 以夫所書
[00:00:40.720 --> 00:00:42.720]  寫信給這些聖徒
[00:00:42.720 --> 00:00:45.840]  所以呢 這個哥林多教會的人
[00:00:45.840 --> 00:00:48.520]  他們每一個都是聖徒啊
[00:00:48.520 --> 00:00:49.320]  現在就準備
[00:00:49.320 --> 00:00:51.240]  好 今天這個保羅如果再世的話
[00:00:51.240 --> 00:00:54.160]  他寫信給凌良堂的聖徒
[00:00:54.160 --> 00:00:55.400]  OK 好嗎
[00:00:55.400 --> 00:00:56.720]  所以你我都是聖徒
[00:00:56.720 --> 00:00:59.040]  跟你旁邊說你是聖徒
[00:00:59.040 --> 00:01:01.360]  他姓王就王聖徒
[00:01:01.360 --> 00:01:03.000]  姓李就李聖徒 好嗎
[00:01:03.000 --> 00:01:04.000]  來 再來一遍
[00:01:04.000 --> 00:01:06.480]  他姓什麼你就把他加上去
[00:01:06.480 --> 00:01:11.120]  來
[00:01:11.120 --> 00:01:14.040]  接著又準備
[00:01:14.040 --> 00:01:15.080]  我們一直講到說
[00:01:15.080 --> 00:01:17.320]  客觀跟主觀的差別
[00:01:17.320 --> 00:01:19.280]  今天講到這與主同時也是一樣
[00:01:19.280 --> 00:01:21.880]  客觀跟主觀你一定要很清楚
[00:01:21.880 --> 00:01:23.520]  客觀的意思就是說
[00:01:23.520 --> 00:01:26.000]  在聖經的真理裡面來講
[00:01:26.000 --> 00:01:28.400]  當我們一信耶穌的那一個Moment
[00:01:28.400 --> 00:01:31.560]  我們就已經怎麼樣
[00:01:31.560 --> 00:01:33.640]  我們就成聖了
[00:01:33.640 --> 00:01:35.920]  我們就是聖徒了
[00:01:35.920 --> 00:01:40.840]  但是我們主觀的經歷上面
[00:01:40.840 --> 00:01:45.560]  我們卻要一生之久的追求
[00:01:45.560 --> 00:01:47.200]  同樣的
[00:01:47.200 --> 00:01:50.160]  當我們講到這一個
[00:01:50.160 --> 00:01:53.880]  當我們講到說我們要成聖的時候呢
[00:01:53.880 --> 00:01:55.680]  那麼罪是一個很大的問題
[00:01:55.680 --> 00:01:58.120]  是不是
[00:01:58.120 --> 00:02:01.480]  成聖最基本的一個定義
[00:02:01.480 --> 00:02:05.120]  就是不沾染誤會
[00:02:05.120 --> 00:02:09.280]  第二個是與世界分別
[00:02:09.280 --> 00:02:11.080]  那麼不沾染世界的誤會
[00:02:11.080 --> 00:02:14.720]  其實就是說不要犯罪 對不對
[00:02:14.720 --> 00:02:16.760]  那前提是什麼
[00:02:16.760 --> 00:02:19.440]  我們信徒到現在有沒有哪一個人說
[00:02:19.440 --> 00:02:21.080]  哎呀 我到現在為止
[00:02:21.080 --> 00:02:23.880]  哎呀 我已經是可以到達
[00:02:23.880 --> 00:02:27.160]  這幾乎不犯罪地步的 有沒有
[00:02:27.160 --> 00:02:29.080]  沒有 馬上就說沒有
[00:02:29.080 --> 00:02:30.640]  很肯定的就說沒有
[00:02:30.640 --> 00:02:33.160]  你信徒多少年你怎麼能這樣講
[00:02:33.160 --> 00:02:34.120]  人家信徒五十年
[00:02:34.120 --> 00:02:38.600]  趙老師你
[00:02:38.600 --> 00:02:39.720]  六十九年
[00:02:39.720 --> 00:02:42.920]  趙老師已經是功力深厚到了六十九年了
[00:02:42.920 --> 00:02:43.680]  是不是
[00:02:43.680 --> 00:02:44.680]  是不是已經不犯罪
[00:02:44.680 --> 00:02:49.240]  這不要問他 問師母
[00:02:49.240 --> 00:02:52.520]  肯定會犯
[00:02:52.520 --> 00:02:55.200]  切牛絲沒
[00:02:55.200 --> 00:02:58.400]  在羅馬書第七章裡面講到
[00:02:58.400 --> 00:03:01.960]  我們都會面臨到一個掙扎 有沒有
[00:03:01.960 --> 00:03:03.920]  你會不會有這個掙扎
[00:03:03.920 --> 00:03:04.920]  保羅說他說
[00:03:04.920 --> 00:03:07.560]  我立志行善由得我
[00:03:07.560 --> 00:03:09.320]  行出來呢
[00:03:09.320 --> 00:03:12.760]  由不得我
