
[00:00:00.000 --> 00:00:02.320]  最後我們在很短時間裏面
[00:00:02.320 --> 00:00:07.480]  我們已經開始看到一些很沉重的東西
[00:00:07.480 --> 00:00:10.420]  求祂幫助我們
[00:00:10.420 --> 00:00:15.280]  幫助我們切切追求聖經的途徑方向
[00:00:15.280 --> 00:00:20.840]  幫助我們成為一個不一樣的教會
[00:00:20.840 --> 00:00:24.920]  幫助我們自己每一個人成為一個不一樣的基督徒
[00:00:24.920 --> 00:00:26.920]  祝福我們以下這段時間
[00:00:26.920 --> 00:00:31.720]  我們這樣祈禱,奉主耶穌基督名堂,阿門
[00:00:31.720 --> 00:00:35.600]  好,我想和你快快去看看《貼薩來加前書》
[00:00:35.600 --> 00:00:38.800]  我需要邦尼幫我的
[00:00:38.800 --> 00:00:40.440]  我想和你看這三節聖經
[00:00:40.440 --> 00:00:43.760]  大家很熟悉,非常熟悉
[00:00:43.760 --> 00:00:48.420]  「要常常喜樂,不著的禱告,凡是謝恩,
[00:00:48.420 --> 00:00:53.920]  因為這是神在耶穌基督裏,向你們所定的旨意」
[00:00:53.920 --> 00:00:57.600]  我們通常背了這三節的金句再去
[00:00:57.600 --> 00:01:00.800]  我們從來沒有想過「常常喜樂」為甚麼喜樂
[00:01:00.800 --> 00:01:05.040]  我們從來沒有問過「不著的禱告」為甚麼禱告
[00:01:05.040 --> 00:01:08.840]  我們更加沒有想過「凡是謝恩」為甚麼謝恩
[00:01:08.840 --> 00:01:12.680]  總之你想到甚麼可以謝恩,謝恩便是好的
[00:01:12.680 --> 00:01:13.800]  不是的
[00:01:13.800 --> 00:01:19.880]  有沒有想過我們這樣用金句式的應用其實很有問題
[00:01:19.880 --> 00:01:21.480]  我和你說一個故事
[00:01:21.480 --> 00:01:28.160]  大概一個多月之前,我們教會同工之間發生了一件大事
[00:01:28.160 --> 00:01:34.000]  3月26日是我們教會的一年一度大日子
[00:01:34.000 --> 00:01:36.800]  即是我們會議的會議
[00:01:36.800 --> 00:01:40.560]  在我們登出一兩個星期後
[00:01:40.560 --> 00:01:43.200]  會友發訊息給我們,我們其中一個員工
[00:01:43.200 --> 00:01:46.240]  告訴我們你的日子錯了
[00:01:46.240 --> 00:01:47.960]  寫了3月6日
[00:01:47.960 --> 00:01:51.160]  那時大家收到的訊息很害怕
[00:01:51.160 --> 00:01:57.120]  隔了不知多少小時,黃牧師再拍了第二張照片出來
[00:01:57.120 --> 00:02:02.360]  他說3月6日是我們登出這個宣告的日子
[00:02:02.360 --> 00:02:07.480]  其實你看回整個大圖畫,我們是沒有錯的
[00:02:07.480 --> 00:02:09.720]  這件事是很重要的
[00:02:09.720 --> 00:02:11.880]  即是你看電影一定要看全套
[00:02:11.880 --> 00:02:14.000]  如果你只看著這個,我們錯了
[00:02:14.000 --> 00:02:16.640]  其實我們沒有錯的
[00:02:16.640 --> 00:02:20.360]  但你一不看大圖畫的時候,你便會錯了
[00:02:20.360 --> 00:02:22.360]  我現在想邀請你
[00:02:22.360 --> 00:02:25.160]  跟我們很快,Bonnie會幫你讀
[00:02:25.160 --> 00:02:27.080]  你只是聽而已
[00:02:27.080 --> 00:02:32.680]  看看究竟保羅當他寫「常常喜樂,不住祈禱,罰次謝恩」
[00:02:32.680 --> 00:02:34.400]  他是在想些甚麼?
[00:02:34.400 --> 00:02:36.920]  其實很簡單,你跟我也認識
[00:02:36.920 --> 00:02:39.840]  由頭到尾看看貼上來家前書
