
[00:00:00.000 --> 00:00:04.000]  今天我們繼續要用菲律賓書第二章
[00:00:04.000 --> 00:00:06.000]  第九節到十一節
[00:00:06.000 --> 00:00:09.000]  我們要講謙卑的榜樣
[00:00:09.000 --> 00:00:11.000]  其實就是基督
[00:00:11.000 --> 00:00:13.000]  祂先被藐視
[00:00:13.000 --> 00:00:16.000]  然後得榮耀
[00:00:16.000 --> 00:00:17.000]  我們一起
[00:00:17.000 --> 00:00:18.000]  如果你有聖經的話
[00:00:18.000 --> 00:00:22.000]  請你翻開菲律賓書第二章
[00:00:22.000 --> 00:00:30.000]  第九節到十一節
[00:00:30.000 --> 00:00:34.000]  菲律賓書第二章第九節到十一節
[00:00:34.000 --> 00:00:35.000]  我們一起來念
[00:00:35.000 --> 00:00:37.000]  螢幕上也有
[00:00:37.000 --> 00:00:38.000]  我們一起來
[00:00:38.000 --> 00:00:41.000]  所以神將祂升為次高
[00:00:41.000 --> 00:00:45.000]  又賜給祂那超乎萬民之上的名
[00:00:45.000 --> 00:00:49.000]  叫一切在天上的地上的和地底下
[00:00:49.000 --> 00:00:52.000]  因耶穌的名無不屈膝
[00:00:52.000 --> 00:00:55.000]  無不口稱耶穌基督為主
[00:00:55.000 --> 00:00:58.000]  使榮耀歸於父神
[00:00:58.000 --> 00:01:01.000]  然後我們再翻到彼得前書第一章
[00:01:01.000 --> 00:01:04.000]  第十一節
[00:01:04.000 --> 00:01:09.000]  彼得前書第一章十一節
[00:01:09.000 --> 00:01:11.000]  螢幕上
[00:01:11.000 --> 00:01:16.000]  彼得前書第一章十一節
[00:01:16.000 --> 00:01:19.000]  那麼我先從第十節念給大家聽
[00:01:19.000 --> 00:01:20.000]  他說論到這舊恩
[00:01:20.000 --> 00:01:24.000]  那玉仙說你們要得恩典的眾先知
[00:01:24.000 --> 00:01:27.000]  早已詳細地尋求考察
[00:01:27.000 --> 00:01:29.000]  這是彼得讓我們知道舊約
[00:01:29.000 --> 00:01:30.000]  那個時候
[00:01:30.000 --> 00:01:34.000]  這些先知他們已經開始聽到這些預言
[00:01:34.000 --> 00:01:36.000]  然後叫他們講出來
[00:01:36.000 --> 00:01:38.000]  然後到了十一節的時候
[00:01:38.000 --> 00:01:42.000]  就是考察在他們心裡基督的靈
[00:01:42.000 --> 00:01:45.000]  玉仙證明基督受苦難
[00:01:45.000 --> 00:01:48.000]  後來得榮耀是指著什麼時候
[00:01:48.000 --> 00:01:50.000]  並怎樣的時候
[00:01:50.000 --> 00:01:54.000]  這是我們從彼得書信裡面
[00:01:54.000 --> 00:01:55.000]  我們所看到的
[00:01:55.000 --> 00:01:57.000]  我們一起禱告
[00:01:57.000 --> 00:01:59.000]  在天上的父神
[00:01:59.000 --> 00:02:00.000]  我們來到祢面前
