
[00:00:00.000 --> 00:00:02.000]  主願你幫助我們
[00:00:02.000 --> 00:00:05.040]  我們在這個城市
[00:00:05.040 --> 00:00:07.040]  此時此刻
[00:00:07.040 --> 00:00:09.040]  我們的生命
[00:00:09.040 --> 00:00:11.040]  怎樣的生命
[00:00:11.040 --> 00:00:14.040]  仍然都會影響我們這個城市
[00:00:14.040 --> 00:00:18.040]  我們不是一群無足輕重的小民
[00:00:18.040 --> 00:00:20.040]  因為我們所信靠的
[00:00:20.040 --> 00:00:22.040]  就是這位掌管天地萬民
[00:00:22.040 --> 00:00:24.040]  亦即是掌管歷史的主
[00:00:24.040 --> 00:00:25.040]  帶領我們
[00:00:25.040 --> 00:00:27.040]  讓我們的生命
[00:00:27.040 --> 00:00:29.040]  在我們的敬拜
[00:00:29.040 --> 00:00:31.040]  在我們的生命的敬拜裏
[00:00:31.040 --> 00:00:32.040]  都是這樣
[00:00:32.040 --> 00:00:34.040]  配得上你自己的恩典
[00:00:34.040 --> 00:00:38.040]  亦都要成為列國萬民的祝福
[00:00:38.040 --> 00:00:40.040]  替你幫助我們
[00:00:40.040 --> 00:00:41.040]  預納我們的時間
[00:00:41.040 --> 00:00:43.040]  奉耶穌的名去禱告
[00:00:43.040 --> 00:00:44.040]  Amen
[00:00:44.040 --> 00:00:45.040]  Hallelujah
[00:00:45.040 --> 00:00:46.040]  大家聽清楚嗎
[00:00:46.040 --> 00:00:48.040]  謝謝敬拜女
[00:00:48.040 --> 00:00:53.040]  不知道大家有沒有聽過一句潮語
[00:00:53.040 --> 00:00:55.040]  現在可能都不是很潮
[00:00:55.040 --> 00:00:57.040]  那句說話叫做
[00:00:57.040 --> 00:00:59.040]  口裡說不
[00:00:59.040 --> 00:01:01.040]  身體卻肯誠實
[00:01:01.040 --> 00:01:03.040]  有些人可能聽過
[00:01:03.040 --> 00:01:06.040]  網民有很多例子說
[00:01:06.040 --> 00:01:08.040]  這句說話是甚麼意思
[00:01:08.040 --> 00:01:10.040]  簡單來說就是
[00:01:10.040 --> 00:01:11.040]  口是心非
[00:01:11.040 --> 00:01:13.040]  說一套就做一套
[00:01:13.040 --> 00:01:15.040]  例如有些例子說
[00:01:15.040 --> 00:01:17.040]  口裏就不相信
[00:01:17.040 --> 00:01:20.040]  要贏在起跑線
[00:01:20.040 --> 00:01:23.040]  現在的起跑線越搞越早
[00:01:23.040 --> 00:01:25.040]  現在要很早
[00:01:25.040 --> 00:01:27.040]  就是口裏不相信
[00:01:27.040 --> 00:01:33.040]  不過早早要為所有子女練好十八般武藝
[00:01:33.040 --> 00:01:35.040]  這個就是口裡說不
[00:01:35.040 --> 00:01:37.040]  身體卻肯誠實
[00:01:37.040 --> 00:01:42.040]  又或者說我對這個地方很有信心
[00:01:42.040 --> 00:01:44.040]  這個經濟甚麼甚麼
