
[00:00:00.000 --> 00:00:02.000]  各位第一姐妹
[00:00:02.000 --> 00:00:04.000]  父親節快樂
[00:00:04.000 --> 00:00:08.000]  不知道這句說話對大家的意義
[00:00:08.000 --> 00:00:10.000]  有些第一姐妹可能是
[00:00:10.000 --> 00:00:14.000]  我爸爸都回到天父那裡了
[00:00:14.000 --> 00:00:18.000]  又或者我自己都不是爸爸
[00:00:18.000 --> 00:00:20.000]  或者我都母兒母女
[00:00:20.000 --> 00:00:22.000]  每個人的情況都不同的
[00:00:22.000 --> 00:00:26.000]  所以當我預備這篇講出來的時候
[00:00:26.000 --> 00:00:34.000]  我都在想怎樣令到我們大家都對這篇講章有一個興趣
[00:00:34.000 --> 00:00:36.000]  或者覺得跟自己有關聯
[00:00:36.000 --> 00:00:39.000]  我一邊講一邊會和大家去討論
[00:00:39.000 --> 00:00:41.000]  其中一個特色就是
[00:00:41.000 --> 00:00:43.000]  你剛才看到一個講題
[00:00:43.000 --> 00:00:44.000]  比紅執符很好
[00:00:44.000 --> 00:00:45.000]  媽
[00:00:45.000 --> 00:00:48.000]  好像是有沒有定論的呢
[00:00:48.000 --> 00:00:51.000]  牧師說完會不會給我們一個答案
[00:00:51.000 --> 00:00:53.000]  大衛是一位好父親
[00:00:53.000 --> 00:00:54.000]  還是不是呢
[00:00:54.000 --> 00:00:58.000]  其實今天講完你都不知道
[00:00:58.000 --> 00:00:59.000]  都不會有結論的
[00:00:59.000 --> 00:01:00.000]  待會兒會再講
[00:01:00.000 --> 00:01:02.000]  第二就是
[00:01:02.000 --> 00:01:04.000]  我請了四位父親
[00:01:04.000 --> 00:01:07.000]  會和大家講他們做父親的心得
[00:01:07.000 --> 00:01:08.000]  在哪裏
[00:01:08.000 --> 00:01:09.000]  是不是坐在裏面
[00:01:09.000 --> 00:01:12.000]  今時的科技已經不需要了
[00:01:12.000 --> 00:01:14.000]  我們可以透過Zoom
[00:01:14.000 --> 00:01:17.000]  當然他不是即時在家裏和我們Zoom
[00:01:17.000 --> 00:01:19.000]  之前我們已經拍攝了
