
[00:00:00.000 --> 00:00:04.720]  多謝劍邁隊帶領我們這個興奮高昂的立志
[00:00:04.720 --> 00:00:08.540]  很適合我們今季的課題
[00:00:08.540 --> 00:00:11.960]  但今季的課題好像沒怎麼說過
[00:00:11.960 --> 00:00:15.460]  因為我們已經身體力行去實踐
[00:00:15.460 --> 00:00:18.640]  我們讀一讀這段經文
[00:00:18.640 --> 00:00:20.160]  一二三
[00:00:20.160 --> 00:00:23.240]  耶穌叫齊了十二個門徒
[00:00:23.240 --> 00:00:25.720]  給他們能力權柄
[00:00:25.720 --> 00:00:27.760]  制伏一切的鬼
[00:00:27.760 --> 00:00:29.880]  醫治各樣的病
[00:00:29.880 --> 00:00:34.120]  由差遣他們去宣傳神國的道
[00:00:34.120 --> 00:00:36.480]  醫治病人
[00:00:36.480 --> 00:00:38.280]  大家唱得這麼興奮
[00:00:38.280 --> 00:00:39.800]  請差遣我
[00:00:39.800 --> 00:00:40.880]  有沒有想過
[00:00:40.880 --> 00:00:43.920]  其實差遣你去做什麼?
[00:00:43.920 --> 00:00:44.960]  對,傳福音
[00:00:44.960 --> 00:00:46.360]  傳福音會不會有什麼事呢?
[00:00:46.360 --> 00:00:48.840]  這段經文說得很具體
[00:00:48.840 --> 00:00:51.200]  他說叫齊了十二個門徒
[00:00:51.200 --> 00:00:53.880]  是給他們有什麼?
[00:00:53.880 --> 00:00:56.280]  能力和權柄
[00:00:56.280 --> 00:00:58.280]  當然是做傳福音的工作
[00:00:58.280 --> 00:01:00.000]  當中有沒有細緻想到
[00:01:00.000 --> 00:01:01.800]  原來包括這三樣東西?
[00:01:01.800 --> 00:01:02.520]  第一
[00:01:02.520 --> 00:01:06.520]  就是去制伏一切的鬼
[00:01:06.520 --> 00:01:07.360]  然後呢
[00:01:07.360 --> 00:01:10.120]  醫治各樣的病
[00:01:10.120 --> 00:01:13.960]  第三才是宣傳神國的道
[00:01:13.960 --> 00:01:15.320]  丁子回
[00:01:15.320 --> 00:01:16.560]  看清楚
[00:01:16.560 --> 00:01:21.520]  我們只是用口去講這個福音
[00:01:21.520 --> 00:01:22.640]  已經是幾十年了
[00:01:22.640 --> 00:01:23.840]  很多人都說很難
[00:01:23.840 --> 00:01:25.280]  不知道怎麼做,諸如此類
[00:01:25.280 --> 00:01:27.080]  但是原來真正的傳福音
[00:01:27.080 --> 00:01:29.000]  所差的門徒
