
[00:00:00.000 --> 00:00:01.600]  各位囡囡妹,早晨
[00:00:01.600 --> 00:00:06.080]  首先恭喜大家上上喜樂,因為過年都...
[00:00:06.080 --> 00:00:09.720]  多謝大家今日會來到當中
[00:00:09.720 --> 00:00:12.740]  同慶祝今年新年的年初一
[00:00:12.740 --> 00:00:14.460]  都是回來聽神的話語
[00:00:14.460 --> 00:00:16.460]  剛才大家所讀的經文當中
[00:00:16.460 --> 00:00:17.720]  都提到
[00:00:17.720 --> 00:00:21.760]  GSO的身份
[00:00:21.760 --> 00:00:25.580]  我們很多時,我們起居的生活作息
[00:00:25.580 --> 00:00:29.140]  我們都環繞著我們生命上覺得重要的事情
[00:00:29.140 --> 00:00:31.280]  而安排
[00:00:31.280 --> 00:00:33.280]  如果你有時很喜歡打球的
[00:00:33.280 --> 00:00:35.280]  可能唯有...最重要
[00:00:35.280 --> 00:00:37.820]  不要安排這些時間
[00:00:37.820 --> 00:00:39.820]  這些活動不要阻礙
[00:00:39.820 --> 00:00:41.820]  打球,例如很多時
[00:00:41.820 --> 00:00:44.820]  小朋友校隊,或者各樣的活動
[00:00:44.820 --> 00:00:46.820]  又可能有些配合
[00:00:46.820 --> 00:00:48.820]  如果大家是事業型的
[00:00:48.820 --> 00:00:50.820]  可能說最重要安排到
[00:00:50.820 --> 00:00:52.820]  怎樣幾點上班
[00:00:52.820 --> 00:00:54.820]  我們都會遷就,我們時間幾點起身
[00:00:54.820 --> 00:00:57.620]  我們為了工作,上班就遷就時間
[00:00:57.620 --> 00:00:59.620]  為了子女,何時睡覺
[00:00:59.620 --> 00:01:01.620]  何時做什麼,都會為著她做
[00:01:01.620 --> 00:01:03.620]  甚至是自己的興趣
[00:01:03.620 --> 00:01:05.620]  無論怎樣都好
[00:01:05.620 --> 00:01:07.620]  各樣不同的興趣
[00:01:07.620 --> 00:01:09.620]  或者為了自己的寵物
[00:01:09.620 --> 00:01:11.620]  都會早點起床
[00:01:11.620 --> 00:01:13.620]  跟狗走走
[00:01:13.620 --> 00:01:15.620]  走走散散步
[00:01:15.620 --> 00:01:17.620]  就算我自己也是,今早出門都顧著餵雞
[00:01:17.620 --> 00:01:19.620]  我自己養雞
[00:01:19.620 --> 00:01:21.620]  要記著,真是不好
[00:01:21.620 --> 00:01:23.620]  兒子在等著出門,說要回來了
[00:01:23.620 --> 00:01:26.620]  還是不行,還是要為了雞才回來
[00:01:26.620 --> 00:01:28.620]  都有些,我們生活起居習慣
[00:01:28.620 --> 00:01:30.620]  都會圍繞著
[00:01:30.620 --> 00:01:32.620]  我們認為自己是
[00:01:32.620 --> 00:01:34.620]  生命上重要的事情
[00:01:34.620 --> 00:01:36.620]  我們今年教會的主題
[00:01:36.620 --> 00:01:38.620]  第一步都是說
[00:01:38.620 --> 00:01:40.620]  以基督為中心
[00:01:40.620 --> 00:01:44.620]  以基督為中心的時候
[00:01:44.620 --> 00:01:46.620]  那我們看到
[00:01:46.620 --> 00:01:48.620]  我們看到,為中心
[00:01:48.620 --> 00:01:50.620]  我們有個模式
[00:01:50.620 --> 00:01:52.620]  在車輪,在
[00:01:52.620 --> 00:01:54.620]  我們發現的考古物
[00:01:54.620 --> 00:01:56.620]  在大約主前
[00:01:56.620 --> 00:01:58.620]  三百五十、五百年的時候
[00:01:58.620 --> 00:02:00.620]  吾爾,聖經的吾爾
[00:02:00.620 --> 00:02:02.620]  那個地方,是米索不達米亞的地方
[00:02:02.620 --> 00:02:04.620]  找到一個車輪
[00:02:04.620 --> 00:02:06.620]  那個車輪,大家知道車輪是這樣的
[00:02:06.620 --> 00:02:08.620]  現在的車輪是這樣的
[00:02:08.620 --> 00:02:10.620]  以前的車輪是一個
[00:02:10.620 --> 00:02:12.620]  木的,舊木的
[00:02:12.620 --> 00:02:14.620]  弄得很圓的,要圓才能輪到
[00:02:14.620 --> 00:02:16.620]  中間的中心
[00:02:16.620 --> 00:02:18.620]  就有個,有條軸
[00:02:18.620 --> 00:02:20.620]  如果不在正中間
[00:02:20.620 --> 00:02:22.620]  你的輪子會怎樣
[00:02:22.620 --> 00:02:24.620]  如果不是圓的就更慘了
[00:02:24.620 --> 00:02:26.620]  所以當時都有智慧
[00:02:26.620 --> 00:02:28.620]  某程度上有智慧就是
[00:02:28.620 --> 00:02:30.620]  原來那個輪子
[00:02:30.620 --> 00:02:32.620]  軸一定要在中心
[00:02:32.620 --> 00:02:34.620]  不是的話
[00:02:34.620 --> 00:02:36.620]  就走得不好
[00:02:36.620 --> 00:02:38.620]  起初就為了耕種
[00:02:38.620 --> 00:02:40.620]  幫助人代步
[00:02:40.620 --> 00:02:42.620]  去了耕田
[00:02:42.620 --> 00:02:44.620]  之後就變成一些
[00:02:44.620 --> 00:02:46.620]  可能做戰車
[00:02:46.620 --> 00:02:48.620]  現在也有馬車
[00:02:48.620 --> 00:02:50.620]  現在的單車就這樣
[00:02:50.620 --> 00:02:52.620]  都是中間有個軸
[00:02:52.620 --> 00:02:54.620]  如果中間的軸不在正中間
[00:02:54.620 --> 00:02:56.620]  就轉得不好
[00:02:56.620 --> 00:02:58.620]  其實我們的生命都是
[00:02:58.620 --> 00:03:00.620]  如果我們的生命
[00:03:00.620 --> 00:03:02.620]  如果中心所顧念的東西
[00:03:02.620 --> 00:03:04.620]  我們的安排
[00:03:04.620 --> 00:03:06.620]  生命其他事情
[00:03:06.620 --> 00:03:08.620]  是以甚麼中心
[00:03:08.620 --> 00:03:10.620]  為了甚麼,是不會阻礙
[00:03:10.620 --> 00:03:12.620]  親近主的時候
[00:03:12.620 --> 00:03:14.620]  我們的生命就會走得順
[00:03:14.620 --> 00:03:16.620]  無論我們是
[00:03:16.620 --> 00:03:18.620]  敬拜
[00:03:18.620 --> 00:03:20.620]  團契
[00:03:20.620 --> 00:03:22.620]  就算是
[00:03:22.620 --> 00:03:24.620]  門徒訓練
[00:03:24.620 --> 00:03:26.620]  傳福音
[00:03:26.620 --> 00:03:28.620]  主義學教導的時工
[00:03:28.620 --> 00:03:30.620]  我們都會連在一起
[00:03:30.620 --> 00:03:32.620]  以基督為中心
[00:03:32.620 --> 00:03:34.620]  如果我們生命能夠
[00:03:34.620 --> 00:03:36.620]  以基督為中心就會走得順
[00:03:36.620 --> 00:03:38.620]  我現在現代一點
[00:03:38.620 --> 00:03:40.620]  除了轉的東西
[00:03:40.620 --> 00:03:42.620]  大家開車也看過很多這些
[00:03:42.620 --> 00:03:46.620]  風力發電機
[00:03:46.620 --> 00:03:48.620]  都是轉
[00:03:48.620 --> 00:03:50.620]  它轉得中間很重要
[00:03:50.620 --> 00:03:52.620]  中間的機器
[00:03:52.620 --> 00:03:54.620]  是把風轉得快
[00:03:54.620 --> 00:03:56.620]  又有些
[00:03:56.620 --> 00:03:58.620]  磁力的
[00:03:58.620 --> 00:04:00.620]  物料
[00:04:00.620 --> 00:04:02.620]  又要轉成能源
[00:04:02.620 --> 00:04:04.620]  如果轉得快
[00:04:04.620 --> 00:04:06.620]  中間的東西設計得不好
[00:04:06.620 --> 00:04:08.620]  過熱的時候就著火
[00:04:08.620 --> 00:04:12.620]  所以中間
[00:04:12.620 --> 00:04:14.620]  那個中心
[00:04:14.620 --> 00:04:16.620]  無論是人的生活
[00:04:16.620 --> 00:04:18.620]  或者是一些機器
