
[00:00:00.000 --> 00:00:05.080]  弟兄姊妹 剛剛過了聖誕節
[00:00:05.080 --> 00:00:09.320]  通常聖誕節在我心目中不是一天
[00:00:09.320 --> 00:00:11.820]  在我心目中是聖誕月
[00:00:11.820 --> 00:00:16.420]  所以我會繼續跟弟兄姊妹說聖誕快樂
[00:00:16.420 --> 00:00:22.100]  下一個slime不見了
[00:00:22.100 --> 00:00:24.820]  記不記得這個是什麼來的
[00:00:24.820 --> 00:00:28.840]  電話 對了 這個是電話
[00:00:28.840 --> 00:00:31.820]  記不記得有沒有用過 有沒有人用過
[00:00:31.820 --> 00:00:39.300]  我們玩這些玩意的時候
[00:00:39.300 --> 00:00:43.300]  真的很多年前 有沒有人記得是多少年前
[00:00:43.300 --> 00:00:49.080]  20年了 差不多20年了 18年了
[00:00:49.080 --> 00:00:51.900]  轉眼就18年了 好像剛剛那首歌
[00:00:51.900 --> 00:00:54.720]  我們歲月就這樣流走了
[00:00:54.720 --> 00:00:58.080]  記得18年左右 18年前我還在香港
[00:00:58.080 --> 00:01:00.480]  當時我差不多過來美國
[00:01:00.480 --> 00:01:05.700]  當時iPhone剛剛面世
[00:01:05.700 --> 00:01:07.560]  我不知道當時美國是怎樣
[00:01:07.560 --> 00:01:11.820]  但在香港是風靡整個香港
[00:01:11.820 --> 00:01:15.140]  因為第一次看到觸控屏幕的東西
[00:01:15.140 --> 00:01:16.340]  iPhone面世
[00:01:16.340 --> 00:01:19.460]  當時我在一間公司做annual dinner
[00:01:19.460 --> 00:01:25.660]  有抽獎 抽獎竟然讓我抽到這個頭獎
[00:01:25.660 --> 00:01:31.460]  iPhone 當時大家的反應是很開心
[00:01:31.460 --> 00:01:33.880]  我的team同事也很開心
[00:01:33.880 --> 00:01:35.840]  因為他們知道我可以玩
[00:01:35.840 --> 00:01:38.740]  知道我有得用的時候可以摸一下玩一下
[00:01:38.740 --> 00:01:43.740]  但是我的心就望一望
[00:01:43.740 --> 00:01:47.860]  因為我自己就不喜歡花時間搞這些高科技的東西
[00:01:47.860 --> 00:01:53.060]  我覺得很浪費時間 不想玩這些東西
[00:01:53.060 --> 00:01:58.180]  我發現原來我不是很想要這份禮物
[00:01:58.180 --> 00:01:59.620]  我不是很想要
[00:01:59.620 --> 00:02:03.420]  不過它塞到過來 沒辦法
[00:02:03.420 --> 00:02:05.980]  它塞到過來 是不是?
[00:02:05.980 --> 00:02:07.820]  弟兄姊妹
[00:02:07.820 --> 00:02:11.940]  耶穌這份寶貴的禮物
[00:02:11.940 --> 00:02:16.180]  我們懷著什麼心態去接受呢?
